conductor_q,n_freqs,l1_mass,l2_energy
1,1,7.111111111111e-02,5.056790123457e-03
2,1,2.133333333333e-01,4.551111111111e-02
3,2,1.784431991101e-01,1.592098765432e-02
4,2,1.422222222222e-01,1.011358024691e-02
5,4,1.605909843391e-01,6.548148148148e-03
6,2,5.333333333333e-01,1.422222222222e-01
9,6,1.169976800399e-01,2.400000000000e-03
10,4,4.802057084249e-01,5.764938271605e-02
12,4,3.558893571973e-01,3.172345679012e-02
15,8,4.012352655429e-01,2.017777777778e-02
18,6,3.204298011732e-01,1.715555555556e-02
20,8,3.238157008317e-01,1.319506172840e-02
25,20,1.456993485440e-01,1.481481481481e-03
30,8,1.133678826977e+00,1.606913580247e-01
36,12,2.207050466864e-01,4.385185185185e-03
45,24,2.661239410478e-01,3.229629629630e-03
50,20,2.827639821151e-01,4.246913580247e-03
60,16,7.359351952614e-01,3.400493827160e-02
75,40,3.028469634435e-01,2.666666666667e-03
90,24,6.619007126521e-01,1.854814814815e-02
100,40,2.625726191555e-01,2.370370370370e-03
150,40,6.275446489848e-01,1.041975308642e-02
180,48,4.698543054574e-01,5.244444444444e-03
225,120,6.746612957242e-01,4.740740740741e-03
300,80,5.768363571038e-01,4.888888888889e-03
450,120,7.729172246411e-01,5.777777777778e-03
900,240,1.370568891998e+00,9.629629629630e-03
