N,R,runmax_absR
1,-1,1
2,-1,1
3,0,1
4,1,1
5,2,2
6,2,2
7,1,2
8,2,2
9,3,3
10,3,3
11,2,3
12,1,3
13,0,3
14,0,3
15,0,3
16,1,3
17,0,3
18,0,3
19,0,3
20,0,3
21,1,3
22,1,3
23,0,3
24,0,3
25,1,3
26,1,3
27,2,3
28,3,3
29,2,3
30,2,3
31,1,3
32,2,3
33,2,3
34,2,3
35,3,3
36,2,3
37,1,3
38,1,3
39,2,3
40,1,3
41,0,3
42,0,3
43,-1,3
44,0,3
45,0,3
46,0,3
47,1,3
48,0,3
49,-1,3
50,-1,3
51,-1,3
52,0,3
53,-1,3
54,-1,3
55,0,3
56,1,3
57,2,3
58,2,3
59,1,3
60,1,3
61,2,3
62,2,3
63,3,3
64,4,4
65,5,5
66,5,5
67,4,5
68,4,5
69,4,5
70,4,5
71,3,5
72,2,5
73,1,5
74,1,5
75,0,5
76,1,5
77,0,5
78,0,5
79,-1,5
80,-2,5
81,-1,5
82,-1,5
83,-2,5
84,-3,5
85,-2,5
86,-2,5
87,-2,5
88,-1,5
89,0,5
90,0,5
91,0,5
92,1,5
93,2,5
94,2,5
95,2,5
96,2,5
97,1,5
98,1,5
99,2,5
100,1,5
101,0,5
102,0,5
103,1,5
104,2,5
105,2,5
106,2,5
107,1,5
108,0,5
109,-1,5
110,-1,5
111,0,5
112,1,5
113,2,5
114,2,5
115,3,5
116,4,5
117,4,5
118,4,5
119,3,5
120,3,5
121,2,5
122,2,5
123,2,5
124,1,5
125,2,5
126,2,5
127,1,5
128,2,5
129,3,5
130,3,5
131,4,5
132,4,5
133,3,5
134,3,5
135,2,5
136,3,5
137,2,5
138,2,5
139,2,5
140,1,5
141,1,5
142,1,5
143,0,5
144,-1,5
145,-1,5
146,-1,5
147,0,5
148,1,5
149,0,5
150,0,5
151,-1,5
152,-2,5
153,-1,5
154,-1,5
155,0,5
156,-1,5
157,0,5
158,0,5
159,0,5
160,-1,5
161,-2,5
162,-2,5
163,-3,5
164,-2,5
165,-3,5
166,-3,5
167,-4,5
168,-4,5
169,-5,5
170,-5,5
171,-4,5
172,-3,5
173,-2,5
174,-2,5
175,-1,5
176,0,5
177,0,5
178,0,5
179,1,5
180,2,5
