r,abs_b,re_b,im_b
0,7.111111111111e-02,-7.111111111111e-02,0.000000000000e+00
1,1.086870015855e-03,-1.084717536336e-03,6.836883595435e-05
2,3.462848977558e-03,3.416969536365e-03,5.618204596909e-04
3,5.830718985537e-03,5.717239597217e-03,1.144751185331e-03
4,7.280678764997e-04,-7.031940778701e-04,1.886820649643e-04
5,1.068465999750e-02,1.029412121073e-02,2.862346548004e-03
6,1.574664125147e-02,-1.512677607433e-02,-4.374626418277e-03
7,5.150998834639e-05,4.522498810257e-05,2.465723728578e-05
8,3.665690117976e-04,3.463383440924e-04,-1.200940956982e-04
9,2.926109971576e-03,-2.356321271435e-03,-1.734897585318e-03
10,2.830715562803e-02,-2.453068930570e-02,-1.412587490872e-02
11,1.550597815614e-03,1.288088472496e-03,-8.632390589004e-04
12,7.554939920805e-03,7.137852093098e-03,2.475517057913e-03
13,2.460509549170e-03,1.858917978823e-03,-1.611996026536e-03
14,5.597007149437e-03,5.545801416357e-03,7.553646014823e-04
15,4.899031917164e-02,-3.402579155006e-02,-3.524623216645e-02
16,3.916741276419e-03,2.464872925442e-03,-3.043889565643e-03
17,4.407599563481e-03,2.573693583895e-03,-3.578132927690e-03
18,1.375156751231e-02,1.183534860817e-02,7.002151981260e-03
19,5.368682934050e-03,2.625407496809e-03,-4.682946927103e-03
20,9.636209868182e-03,8.777540355992e-03,3.976345800176e-03
21,5.898887290273e-03,5.898444053814e-03,-7.231187571431e-05
22,4.988701543165e-03,4.382884015666e-03,-2.382744382430e-03
23,7.079058317107e-03,2.039584834492e-03,-6.778876039574e-03
24,4.476895205846e-03,4.344586600142e-03,-1.080350849489e-03
25,2.367453308055e-02,-4.260926391215e-03,-2.328793728244e-02
26,4.430818734003e-03,2.395456515815e-03,-3.727457945360e-03
27,1.149029278636e-02,-1.346679998268e-04,-1.148950359442e-02
28,8.490353147022e-03,2.872443017419e-04,-8.485492753651e-03
29,8.645161113653e-03,-1.308862758083e-04,-8.644170258840e-03
30,1.423662515554e-01,1.524471082114e-02,1.415476893980e-01
31,8.812770719256e-03,-9.627289871946e-04,-8.760027434168e-03
32,8.824138522527e-03,-1.357653755460e-03,-8.719070876247e-03
33,2.800918408683e-03,-2.005721249166e-03,-1.955051457826e-03
34,4.722476158925e-03,-2.463917159690e-03,-4.028758282870e-03
35,4.778589756517e-03,-3.900195391060e-03,2.761049795393e-03
36,1.142973991085e-02,-1.973625563902e-03,-1.125805296502e-02
37,8.178422762980e-03,-2.788993927508e-03,-7.688180003249e-03
38,5.201664675137e-03,-4.176949713091e-03,-3.100065561706e-03
39,5.237567944249e-03,-5.187363779793e-03,-7.234466025320e-04
40,8.038765429854e-03,-7.168583991159e-03,3.637740122372e-03
41,6.966556619478e-03,-2.956520811846e-03,-6.308081786210e-03
42,2.022070962958e-02,4.359426766470e-03,-1.974518919108e-02
43,6.234632855499e-03,-2.682129976504e-03,-5.628216914087e-03
44,5.864752546385e-03,-2.465243591649e-03,-5.321456235296e-03
45,3.861579145868e-02,-2.636699111660e-02,2.821278308564e-02
46,4.875287797971e-03,-4.685568134031e-03,-1.346804504895e-03
47,4.876503183233e-03,-1.567456485710e-03,-4.617722757105e-03
48,5.882855987913e-03,-5.875655845784e-03,2.909689956509e-04
49,4.456356364133e-03,-8.408202411426e-04,-4.376315044216e-03
50,5.214249134578e-02,-4.217213977846e-02,3.066512726617e-02
51,5.412475776984e-03,-5.403855934746e-03,-3.053441876844e-04
52,4.397143255973e-03,2.652176405710e-04,-4.389137548161e-03
53,4.527507946895e-03,6.029921348685e-04,-4.487173798115e-03
54,1.197525325251e-02,-1.174577004228e-02,2.333147354038e-03
55,8.801473054162e-03,-8.801175441073e-03,7.237940725371e-05
56,5.196194062713e-03,1.417545556186e-03,-4.999099652288e-03
57,5.473709242937e-03,-4.644734306074e-03,-2.896193381353e-03
58,4.807448219664e-03,-2.495403952747e-03,-4.109077450884e-03
59,5.975564288718e-03,1.827277012941e-03,-5.689325732157e-03
