n,X,d,Md_weight,discrepancy,contribution
5,35,1,1,-1.583080e+00,-1.583080e+00
5,35,2,0,2.783603e-01,0.000000e+00
6,48,1,1,-7.544683e-01,-7.544683e-01
6,48,2,0,3.194007e-01,0.000000e+00
6,48,3,-1,-3.648916e-01,3.648916e-01
7,63,1,1,-1.378533e+00,-1.378533e+00
7,63,2,0,-7.883318e-02,-0.000000e+00
7,63,3,-1,-8.157240e-02,8.157240e-02
8,80,1,1,1.609872e-01,1.609872e-01
8,80,2,0,-1.017810e+00,-0.000000e+00
8,80,3,-1,-9.164343e-01,9.164343e-01
8,80,4,-1,6.144165e-01,-6.144165e-01
8,80,5,-2,-3.648916e-01,7.297832e-01
9,99,1,1,-1.696343e+00,-1.696343e+00
9,99,2,0,-3.200628e-01,-0.000000e+00
9,99,3,-1,-6.920355e-01,6.920355e-01
9,99,4,-1,-6.316900e-01,6.316900e-01
9,99,5,-2,9.510906e-01,-1.902181e+00
9,99,6,-1,-3.648916e-01,3.648916e-01
10,120,1,1,-4.173974e-01,-4.173974e-01
10,120,2,0,-1.258681e-01,-0.000000e+00
10,120,3,-1,-8.169120e-01,8.169120e-01
10,120,4,-1,-8.223165e-01,8.223165e-01
10,120,5,-2,-2.950158e-01,5.900316e-01
10,120,6,-1,-2.883536e-02,2.883536e-02
10,120,7,-2,2.783603e-01,-5.567206e-01
11,143,1,1,-1.501829e+00,-1.501829e+00
11,143,2,0,-9.010335e-01,-0.000000e+00
11,143,3,-1,7.637807e-01,-7.637807e-01
11,143,4,-1,-3.091651e-02,3.091651e-02
11,143,5,-2,-1.545081e+00,3.090162e+00
11,143,6,-1,2.175293e-02,-2.175293e-02
11,143,7,-2,-2.883536e-02,5.767073e-02
11,143,8,-2,2.783603e-01,-5.567206e-01
12,168,1,1,-1.467600e+00,-1.467600e+00
12,168,2,0,3.939348e-01,0.000000e+00
12,168,3,-1,-6.020949e-01,6.020949e-01
12,168,4,-1,-4.857802e-01,4.857802e-01
12,168,5,-2,5.362768e-01,-1.072554e+00
12,168,6,-1,-1.228312e+00,1.228312e+00
12,168,7,-2,3.608151e-02,-7.216301e-02
12,168,8,-2,-1.052297e-02,2.104595e-02
12,168,9,-2,2.938422e-01,-5.876843e-01
12,168,10,-1,-3.648916e-01,3.648916e-01
13,195,1,1,-7.736760e-01,-7.736760e-01
13,195,2,0,-2.978777e-01,-0.000000e+00
13,195,3,-1,-1.219885e+00,1.219885e+00
13,195,4,-1,6.127445e-01,-6.127445e-01
13,195,5,-2,-9.624365e-01,1.924873e+00
13,195,6,-1,5.217947e-01,-5.217947e-01
13,195,7,-2,-9.265710e-01,1.853142e+00
13,195,8,-2,3.608151e-02,-7.216301e-02
13,195,9,-2,-6.677715e-01,1.335543e+00
13,195,10,-1,3.078388e-01,-3.078388e-01
13,195,11,-2,6.432519e-01,-1.286504e+00
13,195,12,-2,-3.648916e-01,7.297832e-01
