n,X,H,C_centered,E_centered,identity_err
3114,9703224,34.0,-46.42530365438142,-40.21265182710226,1.7689671949483454e-10
3115,9709455,-1.0,-23.395408583673998,-11.197704291790842,9.231371222995222e-11
3116,9715688,-44.0,63.491281361406436,53.745640680767565,1.2869350030086935e-10
3117,9721923,18.0,35.11005890714296,8.5550294535401,6.275513442233205e-11
3118,9728160,-4.0,4.508708925757674,4.254354462985248,2.128217602148652e-10
3119,9734399,-16.0,112.28729981109791,64.14364990565059,2.0327206584624946e-10
3120,9740640,60.0,115.66160045396828,27.83080022693548,9.731593308970332e-11
3121,9746883,-26.0,183.65083710420004,104.82541855215572,1.1141310096718371e-10
3122,9753128,-33.0,194.1685272501345,113.58426362517093,2.0736479200422764e-10
3123,9759375,44.0,192.33860750919848,74.1693037545881,2.2282620193436742e-11
3124,9765624,11.0,132.64763280223997,60.823816401152726,6.548361852765083e-11
3125,9771875,98.0,72.44840328453574,-12.775798357688245,8.776623872108757e-11
3126,9778128,128.0,-0.010084349269163795,-64.00504217459911,7.09405867382884e-11
3127,9784383,278.0,-74.8458079991542,-176.42290399966714,1.800799509510398e-10
3128,9790640,259.0,19.909739021459245,-119.54513048928925,3.774403012357652e-11
3129,9796899,236.0,27.462296870158752,-104.26885156493609,3.092281986027956e-11
3130,9803160,316.0,19.307264625647804,-148.34636768712016,1.1186784831807017e-10
3131,9809423,262.0,35.31797508841555,-113.34101245582451,6.45741238258779e-11
3132,9815688,363.0,-34.68397241226921,-198.84198620614188,1.4551915228366852e-11
3133,9821955,217.0,94.21663145496859,-61.39168427247091,8.958522812463343e-11
3134,9828224,347.0,46.08455154893454,-150.45772422544724,1.709850039333105e-10
3135,9834495,338.0,37.421209904394345,-150.2893950477985,8.640199666842818e-12
3136,9840768,395.0,101.79115911595,-146.60442044199112,6.775735528208315e-11
3137,9847043,352.0,133.48128320543037,-109.25935839718636,1.9690560293383896e-10
3138,9853320,470.0,28.787258009659126,-220.6063709951652,1.0459189070388675e-11
3139,9859599,406.0,27.952315463931882,-189.02384226800768,5.275069270282984e-11
3140,9865880,373.0,75.43464791726728,-148.78267604129292,1.468833943363279e-10
3141,9872163,478.0,97.90817391694873,-190.04591304138626,2.787601260934025e-10
3142,9878448,477.0,64.33640721594566,-206.33179639202035,1.3642420526593924e-11
3143,9884735,467.0,46.625219918074436,-210.1873900409032,1.191438059322536e-10
3144,9891024,524.0,-45.967932394181844,-284.98396619704295,9.595169103704393e-11
3145,9897315,468.0,-26.327313641580986,-247.1636568207241,1.3278622645884752e-10
3146,9903608,391.0,-51.49685768739437,-221.24842884367672,4.092726157978177e-11
3147,9909903,410.0,22.672488150536083,-193.66375592465056,1.6279955161735415e-10
3148,9916200,436.0,-30.849170963614597,-233.42458548183754,6.048139766789973e-11
3149,9922499,483.0,52.458751454614685,-215.27062427261308,1.5916157281026244e-10
3150,9928800,630.0,44.12679833006405,-292.9366008349116,1.127773430198431e-10
3151,9935103,577.0,82.17109886497201,-247.41445056743055,1.6689227777533233e-10
3152,9941408,575.0,104.48086276218237,-235.25956861883992,1.3778844731859863e-10
