type,m,b,gcd,H_or_m,abs_S,sqrt_2gm,ratio
complete,36,1,1,36,8.48528137423857,8.48528137423857,1.414213562373095
complete,36,2,2,36,2.7493423454386096e-15,12.0,4.582237242397682e-16
complete,36,3,3,36,14.69693845669907,14.696938456699069,2.4494897427831783
complete,36,4,4,36,12.000000000000004,16.97056274847714,2.0000000000000004
complete,36,5,1,36,8.485281374238573,8.48528137423857,1.4142135623730956
complete,36,6,6,36,1.526142792357595e-14,20.784609690826528,2.5435713205959913e-15
complete,36,7,1,36,8.485281374238564,8.48528137423857,1.414213562373094
complete,36,8,4,36,12.000000000000014,16.97056274847714,2.000000000000002
complete,36,9,9,36,25.455844122715742,25.45584412271571,4.24264068711929
complete,36,10,2,36,3.9747828632135916e-14,12.0,6.624638105355986e-15
complete,36,11,1,36,8.485281374238493,8.48528137423857,1.4142135623730823
complete,36,12,12,36,20.784609690826535,29.393876913398138,3.4641016151377557
complete,36,13,1,36,8.485281374238582,8.48528137423857,1.414213562373097
complete,36,14,2,36,4.496273023151523e-14,12.0,7.493788371919205e-15
complete,36,15,3,36,14.696938456699064,14.696938456699069,2.4494897427831774
complete,36,16,4,36,12.000000000000004,16.97056274847714,2.0000000000000004
complete,36,17,1,36,8.485281374238557,8.48528137423857,1.414213562373093
complete,36,18,18,36,8.036406517207625e-14,36.0,1.3394010862012708e-14
complete,36,19,1,36,8.485281374238578,8.48528137423857,1.4142135623730965
complete,36,20,4,36,11.999999999999936,16.97056274847714,1.9999999999999893
complete,36,21,3,36,14.696938456699058,14.696938456699069,2.4494897427831765
complete,36,22,2,36,9.94899825938306e-14,12.0,1.6581663765638434e-14
complete,36,23,1,36,8.485281374238618,8.48528137423857,1.414213562373103
complete,36,24,12,36,20.78460969082651,29.393876913398138,3.4641016151377517
complete,36,25,1,36,8.485281374238623,8.48528137423857,1.4142135623731038
complete,36,26,2,36,6.265176933951674e-14,12.0,1.0441961556586123e-14
complete,36,27,9,36,25.45584412271576,25.45584412271571,4.242640687119294
complete,36,28,4,36,11.99999999999997,16.97056274847714,1.999999999999995
complete,36,29,1,36,8.48528137423859,8.48528137423857,1.4142135623730985
complete,36,30,6,36,1.1882105839225076e-13,20.784609690826528,1.9803509732041795e-14
complete,36,31,1,36,8.48528137423858,8.48528137423857,1.4142135623730967
complete,36,32,4,36,11.999999999999957,16.97056274847714,1.999999999999993
complete,36,33,3,36,14.696938456699053,14.696938456699069,2.4494897427831757
complete,36,34,2,36,7.149690942726257e-14,12.0,1.1916151571210428e-14
complete,36,35,1,36,8.48528137423854,8.48528137423857,1.4142135623730898
complete,100,1,1,100,14.142135623730953,14.142135623730951,1.4142135623730954
complete,100,2,2,100,8.405495513285155e-15,20.0,8.405495513285155e-16
complete,100,3,1,100,14.142135623730969,14.142135623730951,1.414213562373097
complete,100,4,4,100,20.00000000000001,28.284271247461902,2.000000000000001
complete,100,5,5,100,31.62277660168379,31.622776601683793,3.162277660168379
complete,100,6,2,100,2.1136267205634353e-14,20.0,2.1136267205634354e-15
complete,100,7,1,100,14.142135623730951,14.142135623730951,1.4142135623730951
complete,100,8,4,100,20.00000000000003,28.284271247461902,2.0000000000000027
complete,100,9,1,100,14.142135623730962,14.142135623730951,1.4142135623730963
complete,100,10,10,100,3.9029984778223395e-14,44.721359549995796,3.902998477822339e-15
complete,100,11,1,100,14.142135623730919,14.142135623730951,1.4142135623730918
complete,100,12,4,100,20.000000000000053,28.284271247461902,2.0000000000000053
complete,100,13,1,100,14.142135623730931,14.142135623730951,1.4142135623730931
complete,100,14,2,100,1.324147507406233e-14,20.0,1.324147507406233e-15
complete,100,15,5,100,31.62277660168385,31.622776601683793,3.162277660168385
complete,100,16,4,100,19.999999999999964,28.284271247461902,1.9999999999999964
complete,100,17,1,100,14.14213562373089,14.142135623730951,1.4142135623730892
complete,100,18,2,100,5.5283309977356684e-14,20.0,5.528330997735668e-15
complete,100,19,1,100,14.14213562373102,14.142135623730951,1.414213562373102
complete,100,20,20,100,44.72135954999587,63.245553203367585,4.472135954999587
complete,100,21,1,100,14.142135623730866,14.142135623730951,1.4142135623730865
complete,100,22,2,100,3.007126728982603e-14,20.0,3.007126728982603e-15
complete,100,23,1,100,14.142135623730978,14.142135623730951,1.4142135623730978
complete,100,24,4,100,20.000000000000018,28.284271247461902,2.0000000000000018
complete,100,25,25,100,70.71067811865468,70.71067811865476,7.071067811865468
complete,100,26,2,100,2.1030003838476086e-13,20.0,2.1030003838476087e-14
complete,100,27,1,100,14.14213562373097,14.142135623730951,1.4142135623730971
complete,100,28,4,100,20.000000000000036,28.284271247461902,2.0000000000000036
complete,100,29,1,100,14.142135623730972,14.142135623730951,1.4142135623730971
complete,100,30,10,100,2.0449958528981864e-13,44.721359549995796,2.0449958528981865e-14
complete,100,31,1,100,14.14213562373103,14.142135623730951,1.414213562373103
complete,100,32,4,100,20.000000000000085,28.284271247461902,2.0000000000000084
complete,100,33,1,100,14.142135623730969,14.142135623730951,1.414213562373097
complete,100,34,2,100,1.4894493242691467e-13,20.0,1.4894493242691466e-14
complete,100,35,5,100,31.622776601683615,31.622776601683793,3.1622776601683613
complete,100,36,4,100,20.00000000000002,28.284271247461902,2.000000000000002
complete,100,37,1,100,14.142135623731026,14.142135623730951,1.4142135623731025
complete,100,38,2,100,1.5974161107487686e-13,20.0,1.5974161107487687e-14
complete,100,39,1,100,14.14213562373096,14.142135623730951,1.414213562373096
complete,100,40,20,100,44.721359549995704,63.245553203367585,4.472135954999571
complete,100,41,1,100,14.142135623731122,14.142135623730951,1.4142135623731122
complete,100,42,2,100,1.4538208360587824e-13,20.0,1.4538208360587822e-14
complete,100,43,1,100,14.14213562373084,14.142135623730951,1.414213562373084
complete,100,44,4,100,20.00000000000003,28.284271247461902,2.0000000000000027
complete,100,45,5,100,31.622776601683764,31.622776601683793,3.1622776601683764
complete,100,46,2,100,3.0680145001287723e-13,20.0,3.0680145001287725e-14
