n,X,H,q,A_q,P_q=(Q/q)A_q,abs_P_q
2,8,-0.9955555555555555,1,-0.004325925925925926,-3.8933333333333335,3.8933333333333335
2,8,-0.9955555555555555,2,0.0,0.0,0.0
2,8,-0.9955555555555555,3,-0.005555555555555556,-1.6666666666666667,1.6666666666666667
2,8,-0.9955555555555555,4,-0.008888888888888889,-2.0,2.0
2,8,-0.9955555555555555,5,-0.012204938271604938,-2.1968888888888887,2.1968888888888887
2,8,-0.9955555555555555,6,0.0033333333333333335,0.5,0.5
2,8,-0.9955555555555555,9,3.7037037037037037e-05,0.003703703703703704,0.003703703703703704
2,8,-0.9955555555555555,10,-0.005493827160493827,-0.49444444444444446,0.49444444444444446
2,8,-0.9955555555555555,12,-0.011111111111111112,-0.8333333333333334,0.8333333333333334
2,8,-0.9955555555555555,15,0.005530864197530864,0.33185185185185184,0.33185185185185184
2,8,-0.9955555555555555,18,0.006688888888888889,0.33444444444444443,0.33444444444444443
2,8,-0.9955555555555555,20,0.008888888888888889,0.4,0.4
2,8,-0.9955555555555555,25,-0.011123456790123457,-0.40044444444444444,0.40044444444444444
2,8,-0.9955555555555555,30,-0.014469135802469136,-0.43407407407407406,0.43407407407407406
2,8,-0.9955555555555555,36,-0.02,-0.5,0.5
2,8,-0.9955555555555555,45,-0.03325925925925926,-0.6651851851851852,0.6651851851851852
2,8,-0.9955555555555555,50,-0.022160493827160493,-0.3988888888888889,0.3988888888888889
2,8,-0.9955555555555555,60,-0.022074074074074072,-0.33111111111111113,0.33111111111111113
2,8,-0.9955555555555555,75,-0.05528395061728395,-0.6634074074074074,0.6634074074074074
2,8,-0.9955555555555555,90,-0.03983703703703704,-0.3983703703703704,0.3983703703703704
2,8,-0.9955555555555555,100,-0.055308641975308645,-0.49777777777777776,0.49777777777777776
2,8,-0.9955555555555555,150,-0.04417283950617284,-0.265037037037037,0.265037037037037
2,8,-0.9955555555555555,180,-0.04637037037037037,-0.23185185185185186,0.23185185185185186
2,8,-0.9955555555555555,225,-0.1327037037037037,-0.5308148148148149,0.5308148148148149
2,8,-0.9955555555555555,300,-0.0774320987654321,-0.2322962962962963,0.2322962962962963
2,8,-0.9955555555555555,450,-0.13277777777777777,-0.26555555555555554,0.26555555555555554
2,8,-0.9955555555555555,900,-0.2654814814814815,-0.2654814814814815,0.2654814814814815
3,15,0.02,1,-0.019466666666666667,-17.52,17.52
3,15,0.02,2,-0.008888888888888889,-4.0,4.0
3,15,0.02,3,0.0,0.0,0.0
3,15,0.02,4,-0.0022222222222222222,-0.5,0.5
3,15,0.02,5,-0.0077,-1.386,1.386
3,15,0.02,6,0.022222222222222223,3.3333333333333335,3.3333333333333335
3,15,0.02,9,0.00016666666666666666,0.016666666666666666,0.016666666666666666
3,15,0.02,10,0.003611111111111111,0.325,0.325
3,15,0.02,12,0.022222222222222223,1.6666666666666667,1.6666666666666667
3,15,0.02,15,0.011,0.66,0.66
3,15,0.02,18,-0.013233333333333333,-0.6616666666666666,0.6616666666666666
3,15,0.02,20,-0.008888888888888889,-0.4,0.4
3,15,0.02,25,0.02772222222222222,0.998,0.998
3,15,0.02,30,-0.00011111111111111112,-0.0033333333333333335,0.0033333333333333335
3,15,0.02,36,0.0,0.0,0.0
3,15,0.02,45,0.017,0.34,0.34
3,15,0.02,50,0.005833333333333334,0.105,0.105
3,15,0.02,60,-0.010444444444444444,-0.15666666666666668,0.15666666666666668
3,15,0.02,75,-0.009888888888888888,-0.11866666666666667,0.11866666666666667
3,15,0.02,90,-0.0026,-0.026,0.026
3,15,0.02,100,0.012222222222222223,0.11,0.11
3,15,0.02,150,-0.021,-0.126,0.126
3,15,0.02,180,0.0013333333333333333,0.006666666666666667,0.006666666666666667
3,15,0.02,225,-0.013833333333333333,-0.05533333333333333,0.05533333333333333
3,15,0.02,300,-0.009555555555555555,-0.028666666666666667,0.028666666666666667
3,15,0.02,450,0.019166666666666665,0.03833333333333333,0.03833333333333333
3,15,0.02,900,0.005333333333333333,0.005333333333333333,0.005333333333333333
4,24,-0.96,1,-0.038933333333333334,-35.04,35.04
4,24,-0.96,2,0.0,0.0,0.0
4,24,-0.96,3,0.0,0.0,0.0
4,24,-0.96,4,-0.008888888888888889,-2.0,2.0
4,24,-0.96,5,-0.0154,-2.772,2.772
4,24,-0.96,6,0.0,0.0,0.0
4,24,-0.96,9,0.0003333333333333333,0.03333333333333333,0.03333333333333333
4,24,-0.96,10,-0.010555555555555556,-0.95,0.95
4,24,-0.96,12,0.008888888888888889,0.6666666666666666,0.6666666666666666
4,24,-0.96,15,0.005333333333333333,0.32,0.32
4,24,-0.96,18,0.0002,0.01,0.01
4,24,-0.96,20,0.008888888888888889,0.4,0.4
4,24,-0.96,25,0.027666666666666666,0.996,0.996
4,24,-0.96,30,0.027555555555555555,0.8266666666666667,0.8266666666666667
4,24,-0.96,36,0.0,0.0,0.0
4,24,-0.96,45,0.0006666666666666666,0.013333333333333334,0.013333333333333334
4,24,-0.96,50,-0.01611111111111111,-0.29,0.29
4,24,-0.96,60,-0.04088888888888889,-0.6133333333333333,0.6133333333333333
4,24,-0.96,75,-0.058666666666666666,-0.704,0.704
4,24,-0.96,90,-0.0652,-0.652,0.652
4,24,-0.96,100,-0.05333333333333334,-0.48,0.48
4,24,-0.96,150,-0.08088888888888889,-0.48533333333333334,0.48533333333333334
4,24,-0.96,180,-0.064,-0.32,0.32
4,24,-0.96,225,-0.161,-0.644,0.644
4,24,-0.96,300,-0.07466666666666667,-0.224,0.224
4,24,-0.96,450,-0.095,-0.19,0.19
4,24,-0.96,900,-0.256,-0.256,0.256
