k,n,X,q,P_q,abs_P_q,sqrt_X_over_q,Dpsi_q,ratio_renewal,ratio_rawdisc
2,2,8,2,0.0,0.0,2.0,3.346039649842477,0.0,0.0
2,3,15,2,-4.0,4.0,2.7386127875258306,4.28458273091446,1.4605934866804429,0.9335798259043719
2,4,24,2,0.0,0.0,3.4641016151377544,4.371436191762655,0.0,0.0
2,2,8,3,-1.6666666666666667,1.6666666666666667,1.632993161855452,1.3609426703847416,1.0206207261596576,1.224641348188088
2,3,15,3,0.0,0.0,2.23606797749979,2.295993312923205,0.0,0.0
2,4,24,3,0.0,0.0,2.8284271247461903,3.158407153196819,0.0,0.0
2,2,8,4,-2.0,2.0,1.4142135623730951,2.3905620875658995,1.414213562373095,0.836623324030218
2,3,15,4,-0.5,0.5,1.9364916731037085,2.227000441436253,0.2581988897471611,0.22451724332732345
2,4,24,4,-2.0,2.0,2.449489742783178,3.893787097380038,0.8164965809277261,0.5136387660603514
2,2,8,5,-2.196888888888889,2.196888888888889,1.2649110640673518,2.0,1.7367931638013667,1.0984444444444446
2,3,15,5,-1.3859999999999997,1.3859999999999997,1.7320508075688772,1.958240530771945,0.8002074730968212,0.7077782214290262
2,4,24,5,-2.7719999999999994,2.7719999999999994,2.1908902300206643,2.908957546641684,1.2652391078369336,0.9529186849770982
2,2,8,6,0.4999999999999994,0.4999999999999994,1.1547005383792515,2.3905620875658995,0.4330127018922188,0.20915583100755425
2,3,15,6,3.3333333333333335,3.3333333333333335,1.5811388300841898,3.492666814767529,2.1081851067789197,0.9543805665171069
2,4,24,6,0.0,0.0,2.0,4.54470151431671,0.0,0.0
2,2,8,9,0.0037037037037037893,0.0037037037037037893,0.9428090415820634,1.3333333333333333,0.003928371006592021,0.002777777777777842
2,3,15,9,0.01666666666666651,0.01666666666666651,1.2909944487358056,2.5,0.012909944487357935,0.006666666666666604
2,4,24,9,0.03333333333333302,0.03333333333333302,1.632993161855452,1.3609426703847416,0.020412414523192958,0.02449282696376153
2,2,8,10,-0.49444444444444463,0.49444444444444463,0.8944271909999159,2.0,0.5528056944374482,0.24722222222222232
2,3,15,10,0.32500000000000007,0.32500000000000007,1.224744871391589,2.65138771133189,0.26536138880151106,0.12257732002413957
2,4,24,10,-0.949999999999999,0.949999999999999,1.5491933384829668,3.6021047272016293,0.613222363149507,0.26373469733569527
2,2,8,15,0.3318518518518521,0.3318518518518521,0.7302967433402214,1.0,0.4544068625228049,0.3318518518518521
2,3,15,15,0.6599999999999997,0.6599999999999997,1.0,1.875,0.6599999999999997,0.3519999999999998
2,4,24,15,0.31999999999999995,0.31999999999999995,1.2649110640673518,3.0,0.2529822128134703,0.10666666666666665
2,2,8,25,-0.4004444444444447,0.4004444444444447,0.565685424949238,1.545910149055313,0.7078924553878664,0.25903474706414953
2,3,15,25,0.9979999999999997,0.9979999999999997,0.7745966692414834,1.8149493574615367,1.2884124598383335,0.5498776017617614
2,4,24,25,0.996,0.996,0.9797958971132712,1.9354942159291497,1.016538243255019,0.5145972495308451
2,2,8,30,-0.43407407407407406,0.43407407407407406,0.5163977794943222,1.0,0.8405808299546468,0.43407407407407406
2,3,15,30,-0.0033333333333329662,0.0033333333333329662,0.7071067811865476,1.875,0.004714045207909797,0.001777777777777582
2,4,24,30,0.8266666666666661,0.8266666666666661,0.8944271909999159,3.0,0.9242414306999125,0.2755555555555554
3,5,35,2,-6.0,6.0,4.183300132670378,5.862102956188824,1.4342743312012722,1.0235234769572912
3,6,48,2,0.0,0.0,4.898979485566356,3.9262652594366756,0.0,0.0
3,7,63,2,-6.0,6.0,5.612486080160912,4.821651888750203,1.0690449676496976,1.2443868073510447
3,8,80,2,0.0,0.0,6.324555320336759,4.694372098702516,0.0,0.0
3,9,99,2,-6.0,6.0,7.035623639735144,9.113571854002288,0.8528028654224418,0.6583587748161616
3,10,120,2,0.0,0.0,7.745966692414834,6.772157813527997,0.0,0.0
3,11,143,2,-6.0,6.0,8.455767262643882,6.190985359676972,0.7095748751868991,0.9691510561596713
