n,X,cnt_sf_A,corrA,signagreeA,zA,sum_mu_errA,sum_abs_errA,cnt_sf_B,corrB,signagreeB,zB,sum_mu_errB,sum_abs_errB
714,511224,100,0.023222113536159966,0.51,0.228711294074804,22.82127351682783,631.2591046819988,437,0.011980382423818723,0.5034324942791762,0.2495833134468127,67.50540552662977,4862.130877388142
715,512655,100,0.016390353992615098,0.51,0.1614262657943671,16.76255537283282,634.293145552875,438,0.010703176535938028,0.5045662100456622,0.22323244558612587,75.68354873537109,4862.999445927728
716,514088,100,0.053788339213999864,0.49,0.5297537043134579,55.15149176091205,640.6250159466376,438,0.02493003300730069,0.5045662100456622,0.5199570630341694,117.8557653324794,4868.3294947744525
717,515523,101,0.024150327357574906,0.44554455445544555,0.23907604339382696,31.860731815788427,621.7987457954342,439,0.017594247279639402,0.5034168564920274,0.367378668786002,86.01340894643474,4880.258209349944
718,516960,101,0.06408018007667805,0.5544554455445545,0.6343614182062381,73.21338822119452,637.4446267492012,440,0.033053573402177704,0.5022727272727273,0.6909699112866104,120.45558335608251,4897.0843169113205
719,518399,102,0.11265245347434062,0.5784313725490197,1.1208777596620692,109.34935141606724,630.5981457788401,441,0.04775400028715471,0.5034013605442177,0.9994171851736393,169.1298639374713,4916.841968687713
720,519840,102,0.12772768977207652,0.5686274509803921,1.2708744669386784,127.14195303908849,645.5592065779482,441,0.054940386200120886,0.5034013605442177,1.1498171001026527,192.02125042484397,4917.1418102735315
721,521283,103,0.11960073535868615,0.5533980582524272,1.1960073535868614,128.80371641317555,642.3588280778545,442,0.05536459539481972,0.502262443438914,1.160017098063166,183.95277441904264,4933.762509733458
722,522728,103,0.11950774859325324,0.5145631067961165,1.1950774859325324,126.52005419858051,647.3614926178022,442,0.05978244593093704,0.502262443438914,1.2525813464250917,195.84859678799145,4934.6036215683735
723,524175,103,0.10618301574823204,0.5436893203883495,1.0618301574823203,117.42942176669106,656.558639580601,443,0.05194648069294864,0.5011286681715575,1.0896385716412895,165.2850691953542,4948.800429037527
724,525624,103,0.12439310297746684,0.5436893203883495,1.2439310297746684,138.50298473733096,656.2339866265996,443,0.05906702922951128,0.5011286681715575,1.2390004578207279,187.5208553950035,4947.30914573536
725,527075,103,0.14214692098179588,0.5339805825242718,1.4214692098179587,152.58722919115758,648.0645600605787,443,0.06945811366486941,0.5011286681715575,1.456965683778463,214.84006853276628,4955.525659355071
726,528528,103,0.11200782260498386,0.5145631067961165,1.1200782260498385,122.2965411695663,657.0012131708698,443,0.05344626512016971,0.5011286681715575,1.1210983151936347,169.0176748940507,4954.476754207844
727,529983,104,0.09583337696785993,0.5192307692307693,0.9631135188789837,109.7826639823636,643.2418706203388,444,0.044240480487573355,0.5022522522522522,0.9290500902390405,151.48473032926486,4966.221909349309
728,531440,104,0.08384977887696747,0.5288461538461539,0.8426798485720127,99.9920843905187,649.6351477253028,444,0.0389239174659816,0.5022522522522522,0.8174022667856137,137.93266206791796,4964.9249829995815
729,532899,104,0.09585088390844002,0.5384615384615384,0.9632894614543199,112.63566568922732,654.4333257616127,444,0.04219524347187482,0.5022522522522522,0.8861001129093712,147.89681341185963,4969.441710426296
730,534360,104,0.09120242193436078,0.5673076923076923,0.9165729967853135,108.83355469773397,649.0513040918986,445,0.04048422185161452,0.503370786516854,0.8511320231123891,154.77502571510627,4987.796059652239
731,535823,104,0.057344447016291655,0.5384615384615384,0.5763045600756881,70.79849825183237,647.2771701579534,446,0.023682723428684584,0.5022421524663677,0.4984636650015802,91.90280904495665,4991.636579231697
732,537288,104,0.1099616697691445,0.5288461538461539,1.1051011042706713,121.99933822145726,655.3153196003676,446,0.04747603707707416,0.5022421524663677,0.999254984860655,160.03886786274938,5007.241640353892
733,538755,104,0.08256437926593566,0.5480769230769231,0.8297617423577058,95.38269080843764,657.1781657221263,447,0.033472566546608,0.5033557046979866,0.7053107427087671,131.58347425009498,5016.754915220871
734,540224,105,0.07651359396206298,0.5523809523809524,0.7727494200716859,95.70458692624396,647.8991803074888,448,0.029799688286508065,0.5022321428571429,0.6286251130666078,109.32487558860234,5022.842513741853
735,541695,105,0.05913952687426932,0.5047619047619047,0.5972799437190798,76.23064978022552,657.6458257220763,448,0.02777831336258202,0.5022321428571429,0.5859841623329612,102.37140657861812,5032.315408890908
736,543168,106,0.05805684648045882,0.5188679245283019,0.5892126395413824,84.7996275811696,674.9667571550935,448,0.030554935804427086,0.5022321428571429,0.6445570769106751,113.18273370742418,5040.793113708052
737,544643,106,0.04516401110818488,0.5188679245283019,0.45836465138158883,72.10270859158152,663.5060686827435,449,0.026420222044212446,0.5011135857461024,0.5579610624927228,90.58289080282333,5051.473220316855
738,546120,106,0.011678573840678018,0.5283018867924528,0.11852457954396378,36.35022322405365,667.796512493914,449,0.015275279889434864,0.5011135857461024,0.32259423795606706,56.91235083064248,5060.332603649628
