k,n,X,n_primes,V,V_over_x,V_over_xlogx,4sumM2,sumM2
5,48,2400,342,2086.0529218242327,0.8691887174267636,0.11167463709157574,1924.0,481.0
5,63,4095,546,3365.660928531389,0.8218952206425858,0.09881491398633738,3064.0,766.0
5,78,6240,790,5162.7347653598345,0.8273613406025375,0.09467746726749493,4648.0,1162.0
5,93,8835,1076,7317.36200180577,0.8282243352355144,0.09114912097556238,6540.0,1635.0
5,108,11880,1395,9632.387244162352,0.810807007084373,0.08641591939034207,8540.0,2135.0
5,123,15375,1766,12023.124163409282,0.7819918155062948,0.08111529176075323,10696.0,2674.0
5,138,19320,2157,15250.937852752177,0.7893860172231976,0.07998726591132879,13484.0,3371.0
5,153,23715,2601,17413.987536997804,0.7343026581065909,0.0728918643537222,15436.0,3859.0
5,168,28560,3068,20971.483297524985,0.7342956336668413,0.07157043251696117,18528.0,4632.0
5,172,29928,3202,22374.118055844407,0.7475981708047449,0.07253622085477959,19736.0,4934.0
6,173,30275,3234,22178.58231506183,0.7325708444281365,0.070998772743305,19588.0,4897.0
6,240,58080,5830,40044.12367802967,0.689464939360015,0.06285246563198264,35312.0,8828.0
6,307,94863,9084,63589.067881111,0.670325288902006,0.05849164332890509,55960.0,13990.0
6,374,140624,12988,91541.51360803175,0.6509665036411405,0.054916063681609506,80340.0,20085.0
6,441,195363,17522,124968.44695819134,0.6396730545609524,0.0525070416470618,109476.0,27369.0
6,508,259080,22669,162717.34577840063,0.6280583054593201,0.05038618037986639,142368.0,35592.0
6,575,331775,28441,203091.27706777578,0.61213556496956,0.048153346575070824,177692.0,44423.0
6,642,413448,34759,252374.1532600977,0.6104132883944237,0.04720072226885396,220560.0,55140.0
6,709,504099,41713,302970.1011281021,0.601013096887917,0.045772195823849816,264892.0,66223.0
6,713,509795,42148,306251.76193448866,0.6007351228130693,0.045711909337244165,267864.0,66966.0
7,714,511224,42258,308210.3057838928,0.6028870040997544,0.045865883724646075,269520.0,67380.0
7,1014,1030224,80551,585657.5635177109,0.5684759465103811,0.04105916722546926,511084.0,127771.0
7,1314,1729224,129943,955093.0617998657,0.5523246622761804,0.03845419572525284,832768.0,208192.0
7,1614,2608224,190159,1398454.4843704964,0.5361711587541931,0.03629109402781129,1219352.0,304838.0
7,1914,3667224,260900,1928993.107684267,0.5260090759888861,0.034800593553311,1681608.0,420402.0
7,2214,4906224,342061,2518846.3844116605,0.513398162092,0.03332452660355239,2195548.0,548887.0
7,2514,6325224,433324,3210959.0926091,0.5076435384120942,0.03241645739875607,2798948.0,699737.0
7,2814,7924224,534616,3963196.9442388015,0.5001369148876662,0.0314839924941274,3454396.0,863599.0
7,3113,9696995,645439,4829736.687641154,0.49806529627386154,0.030960103478123578,4212012.0,1053003.0
8,3114,9703224,645801,4834642.89135159,0.4982511886102588,0.030970422435685943,4216176.0,1054044.0
8,4591,21086463,1334480,10065254.259743636,0.4773325075781385,0.028304583324206548,8782992.0,2195748.0
8,6068,36832760,2251288,17025070.60983841,0.46222630641413814,0.026531340067383558,14851940.0,3712985.0
8,7545,56942115,3390283,25722715.693816453,0.45173446216067764,0.02529655909259403,22445032.0,5611258.0
8,9022,81414528,4746165,36107521.11220749,0.4435021856566863,0.02434809883479934,31517608.0,7879402.0
8,10499,110249999,6315490,48308583.082185075,0.4381730931551761,0.023661675988866496,42193936.0,10548484.0
8,11976,143448528,8094603,62125469.117294066,0.433085441750187,0.02305916701188081,54265456.0,13566364.0
8,13453,181010115,10081712,77378895.9812858,0.42748382310726557,0.02248250742113711,67597444.0,16899361.0
8,14930,222934760,12273526,94188079.4284392,0.4224916716820616,0.021979143988024002,82252972.0,20563243.0
8,14935,223084095,12281343,94253877.02510378,0.4225037962706565,0.02197900907588159,82311632.0,20577908.0
