k,n,X,Mplus,Msm,B,E,C,C_minus_2E,R,absR_over_sqrtx,rhoA,rhoB,float_resid
4,14,224,29,16,15.888731316791084,-2.888731316791084,-2.777462633582168,3.0,0.11126868320891603,0.007434451615093755,0.6255447382764087,0.8196210815779942,0.0
4,15,255,29,14,15.38585666963506,-0.3858566696350607,-1.7717133392701214,-1.0,-1.3858566696350607,0.08678571104878421,0.7461382017594775,0.88844454569207,0.0
4,16,288,27,10,13.865268758105849,3.1347312418941513,-0.7305375162116974,-7.0,-3.8652687581058487,0.22776314583042925,0.7281123710657439,0.882729908595617,0.0
4,17,323,25,11,13.53033216404653,0.4696678359534694,-2.060664328093061,-3.0,-2.5303321640465306,0.1407914477728327,0.8406705541205555,0.936986373247033,0.0
4,18,360,25,12,12.756106785850402,0.24389321414959753,-0.512213571700805,-1.0,-0.7561067858504025,0.03985032662660741,0.7970375808455189,0.9124237875927271,0.0
4,19,399,21,11,11.339122404560534,-1.339122404560534,-1.6782448091210682,1.0,-0.3391224045605341,0.016977355202193598,0.6558613164291973,0.8374705942406635,0.0
4,20,440,21,7,9.958984926577138,4.041015073422862,1.0820301468457245,-7.0,-2.9589849265771377,0.14106407148164582,0.7073768469437166,0.8633196327684713,0.0
4,21,483,17,6,8.29900278560152,2.7009972143984804,0.4019944287969608,-5.0,-2.2990027856015196,0.1046082488681953,0.6624666920250606,0.8405827357532375,0.0
4,22,528,15,7,7.658586604367464,0.3414133956325358,-0.3171732087349284,-1.0,-0.6585866043674642,0.02866130308302768,0.7817200280695381,0.9035345389455357,0.0
4,23,575,13,9,6.436128352783765,-2.436128352783765,0.12774329443247012,5.0,2.563871647216235,0.10692083884736807,0.6865594747940529,0.846817178067685,0.0
4,24,624,15,6,5.224784713578277,3.775215286421723,4.550430572843446,-3.0,0.775215286421723,0.03103344815404808,0.7584978856729347,0.8854666075438473,0.0
4,25,675,10,0,2.9753823726750888,7.024617627324911,4.0492352546498225,-10.0,-2.9753823726750888,0.114522520920402,0.6748158696981529,0.8394941542789156,0.0
4,26,728,6,2,0.950918148960259,3.049081851039741,4.098163702079482,-2.0,1.049081851039741,0.03888156026023856,0.7970993549035084,0.9081956416191965,0.0
4,27,783,1,0,0.1744097167432308,0.8255902832567692,0.6511805665135384,-1.0,-0.1744097167432308,0.0062328947839308995,0.7805253965645638,0.8996543344633736,0.0
4,28,840,3,0,-0.2842945422759904,3.2842945422759904,3.5685890845519808,-3.0,0.2842945422759904,0.009809093616682994,0.8266803459111552,0.9204292220927629,0.0
4,29,899,3,2,-1.9480925564779845,2.9480925564779845,6.896185112955969,1.0,3.9480925564779845,0.13167625902487617,0.719736919668321,0.8591865502164456,0.0
4,30,960,-4,0,-3.717953593885614,-0.2820464061143859,3.435907187771228,4.0,3.717953593885614,0.11999643625909164,0.7645304541020292,0.8866722906857853,0.0
4,31,1023,-6,-5,-6.131045380656445,5.131045380656445,6.262090761312891,-4.0,1.1310453806564453,0.035362439179110215,0.6685814215697976,0.8282640873368065,0.0
4,32,1088,-8,-8,-8.273046690424557,8.273046690424565,8.546093380849115,-8.000000000000014,0.2730466904245574,0.008277943715777768,0.721907384680615,0.8598905609502397,7.105427357601002e-15
4,33,1155,-11,-8,-9.07328679136236,6.07328679136236,7.14657358272472,-5.0,1.07328679136236,0.031580921092765085,0.7657265883148631,0.8846680377284987,0.0
4,34,1224,-17,-10,-11.028851139211252,4.028851139211252,5.057702278422504,-3.0,1.0288511392112518,0.029407752449498014,0.7423353452563115,0.8777124553949671,0.0
4,35,1295,-19,-9,-12.923563029757009,2.923563029757002,6.847126059514018,1.0000000000000142,3.923563029757009,0.10902993407280265,0.7471635842452414,0.8758166226027326,7.105427357601002e-15
4,36,1368,-21,-7,-13.579924158412993,-0.42007584158700695,6.159848316825986,7.0,6.579924158412993,0.17790077465173207,0.7366441566261803,0.8647692617388338,0.0
4,37,1443,-28,-11,-14.326826385619633,-2.6731736143803673,0.6536527712392655,6.0,3.3268263856196327,0.08757839295975361,0.7997762058946002,0.9026986330467174,0.0
4,38,1520,-24,-12,-16.558003444191755,4.558003444191755,9.11600688838351,0.0,4.558003444191755,0.11691032156175783,0.7625240448077113,0.8787419097608197,0.0
4,39,1599,-27,-17,-19.81999956008397,9.819999560083971,12.639999120167943,-7.0,2.8199995600839713,0.07052203058119093,0.6998535787188405,0.8413995604920719,0.0
4,40,1680,-31,-21,-22.135219663759557,12.135219663759557,13.270439327519114,-11.0,1.1352196637595569,0.027696523816889022,0.7119859805167064,0.8514962524031707,0.0
4,41,1763,-33,-21,-23.473185127887724,11.473185127887724,13.946370255775449,-9.0,2.4731851278877244,0.05890205814934313,0.6950205505121193,0.8390354890911341,0.0
4,42,1848,-44,-23,-24.642165752993822,3.6421657529938223,5.284331505987645,-2.0,1.6421657529938223,0.03820023260044668,0.7827302035867821,0.8920286051869265,0.0
4,43,1935,-44,-23,-26.528297521930746,5.528297521930746,9.056595043861492,-2.0,3.528297521930746,0.08020929793081558,0.7330064466449596,0.8626993358294455,0.0
4,44,2024,-46,-22,-27.505721139070452,3.5057211390704524,9.011442278140905,2.0,5.505721139070452,0.12237957955758519,0.7710109088162751,0.8832502285076305,0.0
4,45,2115,-45,-23,-28.380528186225142,6.380528186225142,11.761056372450284,-1.0,5.380528186225142,0.11699565279099931,0.7602860222454191,0.875667568995661,0.0
4,46,2208,-60,-26,-31.02142872709242,-2.9785712729075797,2.0428574541848405,8.0,5.02142872709242,0.10686309994192532,0.7280936718064864,0.8637895676598009,0.0
4,47,2303,-54,-28,-33.621276666220865,7.621276666220869,13.24255333244173,-2.000000000000007,5.621276666220865,0.11713535330365994,0.7233018375119412,0.8553055114667647,3.552713678800501e-15
5,48,2400,34,11,16.22590882446547,6.774091175534515,1.5481823510690589,-11.999999999999972,-5.225908824465471,0.10667341718540221,0.8679451725265382,0.9428129797631312,1.4210854715202004e-14
