n,X,dmax,E,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
14936,223113968,2773,-1379.384769,-556.256,-21.5417,42.3101,196.665,119.876,-368.95,-104.617,51.1252,-74.791,-253.326,-103.032,-306.848,0,0,0,0
14937,223143843,2774,-1285.580259,-508.27,-14.75,-28.0571,265.335,137.707,-395.605,-130.247,59.9784,-61.5935,-226.635,-112.647,-270.797,0,0,0,0
14938,223173720,2774,-1100.781459,-441.274,-66.0714,107.684,254.058,149.729,-392.322,-81.0802,31.122,-76.0262,-250.606,-102.148,-233.846,0,0,0,0
14939,223203599,2774,-1257.721595,-464.378,-80.3376,120.427,225.783,147.556,-396.85,-124.846,41.2577,-89.9882,-280.19,-109.955,-246.2,0,0,0,0
14940,223233480,2775,-1193.280735,-436.473,-47.6066,129.103,227.501,124.57,-397.312,-121.746,39.188,-89.6954,-301.65,-96.7614,-222.397,0,0,0,0
14941,223263363,2775,-1198.699305,-408.667,-49.8203,169.838,167.159,112.455,-368.903,-156.247,58.3232,-95.5141,-299.676,-79.6436,-248.004,0,0,0,0
14942,223293248,2776,-1261.549004,-438.852,-29.1471,127.567,154.052,128.469,-385.495,-128.146,46.0293,-105.374,-311.143,-49.7467,-269.762,0,0,0,0
14943,223323135,2776,-1005.904387,-343.135,-42.3085,161.468,188.708,99.5462,-355.147,-112.776,84.9632,-50.1898,-269.783,-118.992,-248.258,0,0,0,0
14944,223353024,2776,-1140.023113,-411.411,-70.5828,195.074,145.535,90.3631,-349.622,-87.5445,88.3839,-95.5343,-258.215,-130.058,-256.413,0,0,0,0
14945,223382915,2777,-1238.924825,-440.785,-52.802,137.025,146.304,107.372,-384.277,-54.2458,52.368,-118.641,-209,-188.914,-233.331,0,0,0,0
14946,223412808,2777,-1246.131934,-421.15,-50.024,146.741,137.188,66.1932,-343.741,-97.0128,40.2284,-96.7618,-215.342,-164.166,-248.285,0,0,0,0
14947,223442703,2777,-1251.371620,-427.614,-48.1907,118.687,141.894,66.387,-352.464,-89.7817,72.5054,-106.1,-212.833,-133.181,-280.681,0,0,0,0
14948,223472600,2778,-1130.398737,-385.07,-16.4705,151.509,87.7727,67.3909,-345.737,-81.5502,82.1486,-102.139,-215.859,-101.738,-270.657,0,0,0,0
14949,223502499,2778,-1022.085189,-365.624,-24.5849,143.333,118.59,83.2676,-325.274,-95.9802,126.143,-99.5666,-213.53,-88.9174,-279.942,0,0,0,0
14950,223532400,2779,-890.199455,-327.169,-33.8122,113.264,146.405,94.3941,-287.192,-64.7493,136.638,-81.9124,-198.586,-115.109,-272.369,0,0,0,0
14951,223562303,2779,-976.962952,-320.814,-43.9844,113.197,122.283,96.5213,-271.724,-109.449,126.27,-80.8748,-218.927,-130.692,-258.767,0,0,0,0
14952,223592208,2779,-966.795792,-331.45,-15.1593,117.064,126.149,119.331,-293.067,-102.227,88.2641,-79.0603,-226.425,-118.278,-251.937,0,0,0,0
14953,223622115,2780,-1159.785220,-343.184,-65.2791,138.046,120.018,114.388,-306.603,-137.788,35.2579,-66.2461,-244.234,-141.265,-262.896,0,0,0,0
14954,223652024,2780,-1155.546038,-336.91,-66.5119,99.965,121.004,123.575,-288.201,-112.633,-6.67498,-84.7519,-214.341,-145.96,-244.106,0,0,0,0
14955,223681935,2780,-1106.480083,-375.735,-20.5792,116.056,108.75,161.508,-332.872,-93.1329,14.463,-60.3334,-215.732,-128.548,-280.325,0,0,0,0
14956,223711848,2781,-1021.188195,-342.551,-11.7596,114.91,119.788,151.499,-349.148,-108.04,45.4506,-62.2108,-179.868,-146.712,-252.547,0,0,0,0
14957,223741763,2781,-932.637905,-351.466,-30.8848,170.995,115.648,116.552,-301.884,-78.6072,35.3046,-79.0126,-197.486,-85.821,-245.976,0,0,0,0
14958,223771680,2781,-1013.799958,-413.372,-54.0127,140.957,115.623,121.542,-302.226,-63.3837,23.4386,-112.514,-137.603,-80.7449,-251.505,0,0,0,0
14959,223801599,2782,-1156.068735,-380.377,-73.0854,125.094,87.5402,112.85,-313.891,-98.0196,24.5813,-105.557,-147.699,-122.89,-264.614,0,0,0,0
14960,223831520,2782,-1229.247155,-401.373,-107.271,113.106,88.5681,137.768,-309.306,-99.0001,13.3593,-75.2967,-190.72,-113.911,-285.169,0,0,0,0
14961,223861443,2783,-1141.282640,-401.468,-105.292,123.177,87.478,188.881,-320.979,-60.2989,-20.3694,-74.0983,-183.451,-122.322,-252.54,0,0,0,0
14962,223891368,2783,-1065.128568,-382.555,-72.4249,124.242,60.5034,158.992,-291.325,-65.279,-14.6676,-86.9727,-150.003,-111.02,-234.619,0,0,0,0
14963,223921295,2783,-1214.559871,-408.74,-57.5031,128.479,43.4708,143.04,-307.865,-55.9863,-68.3138,-107.405,-152.268,-112.092,-259.378,0,0,0,0
14964,223951224,2784,-1444.958300,-468.917,-55.584,53.4796,84.5492,164.212,-350.472,-69.418,-73.4597,-109.376,-182.39,-166.09,-271.492,0,0,0,0
14965,223981155,2784,-1421.753992,-504.192,-43.6097,66.6515,85.5093,146.251,-312.761,-77.1995,-65.5405,-121.792,-187.309,-174.177,-233.584,0,0,0,0
14966,224011088,2784,-1425.818060,-471.459,-29.7485,24.8185,114.584,141.42,-321.434,-79.8423,-94.4831,-121.381,-192.363,-172.849,-223.082,0,0,0,0
14967,224041023,2785,-1301.260750,-476.824,-15.7218,68.0429,66.483,132.589,-269.975,-66.4779,-89.4191,-126.738,-182.541,-124.949,-215.73,0,0,0,0
14968,224070960,2785,-1407.652303,-484.181,-34.8082,76.2014,28.6113,153.688,-309.522,-73.1922,-107.429,-152.147,-160.72,-134.371,-209.782,0,0,0,0
14969,224100899,2786,-1372.876943,-460.637,-24.8394,73.419,44.7416,164.662,-344.683,-57.1048,-128.435,-125.25,-151.111,-132.95,-230.69,0,0,0,0
14970,224130840,2786,-1360.926103,-469.084,-33.8733,133.629,4.74864,194.076,-361.487,-64.4063,-100.305,-136.309,-188.766,-101.469,-237.681,0,0,0,0
14971,224160783,2786,-1536.005132,-509.63,-56.852,161.956,21.8758,155.051,-338.908,-117.461,-124.246,-184.88,-199.35,-141.458,-202.103,0,0,0,0
14972,224190728,2787,-1468.488447,-523.167,-63.9438,259.101,-9.94543,142.082,-332.458,-125.626,-102.825,-165.853,-194.132,-132.461,-219.26,0,0,0,0
14973,224220675,2787,-1580.521015,-516.803,-58.8701,230.477,-26.9444,155.301,-349.814,-150.748,-130.837,-158.504,-224.385,-160.563,-188.83,0,0,0,0
14974,224250624,2787,-1416.399577,-454.43,-36.9095,259.675,-12.7082,138.395,-327.365,-154.052,-93.1997,-150.398,-216.65,-151.743,-217.012,0,0,0,0
14975,224280575,2788,-1496.639566,-465.156,-35.8937,247.16,-29.7101,126.805,-355.844,-140.828,-73.9927,-187.181,-212.675,-157.907,-211.417,0,0,0,0
14976,224310528,2788,-1307.558709,-441.873,-29.8806,214.35,-11.4215,141.641,-335.142,-77.478,-43.0034,-181.637,-204.189,-144.988,-193.937,0,0,0,0
14977,224340483,2789,-1247.643972,-439.69,-27.8124,217.713,-23.3696,140.918,-284.564,-76.1925,-60.8787,-196.358,-207.276,-118.152,-171.983,0,0,0,0
14978,224370440,2789,-1361.469235,-461.497,-46.8571,171.127,13.7975,61.133,-249.247,-60.4988,-66.8851,-199.177,-202.542,-122.506,-198.316,0,0,0,0
14979,224400399,2789,-1293.280815,-464.404,-30.7365,217.484,-22.9147,86.3471,-259.671,-61.2816,-88.1172,-199.443,-201.256,-78.5993,-190.689,0,0,0,0
14980,224430360,2790,-1351.470650,-470.301,-29.7288,168.891,-4.81509,104.622,-312.027,-71.0626,-36.9759,-194.245,-222.675,-74.3374,-208.816,0,0,0,0
14981,224460323,2790,-1435.247274,-494.298,-17.666,101.298,62.3469,81.7638,-324.262,-58.6392,-72.919,-218.218,-207.443,-83.1108,-204.101,0,0,0,0
14982,224490288,2790,-1372.145039,-477.285,-12.6059,131.699,59.6823,48.0985,-284.076,-71.4944,-60.5101,-202.959,-198.338,-89.6029,-214.755,0,0,0,0
