n,X,dmax,E,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
30000,900060000,11189,-3709.529815,-1278.22,103.412,278.27,-265.928,30.077,-184.998,-6.21002,-479.003,168.684,-425.062,-430.036,-851.609,-196.177,-172.727,0,0
30001,900120003,11190,-3753.436993,-1303.74,113.124,276.256,-321.123,11.0677,-166.378,-18.6093,-434.936,177.472,-394.115,-460.969,-864.757,-180.129,-186.599,0,0
30002,900180008,11191,-3785.884176,-1324.25,99.7306,249.343,-270.322,9.88594,-190.636,-20.0737,-391.132,129.258,-386.605,-438.193,-820.359,-279.375,-153.157,0,0
30003,900240015,11192,-3505.086312,-1308.85,102.491,267.483,-179.742,-20.1226,-180.135,-55.2288,-366.003,206.12,-366.163,-459.771,-808.304,-169.873,-166.988,0,0
30004,900300024,11192,-3694.499606,-1255.44,92.1465,246.457,-168.836,-109.305,-164.516,-101.567,-384.326,249.764,-410.205,-528.779,-782.887,-200.783,-176.22,0,0
30005,900360035,11193,-3726.267767,-1229.13,114.853,212.644,-214.151,-83.4943,-224.721,-107.657,-378.65,231.368,-378.692,-560.049,-747.788,-148.606,-212.195,0,0
30006,900420048,11194,-3594.191150,-1200.81,135.558,260.666,-261.304,-92.5636,-226.159,-92.9386,-345.518,238.415,-352.528,-591.646,-730.74,-162.874,-171.751,0,0
30007,900480063,11194,-3502.520609,-1153.58,143.313,247.901,-257.619,-38.5769,-250.361,-85.5247,-336.586,200.466,-311.95,-610.906,-737.144,-169.133,-142.822,0,0
30008,900540080,11195,-3417.834605,-1105.34,123.964,277.969,-308.778,-15.7101,-222.687,-81.5566,-329.973,205.317,-309.559,-606.172,-719.973,-166.296,-159.038,0,0
30009,900600099,11196,-3387.035579,-1120.2,97.7685,359.146,-318.935,-10.9591,-213.953,-85.0861,-353.777,185.038,-352.042,-597.691,-673.579,-130.41,-172.357,0,0
