n,X,dmax,E,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
14329,205348899,13746,-417.185427,-328.128,8.44316,-71.1033,435.458,-183.085,193.124,-80.0389,-44.3333,111.333,-243.567,-78.0193,-60.7845,-50.2962,-26.1884,0,0
14330,205377560,13748,-609.924524,-337.677,-10.6881,-115.732,428.063,-200.875,187.441,-57.9106,-67.584,95.8556,-282.015,-75.4097,-78.3157,-37.9071,-57.1698,0,0
14331,205406223,13750,-536.589862,-283.325,-12.6531,-156.301,442.608,-199.796,197.011,-54.7852,-71.0425,118.938,-255.777,-129.151,-60.1268,-4.96394,-67.2271,0,0
14332,205434888,13752,-624.654769,-335.965,-15.7316,-160.994,474.326,-176.783,146.579,-96.5889,-51.7913,120.995,-298.096,-131.779,-66.2109,21.729,-54.3453,0,0
14333,205463555,13754,-699.377759,-334.703,-18.7548,-179.514,442.925,-203.58,211.949,-109.532,-53.043,118.004,-294.032,-138.519,-79.366,3.23106,-64.443,0,0
14334,205492224,13756,-683.973814,-316.433,-23.7807,-181.155,404.64,-181.631,209.257,-106.128,-67.3665,109.38,-303.189,-136.464,-67.5451,43.1951,-66.7546,0,0
14335,205520895,13758,-817.160913,-355.263,9.24884,-224.623,409.237,-217.112,198.703,-84.0698,-28.2492,85.9217,-321.325,-124.368,-110.79,15.9749,-70.4473,0,0
14336,205549568,13760,-719.821135,-345.083,53.1648,-289.213,473.005,-237.17,215.392,-83.9464,4.27698,86.7472,-305.675,-122.969,-93.7255,0.255007,-74.8803,0,0
14337,205578243,13762,-394.359867,-329.003,40.247,-265.746,521.655,-180.096,216.764,-66.6837,12.2436,100.596,-259.998,-96.1867,-109.008,55.9115,-35.0552,0,0
14338,205606920,13764,-434.641577,-326.914,66.2156,-265.227,483.361,-170.899,183.136,-55.217,13.5653,96.5972,-263.03,-114.92,-91.5222,83.9969,-73.7835,0,0
14339,205635599,13765,-425.100607,-330.924,78.2396,-230.65,486.128,-144.704,195.438,-79.1595,2.17654,70.2852,-242.839,-104.479,-65.0436,38.7566,-98.3241,0,0
14340,205664280,13767,-568.613607,-364.925,69.2609,-255.197,484.827,-94.4465,124.006,-92.1756,-31.1484,76.2829,-247.243,-79.7652,-75.3921,11.8411,-94.5383,0,0
14341,205692963,13769,-348.585373,-381.026,67.3376,-205.627,469.526,-99.385,162.5,-60.0467,-22.6832,132.042,-246.246,-96.1576,-53.5761,64.7482,-79.9922,0,0
14342,205721648,13771,-411.875436,-357.118,84.3008,-232.122,475.402,-150.068,200.001,-69.9261,-88.2957,98.652,-235.804,-95.7925,-30.3503,25.3522,-36.1078,0,0
