j,j0,j1,j2,j3,j4,j5,j6,j7,j8,j9
0,1.00000,0.32091,0.22184,0.27792,0.44145,0.33335,0.60014,0.48571,0.38995,0.07057
1,0.32091,1.00000,-0.21269,0.47148,0.33953,0.25840,0.40714,0.28300,0.43249,0.00853
2,0.22184,-0.21269,1.00000,-0.39690,0.18494,0.28804,0.43055,0.16725,0.01981,-0.10212
3,0.27792,0.47148,-0.39690,1.00000,0.15515,0.18289,0.26981,0.31842,0.42868,-0.10878
4,0.44145,0.33953,0.18494,0.15515,1.00000,-0.28749,0.41068,0.35643,0.35075,0.06644
5,0.33335,0.25840,0.28804,0.18289,-0.28749,1.00000,0.39048,0.18827,0.14497,-0.08296
6,0.60014,0.40714,0.43055,0.26981,0.41068,0.39048,1.00000,0.26770,0.29503,0.04671
7,0.48571,0.28300,0.16725,0.31842,0.35643,0.18827,0.26770,1.00000,0.33058,-0.18216
8,0.38995,0.43249,0.01981,0.42868,0.35075,0.14497,0.29503,0.33058,1.00000,-0.14139
9,0.07057,0.00853,-0.10212,-0.10878,0.06644,-0.08296,0.04671,-0.18216,-0.14139,1.00000

detrended (B_j / sqrt(x))
j,j0,j1,j2,j3,j4,j5,j6,j7,j8,j9
0,1.00000,0.37789,0.31458,0.36821,0.44854,0.43508,0.61399,0.44993,0.34933,0.03341
1,0.37789,1.00000,-0.21928,0.45159,0.34156,0.27699,0.33287,0.16332,0.26688,0.01665
2,0.31458,-0.21928,1.00000,-0.38995,0.15466,0.21142,0.33004,0.11752,0.02494,-0.07122
3,0.36821,0.45159,-0.38995,1.00000,0.13883,0.23611,0.29157,0.19936,0.27768,-0.05703
4,0.44854,0.34156,0.15466,0.13883,1.00000,-0.32678,0.30807,0.20628,0.22260,0.05484
5,0.43508,0.27699,0.21142,0.23611,-0.32678,1.00000,0.31259,0.13524,0.09865,-0.05155
6,0.61399,0.33287,0.33004,0.29157,0.30807,0.31259,1.00000,0.20514,0.25620,0.03584
7,0.44993,0.16332,0.11752,0.19936,0.20628,0.13524,0.20514,1.00000,0.29027,-0.14674
8,0.34933,0.26688,0.02494,0.27768,0.22260,0.09865,0.25620,0.29027,1.00000,-0.13200
9,0.03341,0.01665,-0.07122,-0.05703,0.05484,-0.05155,0.03584,-0.14674,-0.13200,1.00000
