j,j0,j1,j2,j3,j4,j5,j6,j7,j8,j9,j10,j11
0,1.00000,0.28008,0.23376,0.31450,0.41943,0.32474,0.54745,0.55410,0.48053,0.56097,0.35677,0.12150
1,0.28008,1.00000,-0.11660,0.44720,0.29611,0.27700,0.38575,0.33377,0.54123,0.35465,0.42046,0.17595
2,0.23376,-0.11660,1.00000,-0.37499,0.24660,0.21493,0.46789,0.23424,0.12740,0.38643,0.14183,0.13749
3,0.31450,0.44720,-0.37499,1.00000,0.18144,0.18544,0.25053,0.35151,0.55544,0.25212,0.36839,0.05458
4,0.41943,0.29611,0.24660,0.18144,1.00000,-0.29585,0.38332,0.37691,0.35551,0.42397,0.35464,0.27402
5,0.32474,0.27700,0.21493,0.18544,-0.29585,1.00000,0.34696,0.25301,0.27665,0.28738,0.18098,0.07821
6,0.54745,0.38575,0.46789,0.25053,0.38332,0.34696,1.00000,0.26810,0.52474,0.58736,0.53476,0.10269
7,0.55410,0.33377,0.23424,0.35151,0.37691,0.25301,0.26810,1.00000,0.29123,0.31823,0.16387,0.16138
8,0.48053,0.54123,0.12740,0.55544,0.35551,0.27665,0.52474,0.29123,1.00000,0.39400,0.48023,0.08486
9,0.56097,0.35465,0.38643,0.25212,0.42397,0.28738,0.58736,0.31823,0.39400,1.00000,0.35858,0.13158
10,0.35677,0.42046,0.14183,0.36839,0.35464,0.18098,0.53476,0.16387,0.48023,0.35858,1.00000,0.10655
11,0.12150,0.17595,0.13749,0.05458,0.27402,0.07821,0.10269,0.16138,0.08486,0.13158,0.10655,1.00000

detrended (B_j / sqrt(x))
j,j0,j1,j2,j3,j4,j5,j6,j7,j8,j9,j10,j11
0,1.00000,0.37146,0.32169,0.39446,0.43913,0.42952,0.62102,0.62925,0.52626,0.51851,0.36657,0.12032
1,0.37146,1.00000,-0.20691,0.39692,0.24590,0.29587,0.37318,0.30617,0.48376,0.31181,0.28774,0.10077
2,0.32169,-0.20691,1.00000,-0.42083,0.19391,0.14615,0.43344,0.21368,0.10845,0.31800,0.10153,0.05640
3,0.39446,0.39692,-0.42083,1.00000,0.09484,0.21312,0.25713,0.29099,0.45478,0.21070,0.22742,0.00630
4,0.43913,0.24590,0.19391,0.09484,1.00000,-0.35161,0.36622,0.29189,0.30260,0.31426,0.24951,0.16478
5,0.42952,0.29587,0.14615,0.21312,-0.35161,1.00000,0.31175,0.24505,0.21430,0.24077,0.11871,0.02390
6,0.62102,0.37318,0.43344,0.25713,0.36622,0.31175,1.00000,0.26387,0.48189,0.49528,0.38341,0.04571
7,0.62925,0.30617,0.21368,0.29099,0.29189,0.24505,0.26387,1.00000,0.26210,0.27954,0.15477,0.09322
8,0.52626,0.48376,0.10845,0.45478,0.30260,0.21430,0.48189,0.26210,1.00000,0.38187,0.39518,0.05474
9,0.51851,0.31181,0.31800,0.21070,0.31426,0.24077,0.49528,0.27954,0.38187,1.00000,0.34111,0.10955
10,0.36657,0.28774,0.10153,0.22742,0.24951,0.11871,0.38341,0.15477,0.39518,0.34111,1.00000,0.09819
11,0.12032,0.10077,0.05640,0.00630,0.16478,0.02390,0.04571,0.09322,0.05474,0.10955,0.09819,1.00000
