j,j0,j1,j2,j3,j4,j5,j6,j7,j8,j9,j10,j11,j12,j13
0,1.00000,0.28185,0.22605,0.29460,0.42783,0.40552,0.57309,0.67277,0.34768,0.55495,0.61913,0.74466,0.35220,0.24920
1,0.28185,1.00000,-0.23631,0.44132,0.29695,0.16365,0.35244,0.32950,0.55069,0.15694,0.44757,0.24798,0.39871,0.10827
2,0.22605,-0.23631,1.00000,-0.51178,0.26882,0.13338,0.37948,0.12764,0.06323,0.36999,0.17496,0.33819,-0.07428,0.12812
3,0.29460,0.44132,-0.51178,1.00000,0.03672,0.22329,0.19757,0.28636,0.45705,0.16967,0.34807,0.28857,0.19457,0.04431
4,0.42783,0.29695,0.26882,0.03672,1.00000,-0.27849,0.35529,0.42065,0.32501,0.21576,0.34526,0.51928,0.25459,0.05112
5,0.40552,0.16365,0.13338,0.22329,-0.27849,1.00000,0.31532,0.23029,0.10534,0.39514,0.41701,0.26578,0.09082,0.20365
6,0.57309,0.35244,0.37948,0.19757,0.35529,0.31532,1.00000,0.20848,0.36828,0.55359,0.59146,0.47833,0.26241,0.12827
7,0.67277,0.32950,0.12764,0.28636,0.42065,0.23029,0.20848,1.00000,0.21614,0.20797,0.38908,0.63259,0.31839,0.16765
8,0.34768,0.55069,0.06323,0.45705,0.32501,0.10534,0.36828,0.21614,1.00000,0.11499,0.46019,0.34940,0.24621,0.14846
9,0.55495,0.15694,0.36999,0.16967,0.21576,0.39514,0.55359,0.20797,0.11499,1.00000,0.31800,0.49797,0.02879,0.27203
10,0.61913,0.44757,0.17496,0.34807,0.34526,0.41701,0.59146,0.38908,0.46019,0.31800,1.00000,0.42602,0.29296,0.19699
11,0.74466,0.24798,0.33819,0.28857,0.51928,0.26578,0.47833,0.63259,0.34940,0.49797,0.42602,1.00000,0.10966,0.20504
12,0.35220,0.39871,-0.07428,0.19457,0.25459,0.09082,0.26241,0.31839,0.24621,0.02879,0.29296,0.10966,1.00000,-0.16903
13,0.24920,0.10827,0.12812,0.04431,0.05112,0.20365,0.12827,0.16765,0.14846,0.27203,0.19699,0.20504,-0.16903,1.00000

detrended (B_j / sqrt(x))
j,j0,j1,j2,j3,j4,j5,j6,j7,j8,j9,j10,j11,j12,j13
0,1.00000,0.28913,0.33157,0.33916,0.44622,0.44614,0.62840,0.67440,0.42011,0.55093,0.65263,0.73414,0.33111,0.14840
1,0.28913,1.00000,-0.22513,0.43817,0.25683,0.20810,0.37392,0.28019,0.55602,0.19896,0.44142,0.23969,0.35840,0.10713
2,0.33157,-0.22513,1.00000,-0.49359,0.24283,0.18872,0.40276,0.22713,0.10509,0.36510,0.23751,0.36271,-0.03934,0.15890
3,0.33916,0.43817,-0.49359,1.00000,0.05747,0.19512,0.22911,0.25433,0.46982,0.23352,0.33233,0.33451,0.16770,0.05199
4,0.44622,0.25683,0.24283,0.05747,1.00000,-0.27384,0.37691,0.36945,0.30357,0.24895,0.34058,0.50142,0.20903,0.09183
5,0.44614,0.20810,0.18872,0.19512,-0.27384,1.00000,0.31969,0.26268,0.19150,0.37897,0.43268,0.27276,0.12101,0.17043
6,0.62840,0.37392,0.40276,0.22911,0.37691,0.31969,1.00000,0.24310,0.43211,0.55170,0.62928,0.49936,0.24597,0.13040
7,0.67440,0.28019,0.22713,0.25433,0.36945,0.26268,0.24310,1.00000,0.21721,0.21814,0.38623,0.61910,0.27323,0.12738
8,0.42011,0.55602,0.10509,0.46982,0.30357,0.19150,0.43211,0.21721,1.00000,0.20229,0.47120,0.39124,0.24110,0.13811
9,0.55093,0.19896,0.36510,0.23352,0.24895,0.37897,0.55170,0.21814,0.20229,1.00000,0.33385,0.47834,0.03005,0.22917
10,0.65263,0.44142,0.23751,0.33233,0.34058,0.43268,0.62928,0.38623,0.47120,0.33385,1.00000,0.42951,0.27214,0.16350
11,0.73414,0.23969,0.36271,0.33451,0.50142,0.27276,0.49936,0.61910,0.39124,0.47834,0.42951,1.00000,0.08311,0.15647
12,0.33111,0.35840,-0.03934,0.16770,0.20903,0.12101,0.24597,0.27323,0.24110,0.03005,0.27214,0.08311,1.00000,-0.14863
13,0.14840,0.10713,0.15890,0.05199,0.09183,0.17043,0.13040,0.12738,0.13811,0.22917,0.16350,0.15647,-0.14863,1.00000
