Linux 6.17.0-1019-aws (ip-172-31-20-135) 	08/09/26 	_x86_64_	(16 CPU)

13:14:01     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:14:06     all   10.38    0.00    5.26   63.94    0.00    0.00    0.03    0.00    0.00   20.39
13:14:11     all    6.27    0.00    3.92   76.75    0.00    0.00    0.00    0.00    0.00   13.06
13:14:16     all    7.34    0.00    2.80   17.94    0.00    0.01    0.05    0.00    0.00   71.85
13:14:21     all    2.61    0.00    0.86    0.00    0.00    0.00    0.00    0.00    0.00   96.52
13:14:26     all    2.51    0.00    0.29    0.01    0.00    0.00    0.00    0.00    0.00   97.19
13:14:31     all    0.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.99
13:14:36     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:14:41     all    0.00    0.00    0.00    0.00    0.00    0.00    0.01    0.00    0.00   99.99
13:14:46     all    0.06    0.00    0.05    0.03    0.00    0.00    0.00    0.00    0.00   99.86
13:14:51     all    1.08    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   98.38
13:14:56     all    4.90    0.00    1.12    0.00    0.00    0.00    0.01    0.00    0.00   93.96
13:15:01     all    5.81    0.00    1.25    0.00    0.00    0.01    0.01    0.00    0.00   92.91
Average:     all    3.41    0.00    1.34   13.14    0.00    0.00    0.01    0.00    0.00   82.11
