n,X,dmax,n_d,E,Diag,Off,Diag_int,S_sq,S_sq_abs,n_sq,sum_abs_Bj,sum_abs_terms,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
14936,223113968,2773,2773,-1379.384769114221,1733512.57639356,169189.76487073256,37711396814934,-662.8551585905088,1804.3080946796772,52,2199.3381514355924,32845.20717772341,-556.256,-21.5417,42.3101,196.665,119.876,-368.95,-104.617,51.1252,-74.791,-253.326,-103.032,-306.848,0,0,0,0
14937,223143843,2774,2774,-1285.5802591264146,1782042.3535113244,-129325.7508557851,37721554713839,-569.7381999408353,1759.9510104033216,52,2211.621432557622,33199.42504566222,-508.27,-14.75,-28.0571,265.335,137.707,-395.605,-130.247,59.9784,-61.5935,-226.635,-112.647,-270.797,0,0,0,0
14938,223173720,2774,2774,-1100.7814589133804,1580899.8221361537,-369180.00184868346,37731829121129,-445.26364240294424,1537.981102887603,52,2185.967865923015,32536.33734703463,-441.274,-66.0714,107.684,254.058,149.729,-392.322,-81.0802,31.122,-76.0262,-250.606,-102.148,-233.846,0,0,0,0
14939,223203599,2774,2774,-1257.7215949312267,1574712.3133359775,7151.297020371305,37741198036738,-418.7005942089927,1482.8447416676318,52,2327.770024300251,32909.35132380718,-464.378,-80.3376,120.427,225.783,147.556,-396.85,-124.846,41.2577,-89.9882,-280.19,-109.955,-246.2,0,0,0,0
14940,223233480,2775,2775,-1193.2807349063787,1431905.426045911,-7986.5137472036295,37750998773101,-285.73197160028667,1343.725460300605,52,2234.003671320561,32378.442296285804,-436.473,-47.6066,129.103,227.501,124.57,-397.312,-121.746,39.188,-89.6954,-301.65,-96.7614,-222.397,0,0,0,0
14941,223263363,2775,2775,-1198.6993051228537,1426211.0936166747,10668.93048533774,37760897672451,-234.3211949192464,1327.7883472278245,52,2214.2507098576652,32481.715152366236,-408.667,-49.8203,169.838,167.159,112.455,-368.903,-156.247,58.3232,-95.5141,-299.676,-79.6436,-248.004,0,0,0,0
14942,223293248,2776,2776,-1261.5490037263007,1515457.3856134736,76048.50318934838,37770143318598,-358.2777715691527,1351.6806012982352,52,2173.783333444233,32808.67452845774,-438.852,-29.1471,127.567,154.052,128.469,-385.495,-128.146,46.0293,-105.374,-311.143,-49.7467,-269.762,0,0,0,0
14943,223323135,2776,2776,-1005.9043871863068,1455646.0670542694,-443802.4308936099,37780795192303,-288.4491053743641,1242.3222659516232,52,2075.2757760656204,32423.38254954469,-343.135,-42.3085,161.468,188.708,99.5462,-355.147,-112.776,84.9632,-50.1898,-269.783,-118.992,-248.258,0,0,0,0
14944,223353024,2776,2776,-1140.0231126141462,1509443.0360606983,-209790.33876625216,37789617708145,-376.57567819731867,1346.1076617858043,52,2178.7355702098303,32573.787565773127,-411.411,-70.5828,195.074,145.535,90.3631,-349.622,-87.5445,88.3839,-95.5343,-258.215,-130.058,-256.413,0,0,0,0
14945,223382915,2777,2777,-1238.9248253999676,1568347.2134128893,-33412.490420548944,37798935630283,-283.0578566013046,1467.041643923907,52,2125.065452322916,32366.84219637771,-440.785,-52.802,137.025,146.304,107.372,-384.277,-54.2458,52.368,-118.641,-209,-188.914,-233.331,0,0,0,0
14946,223412808,2777,2777,-1246.1319342912411,1515617.5671670374,37227.230493392795,37808732959218,-256.1426721175221,1336.287700842112,52,2026.8329223621931,32512.813504782443,-421.15,-50.024,146.741,137.188,66.1932,-343.741,-97.0128,40.2284,-96.7618,-215.342,-164.166,-248.285,0,0,0,0
14947,223442703,2777,2777,-1251.3716200740873,1556521.599326679,9409.332200167002,37818291702201,-168.46621007278281,1369.1910486355873,52,2050.3184274867217,33032.93145042275,-427.614,-48.1907,118.687,141.894,66.387,-352.464,-89.7817,72.5054,-106.1,-212.833,-133.181,-280.681,0,0,0,0
14948,223472600,2778,2778,-1130.3987366315978,1506469.939284823,-228668.6355065105,37828298241105,-92.6407529283124,1416.4376537968828,52,1908.0404928285698,32545.2456518087,-385.07,-16.4705,151.509,87.7727,67.3909,-345.737,-81.5502,82.1486,-102.139,-215.859,-101.738,-270.657,0,0,0,0
14949,223502499,2778,2778,-1022.0851890763743,1482296.0947636059,-437637.9610343181,37838116060998,9.234313718508929,1460.8349153023446,52,1964.7516538854989,32322.312471484038,-365.624,-24.5849,143.333,118.59,83.2676,-325.274,-95.9802,126.143,-99.5666,-213.53,-88.9174,-279.942,0,0,0,0
14950,223532400,2779,2779,-890.1994546837286,1503568.2113156207,-711113.1421964129,37848210649009,-1.399878714139959,1288.3837905374448,52,1871.600962565868,32902.39929471791,-327.169,-33.8122,113.264,146.405,94.3941,-287.192,-64.7493,136.638,-81.9124,-198.586,-115.109,-272.369,0,0,0,0
