k,n,X,q,P_q_rho0_kernelQ,P_q_rho_Q6U,sqrt_X_over_q
6,173,30275,2,-65.5,-65.5,123.03454799364283
6,184,34224,2,0.0,0.0,130.81284340614266
6,196,38808,2,0.0,0.0,139.2982411949268
6,208,43680,2,0.0,0.0,147.78362561528934
6,221,49283,2,-65.5,-65.5,156.97611283249435
6,235,55695,2,-65.5,-65.5,166.8757022457134
6,250,63000,2,0.0,0.0,177.48239349298848
6,266,71288,2,0.0,0.0,188.79618640216228
6,283,80655,2,-65.5,-65.5,200.81708094681588
6,301,91203,2,-65.5,-65.5,213.54507720853692
6,320,103040,2,0.0,0.0,226.98017534577772
6,341,116963,2,-65.5,-65.5,241.8294853817458
6,362,131768,2,0.0,0.0,256.6787875925862
6,385,148995,2,-65.5,-65.5,272.94230159504406
6,410,168920,2,0.0,0.0,290.6200268391702
6,436,190968,2,0.0,0.0,309.0048543308017
6,463,215295,2,-65.5,-65.5,328.09678450115905
6,493,244035,2,-65.5,-65.5,349.3100342102986
6,524,275624,2,0.0,0.0,371.2303866872969
6,557,311363,2,-65.5,-65.5,394.5649502933579
6,593,352835,2,-65.5,-65.5,420.0208328166592
6,630,398160,2,0.0,0.0,446.183818621877
6,670,450240,2,0.0,0.0,474.46812327067875
6,713,509795,2,-65.5,-65.5,504.87374659413615
6,173,30275,3,77.33333333333333,77.33333333333333,100.45728777279759
6,184,34224,3,0.0,0.0,106.80823938254952
6,196,38808,3,0.0,0.0,113.73653766490345
6,208,43680,3,0.0,0.0,120.66482503198685
6,221,49283,3,77.33333333333333,77.33333333333333,128.1704594150566
6,235,55695,3,0.0,0.0,136.25344032353826
6,250,63000,3,0.0,0.0,144.9137674618944
6,266,71288,3,77.33333333333333,77.33333333333333,154.15144068955914
6,283,80655,3,0.0,0.0,163.96645998496155
6,301,91203,3,0.0,0.0,174.35882541471767
6,320,103040,3,77.33333333333333,77.33333333333333,185.32853710820325
6,341,116963,3,77.33333333333333,77.33333333333333,197.45294798170693
6,362,131768,3,77.33333333333333,77.33333333333333,209.57735246602067
6,385,148995,3,0.0,0.0,222.85645604289772
6,410,168920,3,77.33333333333333,77.33333333333333,237.29025826330644
6,436,190968,3,0.0,0.0,252.30140705116966
6,463,215295,3,0.0,0.0,267.8899027585773
6,493,244035,3,0.0,0.0,285.21044861645584
6,524,275624,3,77.33333333333333,77.33333333333333,303.1083414666556
6,557,311363,3,77.33333333333333,77.33333333333333,322.1609328684449
6,593,352835,3,77.33333333333333,77.33333333333333,342.9455739132183
6,630,398160,3,0.0,0.0,364.3075623700392
6,670,450240,3,0.0,0.0,387.40160040970403
6,713,509795,3,77.33333333333333,77.33333333333333,412.2276878942833
6,173,30275,5,0.0,0.0,77.8138805098422
6,184,34224,5,-40.2,-40.19999999999347,82.73330647326988
