Linux 6.17.0-1019-aws (ip-172-31-20-135) 	08/09/26 	_x86_64_	(16 CPU)

13:29:20     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:29:25     all   62.69    0.00    5.18    0.00    0.00    0.00    0.01    0.00    0.00   32.12
13:29:30     all   83.41    0.00    4.16    0.01    0.00    0.00    0.00    0.00    0.00   12.42
13:29:35     all   83.73    0.00    3.80    0.00    0.00    0.00    0.00    0.00    0.00   12.47
13:29:40     all   81.61    0.00    5.96    0.00    0.00    0.00    0.00    0.00    0.00   12.43
13:29:45     all   84.34    0.00    3.21    0.00    0.00    0.00    0.00    0.00    0.00   12.45
13:29:50     all   84.10    0.00    3.45    0.00    0.00    0.00    0.01    0.00    0.00   12.43
13:29:55     all   82.06    0.00    5.59    0.00    0.00    0.00    0.01    0.00    0.00   12.33
13:30:00     all   84.15    0.00    3.41    0.00    0.00    0.00    0.01    0.00    0.00   12.42
13:30:05     all   83.36    0.00    4.21    0.00    0.00    0.00    0.01    0.00    0.00   12.41
13:30:10     all   83.37    0.00    4.20    0.00    0.00    0.00    0.00    0.00    0.00   12.42
13:30:15     all   83.89    0.00    3.64    0.00    0.00    0.00    0.07    0.00    0.00   12.40
13:30:20     all   77.75    0.00    4.83    0.00    0.00    0.00    0.00    0.00    0.00   17.43
13:30:25     all   10.15    0.00    0.51    0.01    0.00    0.00    0.02    0.00    0.00   89.30
13:30:30     all    6.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   93.75
13:30:35     all    6.05    0.00    0.20    0.00    0.00    0.00    0.01    0.00    0.00   93.74
13:30:40     all    4.58    0.00    1.68    0.00    0.00    0.00    0.00    0.00    0.00   93.75
13:30:45     all    4.49    0.00    1.76    0.00    0.00    0.00    0.00    0.00    0.00   93.75
13:30:50     all   63.37    0.00   20.72    0.00    0.00    0.00    0.00    0.00    0.00   15.91
13:30:55     all   41.30    0.00   11.52    0.00    0.00    0.00    0.00    0.00    0.00   47.18
13:31:00     all    0.03    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.88
13:31:05     all    0.00    0.00    0.00    0.01    0.00    0.00    0.00    0.00    0.00   99.99
13:31:10     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:31:15     all    0.32    0.00    0.12    0.00    0.00    0.00    0.09    0.00    0.00   99.46
13:31:20     all    0.00    0.00    0.01    0.01    0.00    0.00    0.00    0.00    0.00   99.97
13:31:25     all    0.01    0.00    0.01    0.00    0.00    0.00    0.00    0.00    0.00   99.98
13:31:30     all    0.00    0.00    0.01    0.00    0.00    0.00    0.00    0.00    0.00   99.99
13:31:35     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:31:40     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:31:45     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:31:50     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:     all   37.03    0.00    2.94    0.00    0.00    0.00    0.01    0.00    0.00   60.02
