k,n,X,q,P_q,abs_P_q,sqrt_X_over_q,Dpsi_max,Dpsi_rms,ratio_renewal,ratio_rawdisc,log10_rho
6,173,30275,2,-65.5,65.5,123.03454799364283,24.25381314618062,24.25381314618062,0.5323707939609318,2.7006062760203395,-587.8907589363273
6,173,30275,3,77.33333333333333,77.33333333333333,100.45728777279759,13.293531543075005,12.265821140282997,0.7698130722803976,5.817365617462167,-587.8907589363273
6,173,30275,4,-24.0,24.0,86.99856320652658,14.098698956911903,12.286164097734193,0.2758666248662775,1.7022847337437454,-587.8907589363273
6,173,30275,5,0.0,0.0,77.8138805098422,23.41345091261428,16.111671898192064,0.0,0.0,-587.8907589363273
6,173,30275,6,48.333333333333336,48.333333333333336,71.03402940375362,18.14556180699401,17.104470369470086,0.6804250545693988,2.6636449092859595,-587.8907589363273
6,173,30275,7,0.0,0.0,65.76473218982953,89.80558043725978,49.222595849216624,0.0,0.0,-587.8907589363273
6,173,30275,9,-85.66666666666667,85.66666666666667,57.999042137684384,88.31777640886958,43.41358660073732,1.477035887304861,0.9699821502533135,-587.8907589363273
6,173,30275,10,-37.4,37.4,55.02272257894914,25.492892454294633,17.234365819387314,0.6797191823130299,1.467075580656578,-587.8907589363273
6,173,30275,12,1.5,1.5,50.22864388639879,38.45954882382193,30.963435942628873,0.02986343814880853,0.03900201759701603,-587.8907589363273
6,173,30275,14,-144.14285714285714,144.14285714285714,46.502688094345686,92.57816915949934,50.277575317472596,3.0996672031177406,1.5569853935490883,-587.8907589363273
6,173,30275,15,185.2,185.2,44.92586485904677,48.417276833997676,27.223361636583064,4.122346905976281,3.8250808824910227,-587.8907589363273
6,173,30275,20,-49.7,49.7,38.9069402549211,44.36860126621377,27.317364922703064,1.2774070557685078,1.1201615237270515,-587.8907589363273
6,173,30275,21,-13.714285714285714,13.714285714285714,37.969285832981726,90.61272275956117,40.88673399567432,0.36119419718905815,0.151350553174263,-587.8907589363273
6,173,30275,25,139.8,139.8,34.79942528261063,78.31816431879201,41.332880549792264,4.017307724615167,1.7850265160831376,-587.8907589363273
6,173,30275,28,38.92857142857143,38.92857142857143,32.882366094914765,92.70904275823068,45.45178267674878,1.1838737916913986,0.4199004786414469,-587.8907589363273
6,173,30275,30,160.66666666666666,160.66666666666666,31.76738369250239,46.33783529231732,26.929275826745958,5.057598328583369,3.4672890015927162,-587.8907589363273
6,173,30275,35,0.0,0.0,29.410882339705484,55.99456015227338,28.0967072007772,0.0,0.0,-587.8907589363273
6,173,30275,49,0.0,0.0,24.85673234472188,61.69818670666302,28.593815076010706,0.0,0.0,-587.8907589363273
6,173,30275,63,0.5714285714285714,0.5714285714285714,21.92157739660984,83.3261657726265,32.320270783543144,0.02606694587210419,0.0068577326957277515,-587.8907589363273
6,173,30275,105,80.74285714285715,80.74285714285715,16.98038083593337,86.46447609002041,31.168328721535687,4.755067505434951,0.9338269401967307,-587.8907589363273
6,173,30275,210,-274.2190476190476,274.2190476190476,12.006942436218583,86.46447609002041,31.15492089591395,22.838374471745116,3.171464860708241,-587.8907589363273
6,173,30275,225,28.066666666666666,28.066666666666666,11.599808427536876,60.10429174269237,22.365816260176928,2.419580188931309,0.4669660993065288,-587.8907589363273
6,173,30275,441,-11.0,11.0,8.285577448240627,48.35471368446332,18.035220711688098,1.3276081321689603,0.22748557817506776,-587.8907589363273
6,190,36480,2,0.0,0.0,135.05554412907307,33.131291307778156,33.131291307778156,0.0,0.0,-586.4703653060566
6,190,36480,3,0.0,0.0,110.27239001672177,52.16188153674739,39.38708363640041,0.0,0.0,-586.4703653060566
6,190,36480,4,-46.5,46.5,95.49869109050658,34.307587203595176,24.273382662568984,0.486917668389096,1.3553853182402507,-586.4703653060566
6,190,36480,5,0.0,0.0,85.41662601625049,43.76882722283153,25.40665503473533,0.0,0.0,-586.4703653060566
6,190,36480,6,0.0,0.0,77.9743547584717,57.01391180066639,41.51174074756616,0.0,0.0,-586.4703653060566
6,190,36480,7,-31.428571428571427,31.428571428571427,72.1902249021886,60.38211521080302,37.06719660618343,0.4353577159671462,0.5204947080579998,-586.4703653060566
6,190,36480,9,238.33333333333334,238.33333333333334,63.66579406033772,91.365555850487,42.68788817306655,3.7435068053570286,2.6085687446957393,-586.4703653060566
6,190,36480,10,0.0,0.0,60.398675482166,46.541415945070185,26.455041922993733,0.0,0.0,-586.4703653060566
6,190,36480,12,45.0,45.0,55.136195008360886,38.00477033732386,22.483672506532287,0.8161607813737631,1.184061884878863,-586.4703653060566
6,190,36480,14,-87.0,87.0,51.04619756371953,56.91637930800334,37.4562227151978,1.7043385041833987,1.5285582297707125,-586.4703653060566
6,190,36480,15,0.0,0.0,49.31531202375181,47.441477219357694,21.19552200858384,0.0,0.0,-586.4703653060566
6,190,36480,20,49.8,49.8,42.708313008125245,85.57360759241965,43.36240666575904,1.166049335419209,0.5819551308061415,-586.4703653060566
6,190,36480,21,-13.666666666666666,13.666666666666666,41.67904578013822,86.18337778982595,41.04943790893321,0.3279025805619426,0.15857659582565156,-586.4703653060566
6,190,36480,25,0.0,0.0,38.19947643620263,79.41016047234575,35.503469483843006,0.0,0.0,-586.4703653060566
6,190,36480,28,167.64285714285714,167.64285714285714,36.0951124510943,74.81375778822348,45.870143146779874,4.644475269885873,2.24080252214314,-586.4703653060566
6,190,36480,30,0.0,0.0,34.87119154832539,50.214065941598164,22.427004989384944,0.0,0.0,-586.4703653060566
6,190,36480,35,263.0,263.0,32.28445003845837,63.457608358739435,27.86361441293525,8.146336694188848,4.144499088481317,-586.4703653060566
6,190,36480,49,-39.57142857142857,39.57142857142857,27.285340311573307,64.04225131589351,27.559290432619903,1.4502816574599957,0.6178956510482329,-586.4703653060566
6,190,36480,63,153.61904761904762,153.61904761904762,24.063408300729535,99.32735711231408,37.250347619849606,6.383927235045516,1.5465935275549856,-586.4703653060566
6,190,36480,105,-29.266666666666666,29.266666666666666,18.63943592034296,71.96574113678798,29.168577706743545,1.5701476585310832,0.4066749845740964,-586.4703653060566
6,190,36480,210,262.03333333333336,262.03333333333336,13.180071536766624,70.57944677566798,29.183098537913903,19.8810251220849,3.712601122621274,-586.4703653060566
6,190,36480,225,-481.8,481.8,12.733158812067543,72.68400700001149,25.569762572471042,37.83821494030104,6.628693434580786,-586.4703653060566
6,190,36480,441,-8.476190476190476,8.476190476190476,9.095113437191102,51.905900047582435,19.211179667912386,0.9319499459490225,0.16329917154736368,-586.4703653060566
6,209,44099,2,-65.5,65.5,148.49074045205646,12.94143183005508,12.94143183005508,0.4411049456726774,5.061263765875064,-586.131661791055
6,209,44099,3,77.33333333333333,77.33333333333333,121.24218187853049,60.73090393613893,54.42251288088091,0.6378418149123353,1.2733769517847544,-586.131661791055
6,209,44099,4,-24.0,24.0,104.99880951706072,29.21314559617167,23.645047520651936,0.22857402012829833,0.8215479541903613,-586.131661791055
6,209,44099,5,-40.2,40.2,93.91379025467985,118.2420485253715,70.57901277362102,0.42805215177647227,0.33998057798680803,-586.131661791055
6,209,44099,6,48.333333333333336,48.333333333333336,85.73116897216165,55.878873672219925,54.373358012803635,0.5637778408110588,0.8649661340142967,-586.131661791055
6,209,44099,7,6.142857142857143,6.142857142857143,79.37163941142417,58.35719633640474,31.668292415513744,0.07739360290916437,0.10526306143026733,-586.131661791055
6,209,44099,9,-85.66666666666667,85.66666666666667,69.99920634470715,71.39134104845562,49.4893659105453,1.2238233994369307,1.1999587822355364,-586.131661791055
6,209,44099,10,67.1,67.1,66.40707793601523,115.46945980313103,70.39107275482587,1.0104344609870113,0.5811060354348392,-586.131661791055
6,209,44099,12,1.5,1.5,60.621090939265244,79.89584375328559,50.31675808374697,0.02474386350953025,0.018774443444541693,-586.131661791055
6,209,44099,14,34.357142857142854,34.357142857142854,56.124224461711464,58.35719633640474,30.824643178556034,0.6121624518942201,0.5887387505576578,-586.131661791055
6,209,44099,15,48.2,48.2,54.22115208415747,84.34595731499394,46.59340147077982,0.8889519707214641,0.5714559598866705,-586.131661791055
6,209,44099,20,26.3,26.3,46.956895127339926,97.00663776359579,49.0910012752132,0.560088138891603,0.27111546803727843,-586.131661791055
6,209,44099,21,44.95238095238095,44.95238095238095,45.82523738020765,74.2403560261132,41.134935925363344,0.9809524952247449,0.6054979172859766,-586.131661791055
6,209,44099,25,146.2,146.2,41.999523806824286,86.76765075016783,45.93840527505706,3.480991848203877,1.6849597601870903,-586.131661791055
6,209,44099,28,220.42857142857142,220.42857142857142,39.685819705712085,61.18200254916974,28.346484410527175,5.554340897155377,3.60283354980774,-586.131661791055
6,209,44099,30,-202.16666666666666,202.16666666666666,38.34014432245485,87.11854603723441,47.05522553931038,5.272976151742412,2.320592753927054,-586.131661791055
6,209,44099,35,20.34285714285714,20.34285714285714,35.49607624190917,76.71654748141896,40.46272865566346,0.5731015733744377,0.2651690907725515,-586.131661791055
6,209,44099,49,-81.85714285714286,81.85714285714286,29.999659862017346,75.81382362164663,34.89866927483956,2.728602365281562,1.0797126295285642,-586.131661791055
6,209,44099,63,297.9047619047619,297.9047619047619,26.45721313714139,88.9355754369301,43.612452848968815,11.259869297668192,3.349669245869166,-586.131661791055
6,209,44099,105,-58.75238095238095,58.75238095238095,20.493669173441738,79.63211340375722,37.75878301448177,2.8668551470773056,0.737797584932725,-586.131661791055
6,209,44099,210,250.48095238095237,250.48095238095237,14.491212443934362,79.63211340375722,37.772003385352946,17.285023827374573,3.145476638437856,-586.131661791055
6,209,44099,225,-472.73333333333335,472.73333333333335,13.999841268941429,83.26176739593836,29.724232740696998,33.76704951520341,5.677675938409085,-586.131661791055
6,209,44099,441,-75.14285714285714,75.14285714285714,9.999886620672449,56.99868711710019,20.936638526659795,7.514370911717808,1.3183261043974732,-586.131661791055
6,230,53360,2,0.0,0.0,163.34013591276334,16.453637316153618,16.453637316153618,0.0,0.0,-585.9120102818981
6,230,53360,3,77.33333333333333,77.33333333333333,133.36666250104133,15.784896110151749,11.162173628658202,0.5798550543523536,4.899198119118307,-585.9120102818981
6,230,53360,4,-46.5,46.5,115.49891774384729,14.705110669176065,10.471332895763968,0.4026011750441453,3.162165933063693,-585.9120102818981
6,230,53360,5,0.0,0.0,103.30537256115966,24.000770530943555,14.68978886188458,0.0,0.0,-585.9120102818981
6,230,53360,6,-26.0,26.0,94.30447143870397,21.330073554629053,15.493271185944392,0.27570272759441194,1.2189362560523136,-585.9120102818981
6,230,53360,7,6.142857142857143,6.142857142857143,87.30897515637864,37.01274467662006,28.05755656453596,0.07035768237864097,0.16596599891543354,-585.9120102818981
6,230,53360,9,-85.66666666666667,85.66666666666667,76.99927849589818,54.96348798543295,33.00424421299027,1.1125645374875845,1.5586104486194732,-585.9120102818981
6,230,53360,10,0.0,0.0,73.0479294709987,26.773359253184026,15.589214935058436,0.0,0.0,-585.9120102818981
6,230,53360,12,-8.0,8.0,66.68333125052067,45.72123476360866,39.496858362227265,0.11997001124531456,0.17497340221370217,-585.9120102818981
6,230,53360,14,-178.5,178.5,61.73676839152315,37.01274467662006,27.729141267829934,2.8913078000452836,4.8226631545310275,-585.9120102818981
6,230,53360,15,185.2,185.2,59.64338465692011,59.83306846071082,37.06794981072945,3.1051222371987266,3.095278326258847,-585.9120102818981
6,230,53360,20,49.8,49.8,51.65268628057983,44.266114538644615,26.65289916760228,0.964131850364646,1.1250140320430486,-585.9120102818981
6,230,53360,21,44.95238095238095,44.95238095238095,50.40786030920555,61.62097917036317,34.56548233119264,0.8917732408525121,0.7294979982077427,-585.9120102818981
6,230,53360,25,-142.8,142.8,46.19956709753891,83.74122555219128,47.225169551093394,3.090938053564729,1.7052532854442244,-585.9120102818981
6,230,53360,28,212.14285714285714,212.14285714285714,43.65448757818932,98.46253515993703,52.24667375359115,4.859588759641015,2.1545540829135077,-585.9120102818981
6,230,53360,30,-432.8,432.8,42.174241743825895,62.60565718295129,38.25447217459051,10.262188058505162,6.913113278808607,-585.9120102818981
6,230,53360,35,201.2,201.2,39.0457606991006,64.26746394547536,32.2317909826093,5.152928164225381,3.1306665557971676,-585.9120102818981
6,230,53360,49,-81.85714285714286,81.85714285714286,32.99969078395637,87.0527041144112,40.562395624063626,2.480542723659089,0.9403170606803903,-585.9120102818981
6,230,53360,63,297.9047619047619,297.9047619047619,29.102991718792882,132.65918170768487,38.93467557761462,10.236224673506461,2.2456399780996423,-585.9120102818981
6,230,53360,105,75.67619047619047,75.67619047619047,22.54308045033944,84.45734070221124,35.582648442042185,3.356958719235329,0.8960285730877758,-585.9120102818981
6,230,53360,210,-72.57142857142857,72.57142857142857,15.940365055268908,83.07104634109123,35.61488351067665,4.552682973056561,0.8736067711660807,-585.9120102818981
6,230,53360,225,-453.93333333333334,453.93333333333334,15.399855699179637,73.07045282277801,31.72063911284554,29.476466676081564,6.212269334559676,-585.9120102818981
6,230,53360,441,-75.14285714285714,75.14285714285714,10.999896927985455,67.92859830352398,24.735853243522012,6.8312328410716265,1.106203558140532,-585.9120102818981
6,252,64008,2,0.0,0.0,178.8966181905069,29.215502828155877,29.215502828155877,0.0,0.0,-585.7487272086817
6,252,64008,3,0.0,0.0,146.0684770920817,33.19135057127278,23.69074516845645,0.0,0.0,-585.7487272086817
6,252,64008,4,-46.5,46.5,126.49901185384809,43.13414988927252,32.04905320505936,0.36759180422471793,1.0780321420352037,-585.7487272086817
6,252,64008,5,-5.4,5.4,113.14415583670241,87.99276101324904,49.792206837678194,0.04772672490299596,0.06136868462607878,-585.7487272086817
6,252,64008,6,0.0,0.0,103.28601066940286,28.339320307350135,21.27590150479638,0.0,0.0,-585.7487272086817
6,252,64008,7,0.0,0.0,95.62426470305536,100.89936698026395,48.92855346067729,0.0,0.0,-585.7487272086817
6,252,64008,9,-55.333333333333336,55.333333333333336,84.33267456923205,97.4705146164215,57.238566437985824,0.6561316075408944,0.56769304595434,-585.7487272086817
6,252,64008,10,44.5,44.5,80.00499984375976,85.22017229100857,49.4666578721444,0.5562152376339379,0.5221768368179551,-585.7487272086817
6,252,64008,12,45.0,45.0,73.03423854604085,100.04977078997581,73.79421960420368,0.6161493690610871,0.44977614286057555,-585.7487272086817
6,252,64008,14,0.0,0.0,67.61656601750786,97.43363107746518,48.06852456492259,0.0,0.0,-585.7487272086817
6,252,64008,15,67.0,67.0,65.3238088295531,110.65407964043516,59.48468965406491,1.0256597280605686,0.6054905541459756,-585.7487272086817
6,252,64008,20,38.3,38.3,56.572077918351205,70.84667951443589,51.47170733620504,0.677012431031387,0.5406040235406643,-585.7487272086817
6,252,64008,21,0.0,0.0,55.20869496736904,81.98616992501593,36.02195304796121,0.0,0.0,-585.7487272086817
6,252,64008,25,-171.0,171.0,50.59960474153924,84.12050953394464,48.313619628286055,3.3794730388401484,2.032797957922466,-585.7487272086817
6,252,64008,28,239.14285714285714,239.14285714285714,47.81213235152768,94.48687314173094,52.62819235498487,5.001719132387035,2.5309638174198152,-585.7487272086817
6,252,64008,30,-313.8333333333333,313.8333333333333,46.190908196310666,110.65407964043516,59.792255523586945,6.794266352147621,2.836165953872816,-585.7487272086817
6,252,64008,35,274.57142857142856,274.57142857142856,42.76447123489311,89.23339512761959,33.66459078252937,6.420550065106279,3.0770030455385307,-585.7487272086817
6,252,64008,49,171.57142857142858,171.57142857142858,36.14257481538517,162.93537022806004,52.6738028031848,4.747072654557917,1.053002968792354,-585.7487272086817
6,252,64008,63,313.57142857142856,313.57142857142856,31.874754901018456,115.7990643633052,46.77342554070952,9.837610659130414,2.707892592185694,-585.7487272086817
6,252,64008,105,88.76190476190476,88.76190476190476,24.690078979217542,126.17925557030753,37.57725051599194,3.595043370927189,0.7034587766484826,-585.7487272086817
6,252,64008,210,377.3333333333333,377.3333333333333,17.458522274236156,124.79296120918752,37.534415198679184,21.613131249382466,3.023674810479241,-585.7487272086817
6,252,64008,225,33.86666666666667,33.86666666666667,16.86653491384641,93.62556557331345,36.08844426535021,2.007920823076954,0.3617245616545557,-585.7487272086817
6,252,64008,441,18.666666666666668,18.666666666666668,12.047524938461724,76.39079985950889,26.456744895465757,1.5494192178074133,0.2443575234320982,-585.7487272086817
6,277,77283,2,-65.5,65.5,196.5744133909599,40.34222931928525,40.34222931928525,0.33320714975111926,1.6236088363289407,-585.6054956344691
6,277,77283,3,0.0,0.0,160.50233643159217,89.23017696732131,71.98006025455449,0.0,0.0,-585.6054956344691
6,277,77283,4,-24.0,24.0,138.99910071651544,31.21566634265764,22.99686910194595,0.1726629875753462,0.7688447120285528,-585.6054956344691
6,277,77283,5,-5.4,5.4,124.32457520538729,24.99506326342089,17.237171390803873,0.04343469495937602,0.2160426618284519,-585.6054956344691
6,277,77283,6,22.333333333333332,22.333333333333332,113.49229048706349,94.77535441180225,73.72248573043562,0.19678282319871776,0.23564494664186864,-585.6054956344691
6,277,77283,7,-31.428571428571427,31.428571428571427,105.0734437021485,104.31187073346155,50.736934027361045,0.29911051090760804,0.3012942938093589,-585.6054956344691
6,277,77283,9,-55.333333333333336,55.333333333333336,92.66606714434361,153.92929310533327,77.79685481889771,0.5971261653647391,0.35947240591476587,-585.6054956344691
6,277,77283,10,-81.9,81.9,87.91075019586626,27.767651985664997,18.940590343732,0.9316266761178329,2.9494751678060767,-585.6054956344691
6,277,77283,12,50.5,50.5,80.25116821579608,85.66293078805029,49.618588320530215,0.6292743286204266,0.5895198720780237,-585.6054956344691
6,277,77283,14,-57.142857142857146,57.142857142857146,74.29814456441214,107.77760663626213,52.30574661041249,0.7691020748616089,0.5301922999246788,-585.6054956344691
6,277,77283,15,67.0,67.0,71.77882696171622,36.770775599703484,22.170720832216492,0.9334228885592538,1.8220991781457088,-585.6054956344691
