k,n,X,Msm,sum_M_pi,Mplus,B,C,E,H=C-2E,float_resid
6,173,30275,-131,-133,-264,-146.5212037484763,29.042407496952592,13.521203748476296,2.0,0.0
6,174,30624,-126,-163,-289,-150.10664108997227,11.213282179944542,-12.893358910027729,37.0,0.0
6,175,30975,-127,-168,-295,-154.55870692269448,14.117413845388967,-13.44129307730563,41.0,2.2737367544323206e-13
6,176,31328,-127,-165,-292,-159.37933144065013,26.758662881300268,-5.62066855934998,38.0,2.2737367544323206e-13
6,177,31683,-128,-181,-309,-164.34625910064796,19.69251820129591,-16.653740899351817,53.0,4.547473508864641e-13
6,178,32040,-133,-191,-324,-169.16270879637898,14.325417592757958,-21.83729120362102,58.0,0.0
6,179,32399,-137,-184,-321,-174.45783855641926,27.915677112838523,-9.542161443580852,47.0,2.2737367544323206e-13
6,180,32760,-156,-181,-337,-178.98516400247343,20.97032800494685,-2.0148359975266885,25.0,2.2737367544323206e-13
6,181,33123,-175,-179,-354,-183.40567019551938,12.811340391038755,4.405670195519264,4.0,2.2737367544323206e-13
6,182,33488,-179,-174,-353,-187.19392745111912,21.387854902238246,13.193927451119123,-5.0,0.0
6,183,33855,-190,-167,-357,-191.78783493310328,26.575669866206567,24.787834933103397,-23.0,2.2737367544323206e-13
6,184,34224,-198,-174,-372,-196.64406980151142,21.28813960302284,22.64406980151142,-24.0,0.0
6,185,34595,-206,-174,-380,-201.55700728229658,23.114014564593163,27.55700728229658,-32.0,0.0
6,186,34968,-205,-184,-389,-206.50761545409338,24.015230908186766,22.507615454093383,-21.0,0.0
6,187,35343,-214,-187,-401,-211.55129979769228,22.10259959538456,24.55129979769228,-27.0,0.0
6,188,35720,-211,-195,-406,-216.94017794228589,27.88035588457177,21.940177942285885,-16.0,0.0
6,189,36099,-217,-205,-422,-221.89842580212192,21.79685160424384,16.898425802122034,-12.0,2.2737367544323206e-13
6,190,36480,-214,-217,-431,-226.54632492417844,22.09264984835687,9.546324924178322,3.0,2.2737367544323206e-13
6,191,36863,-220,-213,-433,-230.76654988531672,28.53309977063344,17.766549885316607,-7.0,2.2737367544323206e-13
6,192,37248,-232,-214,-446,-234.77573156620093,23.551463132401864,20.775731566200818,-18.0,2.2737367544323206e-13
6,193,37635,-246,-208,-454,-238.72871834310723,23.457436686214464,30.728718343107232,-38.0,0.0
6,194,38024,-245,-214,-459,-243.14773602037192,27.295472040743846,29.14773602037181,-31.0,2.2737367544323206e-13
6,195,38415,-248,-219,-467,-247.98036588975452,28.960731779509047,28.980365889754523,-29.0,0.0
6,196,38808,-248,-231,-479,-253.16149230576454,27.32298461152908,22.16149230576454,-17.0,0.0
6,197,39203,-256,-247,-503,-258.3714864031198,13.74297280623955,11.371486403119746,-9.0,5.684341886080802e-14
6,198,39600,-258,-241,-499,-262.75265906455905,26.50531812911811,21.75265906455894,-17.0,2.2737367544323206e-13
6,199,39999,-261,-251,-512,-267.2047827325258,22.409565465051628,16.204782732525842,-10.0,5.684341886080802e-14
6,200,40400,-261,-250,-511,-270.92963571435524,30.859271428710485,20.92963571435527,-11.0,5.684341886080802e-14
6,201,40803,-259,-261,-520,-275.2209471036696,30.441894207339146,14.220947103669516,2.0,1.1368683772161603e-13
6,202,41208,-266,-270,-536,-278.06376472751475,20.127529455029503,8.063764727514723,4.0,5.684341886080802e-14
6,203,41615,-277,-260,-537,-281.127360942221,25.254721884442006,21.127360942221003,-17.0,0.0
6,204,42024,-284,-242,-526,-282.64305205522294,39.286104110445876,40.64305205522297,-42.0,5.684341886080802e-14
6,205,42435,-297,-239,-536,-285.4596686297249,34.919337259449776,46.459668629724945,-58.0,1.1368683772161603e-13
6,206,42848,-306,-225,-531,-288.77195470633444,46.54390941266888,63.77195470633441,-81.0,5.684341886080802e-14
6,207,43263,-301,-253,-554,-291.69327235481205,29.386544709624104,38.693272354812024,-48.0,5.684341886080802e-14
6,208,43680,-292,-267,-559,-294.7270211487949,30.454042297589808,27.727021148794847,-25.0,1.1368683772161603e-13
6,209,44099,-290,-266,-556,-299.1191851032444,42.23837020648875,33.11918510324443,-24.0,1.1368683772161603e-13
6,210,44520,-282,-288,-570,-302.6635066915593,35.32701338311858,14.663506691559121,6.0,3.410605131648481e-13
6,211,44943,-286,-285,-571,-305.7617036664252,40.52340733285041,20.761703666425348,-1.0,2.8421709430404007e-13
6,212,45368,-287,-285,-572,-309.142420156555,46.28484031310995,24.142420156554948,-2.0,5.684341886080802e-14
6,213,45795,-290,-298,-588,-312.3712550416059,36.742510083211755,14.371255041605934,8.0,1.1368683772161603e-13
6,214,46224,-290,-327,-617,-315.23106521090307,13.462130421806137,-11.76893478909713,37.0,3.979039320256561e-13
6,215,46655,-285,-324,-609,-317.89151928870785,26.78303857741571,-6.108480711292145,39.0,0.0
6,216,47088,-285,-334,-619,-319.865159157525,20.73031831505,-14.134840842474915,49.0,1.7053025658242404e-13
6,217,47523,-280,-341,-621,-323.2728243028321,25.545648605664155,-17.72717569716798,61.0,1.1368683772161603e-13
6,218,47960,-276,-335,-611,-326.1417491920545,41.28349838410895,-8.858250807945609,59.0,1.7053025658242404e-13
6,219,48399,-279,-366,-645,-330.679157012776,16.358314025551977,-35.32084298722393,87.0,1.7053025658242404e-13
6,220,48840,-284,-361,-645,-334.3803454976453,23.760690995290588,-26.619654502355047,77.0,6.821210263296962e-13
6,221,49283,-295,-360,-655,-338.5304669904246,22.0609339808492,-21.469533009575258,65.0,2.8421709430404007e-13
6,222,49728,-306,-354,-660,-342.15760608141846,24.31521216283693,-11.842393918581706,48.0,3.410605131648481e-13
6,223,50175,-318,-332,-650,-345.41504633113846,40.83009266227691,13.415046331138655,14.0,3.979039320256561e-13
6,224,50624,-333,-334,-667,-350.0379972006146,33.075994401229195,16.0379972006144,1.0,3.979039320256561e-13
6,225,51075,-322,-345,-667,-354.3762999498766,41.75259989975325,9.376299949876511,23.0,2.2737367544323206e-13
6,226,51528,-325,-351,-676,-359.745036241,43.49007248199996,8.745036241000008,26.0,5.684341886080802e-14
6,227,51983,-339,-344,-683,-364.6459040160596,46.29180803211921,20.645904016059575,5.0,5.684341886080802e-14
6,228,52440,-351,-361,-712,-370.4415993964214,28.88319879284279,9.441599396421651,10.0,5.115907697472721e-13
6,229,52899,-359,-381,-740,-377.05711488172756,14.114229763455114,-3.9428851182725566,22.0,2.2737367544323206e-13
6,230,53360,-358,-368,-726,-381.8207065594946,37.64141311898925,13.820706559494795,10.0,3.410605131648481e-13
6,231,53823,-361,-380,-741,-387.2388429644287,33.477685928857454,7.2388429644287555,19.0,5.684341886080802e-14
6,232,54288,-369,-400,-769,-392.8111182730534,16.62223654610682,-7.188881726946505,31.0,1.7053025658242404e-13
6,233,54755,-378,-390,-768,-398.4733216845569,28.946643369113758,8.473321684556765,12.0,2.2737367544323206e-13
6,234,55224,-382,-390,-772,-402.88338458591016,33.76676917182033,12.883384585910221,8.0,1.1368683772161603e-13
6,235,55695,-386,-414,-800,-407.4509763873854,14.901952774770848,-6.549023612614548,28.0,5.684341886080802e-14
6,236,56168,-399,-397,-796,-412.6676880306123,29.335376061224565,15.667688030612283,-2.0,0.0
6,237,56643,-420,-389,-809,-418.7764159788496,28.552831957699254,29.776415978849656,-31.0,5.684341886080802e-14
6,238,57120,-440,-367,-807,-424.92645912146537,42.85291824293074,57.92645912146523,-73.0,2.8421709430404007e-13
6,239,57599,-437,-381,-818,-430.77411366346917,43.54822732693833,49.77411366346965,-56.0,9.663381206337363e-13
6,240,58080,-455,-390,-845,-437.22090087228764,29.441801744575287,47.22090087228736,-65.0,5.684341886080801e-13
6,241,58563,-458,-397,-855,-443.70262850772696,32.40525701545391,46.702628507726956,-61.0,0.0
6,242,59048,-477,-385,-862,-449.5205932406808,37.04118648136159,64.5205932406806,-92.0,3.979039320256561e-13
6,243,59535,-484,-382,-866,-454.9540893814566,43.90817876291317,72.95408938145678,-102.0,3.979039320256561e-13
6,244,60024,-477,-396,-873,-461.47189641470226,49.943792829404515,65.47189641470217,-81.0,1.7053025658242404e-13
6,245,60515,-478,-416,-894,-468.050861158642,42.10172231728404,52.05086115864182,-62.0,3.979039320256561e-13
6,246,61008,-490,-411,-901,-473.74862238112905,46.497244762258106,62.74862238112914,-79.0,1.7053025658242404e-13
6,247,61503,-493,-430,-923,-479.44578469210165,35.89156938420331,49.44578469210151,-63.0,2.8421709430404007e-13
6,248,62000,-498,-428,-926,-484.28858443085545,42.5771688617109,56.28858443085551,-70.0,1.1368683772161603e-13
6,249,62499,-500,-447,-947,-488.85202318208775,30.704046364175497,41.852023182088146,-53.0,7.958078640513122e-13
6,250,63000,-498,-458,-956,-491.9587885452612,27.9175770905224,33.958788545261,-40.0,3.979039320256561e-13
6,251,63503,-492,-453,-945,-496.10572314248395,47.211446284967906,43.10572314248381,-39.0,2.8421709430404007e-13
6,252,64008,-508,-434,-942,-500.4137268032744,58.82745360654883,66.41372680327382,-74.0,1.1937117960769683e-12
6,253,64515,-503,-471,-974,-504.98765351906906,35.97530703813811,33.98765351906903,-32.0,5.684341886080802e-14
6,254,65024,-490,-506,-996,-510.0636642964316,24.12732859286325,4.063664296431369,16.0,5.115907697472721e-13
6,255,65535,-489,-503,-992,-514.172630012189,36.34526002437792,11.172630012189103,14.0,2.8421709430404007e-13
6,256,66048,-492,-496,-988,-517.6872909473739,47.374581894747735,21.687290947373754,4.0,2.2737367544323206e-13
6,257,66563,-486,-509,-995,-521.7083008358647,48.416601671729495,12.708300835864634,23.0,2.2737367544323206e-13
6,258,67080,-481,-512,-993,-524.4484267815568,55.89685356311361,12.448426781556975,31.0,3.410605131648481e-13
6,259,67599,-491,-518,-1009,-527.6912741599801,46.38254831996028,9.691274159980253,27.0,2.2737367544323206e-13
6,260,68120,-492,-514,-1006,-529.5398817654182,53.07976353083632,15.539881765418528,22.0,7.389644451905042e-13
6,261,68643,-489,-538,-1027,-530.6273426573979,34.25468531479578,-7.372657342602793,49.0,1.3642420526593924e-12
6,262,69168,-483,-547,-1030,-532.2767723241614,34.55354464832271,-14.723227675838274,64.0,7.389644451905042e-13
6,263,69695,-481,-569,-1050,-534.1397276725337,18.27945534506739,-34.86027232746582,88.0,9.663381206337363e-13
6,264,70224,-495,-549,-1044,-536.3260110721541,28.652022144308148,-12.6739889278455,54.0,8.526512829121202e-13
6,265,70755,-487,-546,-1033,-538.8316169180385,44.6632338360771,-7.168383081961565,59.0,2.2737367544323206e-13
6,266,71288,-497,-542,-1039,-540.9854696663126,42.97093933262522,-1.01453033368702,45.0,7.389644451905042e-13
6,267,71823,-505,-539,-1044,-543.1179423034209,42.235884606841864,4.1179423034208185,34.0,2.2737367544323206e-13
6,268,72360,-505,-548,-1053,-545.5695501364153,38.13910027283055,-2.430449863585096,43.0,7.389644451905042e-13
6,269,72899,-510,-537,-1047,-548.8954494548954,50.79089890979071,11.895449454895243,27.0,2.2737367544323206e-13
6,270,73440,-510,-551,-1061,-552.3678031907201,43.73560638144022,1.3678031907200534,41.0,1.1368683772161603e-13
6,271,73983,-516,-565,-1081,-556.6247289563664,32.24945791273285,-8.375271043633973,49.0,7.958078640513122e-13
6,272,74528,-528,-564,-1092,-561.4953340000798,30.99066800015953,-2.5046659999206327,36.0,7.958078640513122e-13
6,273,75075,-536,-560,-1096,-565.7509155806647,35.50183116132939,5.750915580665094,24.0,7.958078640513122e-13
6,274,75624,-536,-550,-1086,-571.280189765996,56.56037953199211,21.280189765996198,14.0,2.8421709430404007e-13
6,275,76175,-554,-553,-1107,-576.6119892073659,46.223978414731846,23.61198920736595,-1.0,5.684341886080802e-14
6,276,76728,-558,-574,-1132,-581.788195356697,31.57639071339395,7.788195356696889,16.0,1.7053025658242404e-13
6,277,77283,-568,-572,-1140,-587.0729664801086,34.145932960217124,15.072966480108448,4.0,2.2737367544323206e-13
6,278,77840,-583,-576,-1159,-592.7562597152922,26.51251943058446,16.756259715292373,-7.0,2.8421709430404007e-13
6,279,78399,-578,-587,-1165,-598.8656824304239,32.73136486084786,11.86568243042413,9.0,3.979039320256561e-13
6,280,78960,-593,-609,-1202,-606.0827604522794,10.165520904558889,-2.917239547720527,16.0,5.684341886080802e-14
6,281,79523,-597,-613,-1210,-612.8939629121214,15.787925824242848,-0.10603708787851929,16.0,1.1368683772161603e-13
6,282,80088,-599,-603,-1202,-618.8959750803867,35.79195016077347,15.89597508038679,4.0,1.1368683772161603e-13
6,283,80655,-610,-624,-1234,-625.7097088153929,17.4194176307858,1.7097088153927302,14.0,3.410605131648481e-13
6,284,81224,-623,-608,-1231,-633.1117628584818,35.22352571696365,25.111762858481853,-15.0,5.684341886080802e-14
6,285,81795,-637,-605,-1242,-640.0950289020589,38.190057804117714,35.09502890205903,-32.0,3.410605131648481e-13
6,286,82368,-648,-591,-1239,-647.8259928889731,56.651985777946265,56.82599288897322,-57.0,1.7053025658242404e-13
6,287,82943,-654,-604,-1258,-655.0162291553302,52.03245831066033,51.01622915532971,-50.0,9.094947017729282e-13
6,288,83520,-652,-631,-1283,-662.8706185735426,42.74123714708526,31.870618573542572,-21.0,1.1368683772161603e-13
6,289,84099,-655,-653,-1308,-670.009203784207,32.01840756841398,17.00920378420733,-2.0,6.821210263296962e-13
6,290,84680,-654,-656,-1310,-677.0626868655896,44.12537373117925,21.0626868655892,2.0,8.526512829121202e-13
6,291,85263,-654,-670,-1324,-683.4689643852743,42.937928770548524,13.468964385274006,16.0,5.115907697472721e-13
6,292,85848,-645,-693,-1338,-689.4308642778677,40.86172855573545,-3.569135722132046,48.0,4.547473508864641e-13
6,293,86435,-654,-689,-1343,-695.5154239830259,48.03084796605185,6.515423983025499,35.0,8.526512829121202e-13
6,294,87024,-668,-698,-1366,-700.8167667548496,35.63353350969919,2.8167667548497946,30.0,3.979039320256561e-13
6,295,87615,-676,-721,-1397,-706.7359271810753,16.47185436215068,-14.264072818924603,45.0,1.1368683772161603e-13
6,296,88208,-683,-730,-1413,-711.6643864860455,10.328772972090974,-18.335613513954,47.0,1.0231815394945443e-12
6,297,88803,-684,-730,-1414,-715.8959619122014,17.79192382440283,-14.104038087798699,46.0,2.2737367544323206e-13
6,298,89400,-680,-705,-1385,-720.2994645585936,55.598929117187254,15.299464558594082,25.0,9.094947017729282e-13
6,299,89999,-701,-712,-1413,-725.3259008258792,37.65180165175843,13.325900825879415,11.0,3.979039320256561e-13
6,300,90600,-699,-707,-1406,-729.3311536775433,52.66230735508657,22.331153677543455,8.0,3.410605131648481e-13
6,301,91203,-707,-719,-1426,-734.1804625612906,42.36092512258119,15.180462561290483,12.0,2.2737367544323206e-13
6,302,91808,-709,-712,-1421,-739.5960861039664,58.1921722079328,27.596086103966115,3.0,5.684341886080801e-13
6,303,92415,-723,-697,-1420,-744.4786128286854,68.95722565737083,47.47861282868561,-26.0,3.979039320256561e-13
6,304,93024,-734,-696,-1430,-748.6555272058448,67.31105441168961,52.65552720584469,-38.0,2.2737367544323206e-13
6,305,93635,-750,-686,-1436,-754.7104194606086,73.42083892121718,68.71041946060828,-64.0,6.252776074688882e-13
6,306,94248,-768,-701,-1469,-760.2112671570693,51.4225343141386,59.21126715706913,-67.0,3.410605131648481e-13
6,307,94863,-786,-683,-1469,-766.078401692308,63.15680338461607,83.07840169230798,-103.0,1.1368683772161603e-13
6,308,95480,-796,-679,-1475,-771.028022515871,67.05604503174209,92.02802251587127,-117.0,4.547473508864641e-13
6,309,96099,-806,-688,-1494,-776.7131328949331,59.42626578986619,88.71313289493341,-118.0,6.252776074688882e-13
6,310,96720,-805,-696,-1501,-781.704016548656,62.408033097312,85.70401654865594,-109.0,1.1368683772161603e-13
6,311,97343,-803,-718,-1521,-785.9809238301174,50.96184766023475,67.98092383011735,-85.0,5.684341886080802e-14
6,312,97968,-798,-726,-1524,-790.1627392005437,56.325478401087366,64.16273920054371,-72.0,5.684341886080802e-14
6,313,98595,-794,-734,-1528,-795.7395339693883,63.47906793877655,61.73953396938805,-60.0,4.547473508864641e-13
6,314,99224,-806,-738,-1544,-801.9706863571674,59.941372714334875,63.97068635716644,-68.0,1.9895196601282805e-12
6,315,99855,-806,-743,-1549,-808.1110498021792,67.22209960435839,65.11104980217902,-63.0,3.410605131648481e-13
6,316,100488,-808,-780,-1588,-815.1258157053667,42.25163141073335,35.125815705366165,-28.0,1.0231815394945443e-12
6,317,101123,-803,-786,-1589,-821.5440735542145,54.088147108428984,35.54407355421455,-17.0,1.1368683772161603e-13
6,318,101760,-821,-779,-1600,-827.0418394201681,54.08367884033623,48.041839420167804,-42.0,6.252776074688882e-13
6,319,102399,-824,-765,-1589,-832.7540994802615,76.50819896052303,67.75409948026177,-59.0,5.115907697472721e-13
6,320,103040,-830,-787,-1617,-837.6561818467699,58.31236369353974,50.656181846769925,-43.0,1.1368683772161603e-13
6,321,103683,-806,-811,-1617,-842.1272555831517,67.25451116630347,31.12725558315148,5.0,5.115907697472721e-13
6,322,104328,-831,-831,-1662,-846.3156312805792,30.631262561158337,15.315631280579254,0.0,1.7053025658242404e-13
6,323,104975,-829,-803,-1632,-849.9409541058259,67.88190821165176,46.94095410582608,-26.0,3.979039320256561e-13
6,324,105624,-826,-800,-1626,-853.106987699351,80.2139753987019,53.10698769935078,-26.0,3.410605131648481e-13
6,325,106275,-842,-821,-1663,-856.9413054974715,50.88261099494298,35.94130549747135,-21.0,2.8421709430404007e-13
6,326,106928,-841,-823,-1664,-860.7156037766396,57.43120755327914,37.7156037766394,-18.0,3.410605131648481e-13
6,327,107583,-848,-848,-1696,-864.9991071625234,33.998214325046774,16.999107162523757,0.0,7.389644451905042e-13
6,328,108240,-835,-853,-1688,-868.7508711526347,49.50174230526932,15.750871152634602,18.0,1.1368683772161603e-13
6,329,108899,-847,-847,-1694,-873.7465201880872,53.49304037617435,26.746520188086635,0.0,1.0800249583553523e-12
6,330,109560,-857,-853,-1710,-878.5882272761324,47.176454552264886,25.588227276132898,-4.0,9.094947017729282e-13
6,331,110223,-851,-864,-1715,-883.0309784547214,51.06195690944287,19.03097845472172,13.0,5.684341886080801e-13
6,332,110888,-850,-863,-1713,-889.2677262151118,65.53545243022359,26.267726215112077,13.0,5.684341886080801e-13
6,333,111555,-854,-869,-1723,-893.8174142158698,64.6348284317396,24.81741421587043,15.0,1.2505552149377763e-12
6,334,112224,-854,-892,-1746,-898.8965327462264,51.7930654924528,6.896532746226654,38.0,5.115907697472721e-13
6,335,112895,-855,-914,-1769,-904.3850798661447,39.77015973228936,-9.614920133855179,59.0,2.8421709430404007e-13
6,336,113568,-854,-913,-1767,-909.035416615758,51.07083323151596,-3.964583384243042,59.0,2.0463630789890885e-12
6,337,114243,-851,-938,-1789,-913.1029072977085,37.205814595416996,-24.897092702291502,87.0,0.0
6,338,114920,-858,-950,-1808,-917.273851105809,26.54770221161789,-32.72614889419077,92.0,5.684341886080801e-13
