k,n,x,y,K,MK,Ry,S_K,absS_K,E,SM_K,boundary_MK_Ry,identity_resid,sqrt_sumR2_all,sqrt_sumR2_sf,sqrt_Diag,sqrt_sumDelta2,c_all_K,c_sf_K,c_M_K,c_M_all_K,tri_absR,tri_absMDelta,absS_over_sqrtx,absS_over_x34,absE_over_sqrtx
6,173,30275,715,42,-2,-7.328810502,28.178824753,28.178824753,13.521203748,13.521203748,14.657621004,0.000e+00,73.428010382,62.711398582,19.457245960,11.877903837,0.383761246,0.449341354,0.694918684,1.138349319,440.981446,86.855309,0.161949943,0.012277495,0.077709351
6,174,30624,715,42,-2,-7.328810502,1.764262094,1.764262094,-12.893358910,-12.893358910,14.657621004,0.000e+00,74.866048042,64.620719339,21.074601178,17.391368930,0.023565583,0.027301802,0.611796105,0.741365384,443.086684,82.894789,0.010081662,0.000762108,0.073677540
6,175,30975,715,43,-3,-7.328810502,8.545138429,8.545138429,-13.441293077,-13.441293077,21.986431507,0.000e+00,75.503327238,64.788746801,25.885861736,18.399386997,0.113175654,0.131892325,0.519252294,0.730529396,455.841210,108.936128,0.048552707,0.003659828,0.076372216
6,176,31328,715,43,-3,-7.328810502,16.365762947,16.365762947,-5.620668559,-5.620668559,21.986431507,0.000e+00,74.362881432,62.977874108,23.248129797,14.774058893,0.220079731,0.259865281,0.241768633,0.380441732,456.309855,104.137566,0.092463413,0.006950031,0.031755696
6,177,31683,715,44,-3,-7.328810502,5.332690607,5.332690607,-16.653740899,-16.653740899,21.986431507,0.000e+00,75.726990494,64.123791995,29.858835085,20.801942319,0.070419946,0.083162434,0.557749184,0.800585861,464.100330,128.082468,0.029959409,0.002245570,0.093561819
6,178,32040,715,44,-3,-7.328810502,0.149140303,0.149140303,-21.837291204,-21.837291204,21.986431507,0.000e+00,78.157476491,66.611486848,30.652410164,24.162694903,0.001908203,0.002238958,0.712416775,0.903760582,467.636483,126.614841,0.000833199,0.000062277,0.121997944
6,179,32399,715,45,-3,-7.328810502,12.444270063,12.444270063,-9.542161444,-9.542161444,21.986431507,0.000e+00,77.092784566,65.607599133,24.988978961,18.594565720,0.161419387,0.189677266,0.381854795,0.513169363,477.777238,104.857082,0.069135901,0.005153126,0.053012826
6,180,32760,715,45,-3,-7.328810502,19.971595509,19.971595509,-2.014835998,-2.014835998,21.986431507,0.000e+00,76.928702414,65.484759734,22.208857506,16.135104766,0.259611756,0.304980817,0.090722181,0.124872818,474.717969,105.360974,0.110341991,0.008201718,0.011131860
6,181,33123,715,46,-2,-7.328810502,19.063291200,19.063291200,4.405670196,4.405670196,14.657621004,0.000e+00,77.073173058,66.027245179,20.817858440,12.957132932,0.247340163,0.288718561,0.211629367,0.340018908,487.230065,101.738805,0.104744939,0.007764270,0.024207345
6,182,33488,715,46,-2,-7.328810502,27.851548455,27.851548455,13.193927451,13.193927451,14.657621004,0.000e+00,77.570719285,66.075484793,23.853797592,13.498931641,0.359047186,0.421511072,0.553116434,0.977405309,489.339484,113.523770,0.152196526,0.011250775,0.072099041
6,183,33855,715,47,-3,-7.328810502,46.774266440,46.774266440,24.787834933,24.787834933,21.986431507,0.000e+00,77.731960922,65.994786502,24.945586685,12.532343281,0.601737894,0.708756993,0.993676166,1.977909029,498.432646,114.487132,0.254211724,0.018740875,0.134718484
6,184,34224,715,47,-3,-7.328810502,44.630501308,44.630501308,22.644069802,22.644069802,21.986431507,0.000e+00,78.625490424,66.496373823,30.296067620,15.584121868,0.567633996,0.671171956,0.747426038,1.453021864,497.456144,139.321699,0.241249478,0.017737144,0.122402166
6,185,34595,715,48,-3,-7.328810502,49.543438789,49.543438789,27.557007282,27.557007282,21.986431507,0.000e+00,79.496329434,66.912281147,24.243517856,13.811678176,0.623216684,0.740423700,1.136675273,1.995196162,510.720265,115.184133,0.266366424,0.019531075,0.148158094
6,186,34968,715,48,-3,-7.328810502,44.494046961,44.494046961,22.507615454,22.507615454,21.986431507,0.000e+00,79.081141807,66.835294756,20.576089783,12.733107713,0.562637892,0.665726801,1.093872339,1.767645100,512.473871,94.797783,0.237939482,0.017399983,0.120363301
6,187,35343,715,49,-3,-7.328810502,46.537731304,46.537731304,24.551299798,24.551299798,21.986431507,0.000e+00,80.387896200,67.564843671,22.381670120,14.711374884,0.578914656,0.688786191,1.096937792,1.668865078,523.044406,108.670237,0.247544626,0.018054175,0.130593868
6,188,35720,715,49,-3,-7.328810502,43.926609449,43.926609449,21.940177942,21.940177942,21.986431507,0.000e+00,81.590581178,68.834925854,25.317629144,16.583740643,0.538378436,0.638144211,0.866596861,1.322993311,520.790148,135.215272,0.232419176,0.016906126,0.116087223
6,189,36099,715,50,-3,-7.328810502,38.884857309,38.884857309,16.898425802,16.898425802,21.986431507,0.000e+00,81.434344282,68.235590496,22.498476392,14.445563139,0.477499483,0.569861813,0.751092008,1.169800418,532.644752,111.984835,0.204659978,0.014847698,0.088940315
6,190,36480,715,50,-3,-7.328810502,31.532756431,31.532756431,9.546324924,9.546324924,21.986431507,0.000e+00,81.714432098,68.533252251,29.368757466,17.491438355,0.385889685,0.460108858,0.325050351,0.545771293,530.937201,140.011371,0.165095228,0.011945953,0.049981444
6,191,36863,715,51,-2,-7.328810502,32.424170890,32.424170890,17.766549885,17.766549885,14.657621004,0.000e+00,81.187779480,67.880452024,24.652790899,14.252883047,0.399372555,0.477665807,0.720670936,1.246523235,542.743130,123.897769,0.168878181,0.012187816,0.092535369
6,192,37248,715,52,-2,-7.328810502,35.433352571,35.433352571,20.775731566,20.775731566,14.657621004,0.000e+00,82.846266140,69.484861615,30.048289906,16.841430132,0.427700055,0.509943486,0.691411446,1.233608512,551.581327,148.919572,0.183594965,0.013215543,0.107647723
6,193,37635,715,52,-2,-7.328810502,45.386339347,45.386339347,30.728718343,30.728718343,14.657621004,0.000e+00,81.881448847,68.484685706,24.515406800,12.744766613,0.554293310,0.662722459,1.253445174,2.411085215,553.882610,118.789363,0.233953311,0.016796980,0.158397560
6,194,38024,715,53,-3,-7.328810502,51.134167527,51.134167527,29.147736020,29.147736020,21.986431507,0.000e+00,83.842826623,70.481155083,21.409473022,15.969284264,0.609881246,0.725501270,1.361441078,1.825237471,565.843052,114.667812,0.262229948,0.018778800,0.149477535
6,195,38415,715,53,-3,-7.328810502,50.966797396,50.966797396,28.980365890,28.980365890,21.986431507,0.000e+00,85.215557544,71.715695601,23.270250318,16.983319300,0.598092635,0.710678422,1.245382645,1.706401757,565.736214,129.368612,0.260038065,0.018574268,0.147860934
6,196,38808,715,54,-3,-7.328810502,44.147923812,44.147923812,22.161492306,22.161492306,21.986431507,0.000e+00,85.967728616,72.462299495,21.589943575,16.314935443,0.513540657,0.609253696,1.026472915,1.358356114,577.780157,121.392947,0.224104023,0.015966853,0.112496334
6,197,39203,715,54,-3,-7.328810502,33.357917910,33.357917910,11.371486403,11.371486403,21.986431507,0.000e+00,84.705862402,70.435038989,23.452488856,15.051977936,0.393808846,0.473598345,0.484873331,0.755481203,576.349494,132.114131,0.168476482,0.011973179,0.057432482
6,198,39600,715,55,-2,-7.328810502,36.410280069,36.410280069,21.752659065,21.752659065,14.657621004,0.000e+00,86.006010543,71.416723691,28.715150611,17.305043719,0.423345762,0.509828485,0.757532473,1.257012662,586.093741,153.260063,0.182968542,0.012970378,0.109311225
6,199,39999,715,55,-2,-7.328810502,30.862403737,30.862403737,16.204782733,16.204782733,14.657621004,0.000e+00,85.628623459,71.770519020,23.839256138,13.617744055,0.360421580,0.430015056,0.679752029,1.189975569,588.160695,125.242217,0.154313948,0.010911712,0.081024926
6,200,40400,715,56,-2,-7.328810502,35.587256719,35.587256719,20.929635714,20.929635714,14.657621004,0.000e+00,87.228156586,73.381187920,24.404207851,15.532266604,0.407979007,0.484964304,0.857624056,1.347493978,596.415065,118.110866,0.177053220,0.012488449,0.104128830
6,201,40803,715,56,-2,-7.328810502,28.878568108,28.878568108,14.220947104,14.220947104,14.657621004,0.000e+00,88.221552234,74.658460014,35.479914996,20.911217370,0.327341419,0.386809052,0.400816831,0.680063090,598.069054,185.257740,0.142964960,0.010059041,0.070401591
6,202,41208,715,57,-1,-7.328810502,15.392575230,15.392575230,8.063764728,8.063764728,7.328810502,0.000e+00,87.575895869,72.962845069,29.534954315,17.484116770,0.175762692,0.210964570,0.273024452,0.461205152,608.301439,166.036505,0.075826414,0.005322003,0.039723461
6,203,41615,715,58,0,-7.328810502,21.127360942,21.127360942,21.127360942,21.127360942,-0.000000000,0.000e+00,87.824149620,73.872366449,26.979029320,15.724077315,0.240564367,0.285998161,0.783103080,1.343631204,613.612820,133.526657,0.103566739,0.007251166,0.103566739
6,204,42024,715,58,0,-7.328810502,40.643052055,40.643052055,40.643052055,40.643052055,-0.000000000,0.000e+00,87.611054272,73.406889805,30.815918259,17.064186549,0.463903241,0.553668084,1.318897971,2.381774950,617.319147,158.936924,0.198261149,0.013847242,0.198261149
6,205,42435,715,59,-1,-7.328810502,53.788479132,53.788479132,46.459668630,46.459668630,7.328810502,0.000e+00,88.601049448,73.972289907,30.336006838,15.491592703,0.607086253,0.727143626,1.531502445,2.999024666,632.020287,159.535723,0.261112199,0.018192656,0.225535029
6,206,42848,715,59,-1,-7.328810502,71.100765209,71.100765209,63.771954706,63.771954706,7.328810502,0.000e+00,88.651807874,74.468044915,31.358366888,17.575648686,0.802022733,0.954782220,2.033650379,3.628426799,632.917736,163.755286,0.343485966,0.023874064,0.308080671
6,207,43263,715,60,-1,-7.328810502,46.022082857,46.022082857,38.693272355,38.693272355,7.328810502,0.000e+00,88.968902324,74.405246658,31.554292625,15.441998795,0.517282799,0.618532764,1.226244328,2.505716576,638.546112,169.855643,0.221262571,0.015341888,0.186027498
6,208,43680,715,61,-2,-7.328810502,42.384642153,42.384642153,27.727021149,27.727021149,14.657621004,0.000e+00,89.481976421,75.050917445,27.093055500,12.796818624,0.473666808,0.564745157,1.023399563,2.166712053,647.646573,136.800914,0.202799652,0.014028026,0.132666692
6,209,44099,715,61,-2,-7.328810502,47.776806108,47.776806108,33.119185103,33.119185103,14.657621004,0.000e+00,89.995303514,74.970473989,29.412449747,14.012880883,0.530881104,0.637274964,1.126026067,2.363481527,647.060736,154.812528,0.227511180,0.015699852,0.157712193
6,210,44520,715,62,-1,-7.328810502,21.992317194,21.992317194,14.663506692,14.663506692,7.328810502,0.000e+00,91.169766074,76.091996182,28.073407648,15.978135510,0.241223798,0.289022740,0.522327281,0.917723265,666.270708,159.756072,0.104230162,0.007175541,0.069496073
6,211,44943,715,62,-1,-7.328810502,28.090514169,28.090514169,20.761703666,20.761703666,7.328810502,0.000e+00,90.843623441,75.273117035,27.858696686,15.455859668,0.309218337,0.373181227,0.745250358,1.343290125,661.922163,154.654020,0.132503899,0.009100456,0.097933654
6,212,45368,715,63,-1,-7.328810502,31.471230659,31.471230659,24.142420157,24.142420157,7.328810502,0.000e+00,91.233119488,75.900166517,30.653341652,14.211855180,0.344954013,0.414639810,0.787595050,1.698752193,671.104490,171.361680,0.147753885,0.010123985,0.113345945
6,213,45795,715,63,-1,-7.328810502,21.700065544,21.700065544,14.371255042,14.371255042,7.328810502,0.000e+00,92.669106101,77.365441200,25.048626179,15.755305122,0.234167205,0.280487841,0.573734261,0.912153394,675.697504,160.465737,0.101403283,0.006931824,0.067156131
