k,n,x,K,Kext,Kprime,Kprime_over_K,S,sqrt_sumR2_all,sqrt_sumR2_sf,c_all,c_sf
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
6,173,30275,42,2295,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000
