k,n_samples,Kprime_over_K,mean_Kprime,rms_S,C_rms_all,C_rms_sf
6,132,0.001000000,1.000,55.569342,1.000000000,1.000000000
6,132,0.001052572,1.000,55.569342,1.000000000,1.000000000
6,132,0.001107907,1.000,55.569342,1.000000000,1.000000000
6,132,0.001166151,1.000,55.569342,1.000000000,1.000000000
6,132,0.001227458,1.000,55.569342,1.000000000,1.000000000
6,132,0.001291987,1.000,55.569342,1.000000000,1.000000000
6,132,0.001359909,1.000,55.569342,1.000000000,1.000000000
6,132,0.001431401,1.000,55.569342,1.000000000,1.000000000
6,132,0.001506652,1.000,55.569342,1.000000000,1.000000000
6,132,0.001585860,1.000,55.569342,1.000000000,1.000000000
6,132,0.001669231,1.000,55.569342,1.000000000,1.000000000
6,132,0.001756985,1.000,55.569342,1.000000000,1.000000000
6,132,0.001849352,1.000,55.569342,1.000000000,1.000000000
6,132,0.001946576,1.000,55.569342,1.000000000,1.000000000
6,132,0.002048910,1.000,55.569342,1.000000000,1.000000000
6,132,0.002156625,1.015,54.830834,0.979485571,0.979485571
6,132,0.002270002,1.053,52.777104,0.923127468,0.923127468
6,132,0.002389339,1.083,50.967880,0.880610658,0.880610658
6,132,0.002514951,1.114,49.573187,0.844894004,0.844894004
6,132,0.002647165,1.136,48.257587,0.815772053,0.815772053
6,132,0.002786331,1.167,46.777721,0.781702405,0.781702405
6,132,0.002932813,1.197,45.242816,0.748112416,0.748112416
6,132,0.003086996,1.227,44.355029,0.723243526,0.723243526
6,132,0.003249284,1.250,43.742727,0.705477290,0.705477290
6,132,0.003420104,1.280,42.512308,0.680414770,0.680414770
6,132,0.003599904,1.326,40.920436,0.646124690,0.646124690
6,132,0.003789156,1.386,39.946808,0.620740390,0.620740390
6,132,0.003988358,1.439,38.720186,0.596134502,0.596134502
6,132,0.004198033,1.492,38.152868,0.579340479,0.579340479
6,132,0.004418730,1.545,36.972839,0.554716658,0.554716658
6,132,0.004651029,1.598,35.762913,0.529134261,0.529134261
6,132,0.004895541,1.652,35.081745,0.512678479,0.512678479
6,132,0.005152908,1.735,35.641018,0.511206293,0.514578702
6,132,0.005423804,1.811,35.902381,0.506169989,0.513278159
6,132,0.005708942,1.886,35.582467,0.494609042,0.505017768
6,132,0.006009070,1.970,34.093010,0.467826518,0.479728983
6,132,0.006324976,2.045,33.888102,0.460008059,0.473600203
6,132,0.006657490,2.159,34.444692,0.461085672,0.475938974
6,132,0.007007485,2.265,35.140350,0.463841700,0.480457680
6,132,0.007375880,2.356,36.815511,0.479888941,0.498522371
6,132,0.007763641,2.470,36.955552,0.475331223,0.494920987
6,132,0.008171788,2.598,37.294845,0.472145099,0.493075391
6,132,0.008601392,2.720,37.437279,0.467334000,0.489292357
6,132,0.009053580,2.841,37.353939,0.460167350,0.482676625
6,132,0.009529541,2.985,40.657208,0.492900211,0.517503286
6,132,0.010030524,3.136,40.909131,0.488926284,0.513779924
6,132,0.010557845,3.295,41.149472,0.486122741,0.511018098
6,132,0.011112887,3.477,40.838305,0.477027092,0.502916048
6,132,0.011697109,3.636,40.368581,0.466955184,0.493091468
6,132,0.012312044,3.818,41.258869,0.470555834,0.499375769
6,132,0.012959308,4.023,42.556548,0.478183167,0.510086883
6,132,0.013640599,4.220,44.723492,0.495464883,0.531047892
6,132,0.014357707,4.432,45.206541,0.493563014,0.531069873
6,132,0.015112514,4.667,45.663855,0.492352512,0.531212597
6,132,0.015907003,4.902,45.082785,0.480890400,0.520334698
6,132,0.016743259,5.152,45.548884,0.479593582,0.520518732
6,132,0.017623478,5.447,46.289980,0.480576835,0.523959624
6,132,0.018549972,5.720,47.342317,0.486067693,0.531484830
6,132,0.019525174,6.030,46.526092,0.471958495,0.517140621
6,132,0.020551643,6.326,47.162058,0.473483720,0.519592470
6,132,0.021632075,6.659,48.226249,0.476856700,0.524497474
6,132,0.022769307,7.008,49.611375,0.483014481,0.533022526
6,132,0.023966325,7.386,50.705877,0.487718126,0.539421837
6,132,0.025226273,7.780,50.504532,0.479628189,0.531946749
6,132,0.026552457,8.174,51.412524,0.483005392,0.537141974
6,132,0.027948362,8.591,51.680854,0.480136828,0.535322965
6,132,0.029417651,9.091,50.277300,0.462784451,0.517049483
6,132,0.030964183,9.538,49.155615,0.448260959,0.501616248
6,132,0.032592019,10.038,50.299473,0.453153675,0.508034964
6,132,0.034305433,10.583,53.315392,0.473373898,0.532200351
6,132,0.036108923,11.152,54.944700,0.480562092,0.542483024
6,132,0.038007226,11.750,55.114037,0.476319560,0.539120633
6,132,0.040005326,12.333,54.934070,0.470196478,0.533597874
6,132,0.042108469,12.992,54.210657,0.458884061,0.522144053
6,132,0.044322177,13.652,54.560319,0.458278804,0.522351314
6,132,0.046652263,14.379,54.553012,0.453549009,0.518166893
6,132,0.049104846,15.159,54.877240,0.449938869,0.515251568
6,132,0.051686365,15.924,55.659725,0.451627475,0.518171108
6,132,0.054403599,16.773,54.784699,0.440135179,0.505873188
6,132,0.057263681,17.667,55.955191,0.444103526,0.511399291
6,132,0.060274123,18.614,60.616943,0.473848896,0.546751953
6,132,0.063442828,19.598,61.601368,0.475763225,0.549905735
6,132,0.066778118,20.583,60.484020,0.463026014,0.535878601
6,132,0.070288748,21.689,58.121908,0.441509734,0.511607216
6,132,0.073983938,22.811,56.160513,0.423315808,0.491355113
6,132,0.077873390,24.015,57.189395,0.426723204,0.496279972
6,132,0.081967317,25.295,56.592266,0.417174989,0.486443302
6,132,0.086276467,26.644,60.914219,0.442983641,0.517939545
6,132,0.090812157,28.030,62.795344,0.451549357,0.528728822
