k,n_samples,Kprime_over_K,mean_Kprime,rms_S,rms_sqrt_sumR2_all,rms_sqrt_sumR2_sf,C_rms_all,C_rms_sf,rms_SM,rms_sqrt_Diag,C_rms_M,C_rms_M_all
6,541,0.001000000,1.000,55.519908,55.519908,55.519908,1.000000000,1.000000000,17.659387,17.659387,1.000000000,1.000000000
6,541,0.001122018,1.000,55.519908,55.519908,55.519908,1.000000000,1.000000000,17.659387,17.659387,1.000000000,1.000000000
6,541,0.001258925,1.000,55.519908,55.519908,55.519908,1.000000000,1.000000000,17.659387,17.659387,1.000000000,1.000000000
6,541,0.001412538,1.000,55.519908,55.519908,55.519908,1.000000000,1.000000000,17.659387,17.659387,1.000000000,1.000000000
6,541,0.001584893,1.000,55.519908,55.519908,55.519908,1.000000000,1.000000000,17.659387,17.659387,1.000000000,1.000000000
6,541,0.001778279,1.000,55.519908,55.519908,55.519908,1.000000000,1.000000000,17.659387,17.659387,1.000000000,1.000000000
6,541,0.001995262,1.000,55.519908,55.519908,55.519908,1.000000000,1.000000000,17.659387,17.659387,1.000000000,1.000000000
6,541,0.002238721,1.039,53.680371,56.672283,56.672283,0.947206791,0.947206791,17.659387,17.659387,1.000000000,0.991878413
6,541,0.002511886,1.111,50.071151,58.519828,58.519828,0.855627107,0.855627107,17.659387,17.659387,1.000000000,0.974265070
6,541,0.002818383,1.179,46.296283,60.079232,60.079232,0.770587122,0.770587122,17.659387,17.659387,1.000000000,0.962906885
6,541,0.003162278,1.242,44.044296,61.744867,61.744867,0.713327237,0.713327237,17.659387,17.659387,1.000000000,0.954138303
6,541,0.003548134,1.311,41.787318,63.110030,63.110030,0.662134340,0.662134340,17.621871,17.733659,0.993696291,0.942984878
6,541,0.003981072,1.442,39.156075,65.174302,65.174302,0.600790090,0.600790090,18.332694,17.928587,1.022539772,0.964158313
6,541,0.004466836,1.564,36.902910,67.048759,67.048759,0.550389162,0.550389162,18.268089,18.002939,1.014728119,0.952346632
6,541,0.005011872,1.693,35.695010,69.144891,68.948419,0.516234969,0.517706000,17.907591,18.205913,0.983614002,0.918021385
6,541,0.005623413,1.876,36.261555,71.831842,70.421792,0.504811711,0.514919517,17.317775,18.669848,0.927579866,0.867501351
6,541,0.006309573,2.048,33.524975,73.708911,71.521950,0.454829334,0.468736867,17.171416,18.746439,0.915982838,0.846852585
6,541,0.007079458,2.285,36.086468,76.066522,73.300843,0.474406700,0.492306314,17.448268,19.167548,0.910302570,0.851741678
6,541,0.007943282,2.529,37.665404,78.441807,75.133478,0.480170024,0.501313198,17.973556,19.725590,0.911179650,0.862960889
6,541,0.008912509,2.810,37.459705,81.024127,77.268167,0.462327777,0.484801261,17.237143,20.354105,0.846863221,0.809639176
6,541,0.010000000,3.139,41.432666,83.845068,79.719869,0.494157461,0.519728225,18.287361,22.468620,0.813906706,0.826874497
6,541,0.011220185,3.503,41.005525,85.915091,81.400616,0.477279658,0.503749566,18.561399,23.448395,0.791585062,0.822685108
6,541,0.012589254,3.911,41.954687,88.460883,83.075395,0.474273882,0.505019402,19.269836,24.305004,0.792834087,0.841513007
6,541,0.014125375,4.381,45.315321,91.466255,84.979068,0.495432124,0.533252741,20.965628,25.595758,0.819105582,0.894604943
6,541,0.015848932,4.902,45.131270,93.922420,86.721537,0.480516478,0.520415946,19.373677,26.539880,0.729983599,0.812490803
6,541,0.017782794,5.494,46.704229,96.712965,88.557956,0.482915910,0.527386037,20.632024,27.548844,0.748925221,0.850340872
6,541,0.019952623,6.157,47.129810,99.186053,90.350839,0.475165697,0.521631128,21.393347,28.738675,0.744409650,0.866270257
6,541,0.022387211,6.906,48.480385,102.473553,92.830088,0.473101431,0.522248617,21.647987,30.513479,0.709456548,0.855926113
6,541,0.025118864,7.758,50.533456,105.435436,94.981393,0.479283415,0.532035324,22.217515,31.240279,0.711181728,0.867882121
6,541,0.028183829,8.704,51.854436,108.127884,96.863514,0.479565805,0.535335068,26.297905,32.864572,0.800190088,1.006314561
6,541,0.031622777,9.771,48.871826,110.476824,98.536682,0.442371751,0.495975964,24.510472,34.012338,0.720634718,0.923569526
6,541,0.035481339,10.965,54.157950,113.972562,101.033163,0.475184107,0.536041317,25.656374,35.279329,0.727235318,0.950902925
6,541,0.039810717,12.296,54.551007,116.977259,103.031344,0.466338560,0.529460302,27.508276,37.152654,0.740412142,0.996053672
6,541,0.044668359,13.799,54.417443,119.497079,104.719359,0.455387225,0.519650273,29.250620,38.547010,0.758829804,1.040843846
6,541,0.050118723,15.484,54.950236,122.813930,107.062201,0.447426738,0.513255244,29.412261,40.300338,0.729826649,1.028829628
6,541,0.056234133,17.370,53.909364,125.688153,109.159798,0.428913644,0.493857308,28.580803,41.277712,0.692402795,0.987753491
6,541,0.063095734,19.499,61.548431,129.652333,112.131727,0.474719039,0.548893990,33.320165,42.387131,0.786091553,1.136606835
6,541,0.070794578,21.865,57.682859,132.114122,113.905460,0.436613875,0.506409955,37.048980,43.070567,0.860192523,1.254597263
6,541,0.079432823,24.538,56.842649,134.926942,115.829921,0.421284646,0.490742362,35.397287,43.762308,0.808853285,1.190143240
6,541,0.089125094,27.542,61.977747,138.828271,118.556108,0.446434624,0.522771439,37.377422,44.703326,0.836121709,1.244326590
6,541,0.100000000,30.889,62.265207,142.212770,120.950016,0.437831335,0.514801144,40.610338,46.064649,0.881594430,1.331577037
6,541,0.112201845,34.664,60.083991,145.098842,123.048611,0.414090080,0.488294752,39.633251,46.993521,0.843376931,1.287043048
6,541,0.125892541,38.885,57.956678,148.361546,125.403722,0.390644880,0.462160750,39.761091,48.233623,0.824343865,1.277290560
