k,n,x,y,K,Kprime,Kprime_over_K,S,sqrt_sumR2_all,sqrt_sumR2_sf,c_all,c_sf,SM,sqrt_Diag,sqrt_sumDelta2,c_M,c_M_all,tri_absR,tri_absMDelta
6,173,30275,715,42,1,0.023810,-28.517068589,28.517068589,28.517068589,1.000000000,1.000000000,-6.697732564,6.697732564,6.697732564,1.000000000,1.000000000,28.517069,6.697733
6,173,30275,715,42,2,0.047619,-6.697732564,35.906916123,35.906916123,0.186530432,0.186530432,-6.697732564,6.697732564,8.271030306,1.000000000,0.809782133,50.336405,6.697733
6,173,30275,715,42,3,0.071429,10.268736183,39.713570567,39.713570567,0.258569956,0.258569956,-6.885494854,6.700363884,8.273161246,1.027629987,0.832268905,67.302873,6.885495
6,173,30275,715,42,4,0.095238,10.268736183,43.260089339,39.713570567,0.237372052,0.258569956,-5.418105046,6.859162414,8.402287179,0.789907677,0.644836927,84.457104,8.352885
6,173,30275,715,42,5,0.119048,25.955577412,46.016435297,42.699469258,0.564050154,0.607866511,-1.075234953,8.118413002,8.678338551,0.132443983,0.123898710,100.143946,12.695755
6,173,30275,715,42,6,0.142857,12.440171229,47.960176414,44.787396433,0.259385435,0.277760536,-0.877226383,8.120827363,8.680597180,0.108021799,0.101055995,113.659352,12.893763
6,173,30275,715,42,7,0.166667,25.757568842,49.774808898,46.725410200,0.517482024,0.551253991,1.379687410,8.428611803,8.753638236,0.163690942,0.157613026,126.976749,15.150677
6,173,30275,715,42,8,0.190476,25.757568842,51.245505916,46.725410200,0.502630785,0.551253991,0.306371906,8.496676003,8.770073199,0.036057854,0.034933791,139.165690,16.223993
6,173,30275,715,42,9,0.214286,25.757568842,52.801919785,46.725410200,0.487815006,0.551253991,3.590474404,9.109271778,8.922472539,0.394156030,0.402408008,151.891289,19.508095
6,173,30275,715,42,10,0.238095,14.674021623,53.952643605,48.021963489,0.271979659,0.305568964,5.101940262,9.233816186,9.049588126,0.552527813,0.563775963,162.974836,21.019561
6,173,30275,715,42,11,0.261905,24.246102983,54.795186773,48.966659258,0.442485999,0.495155343,-0.500188606,10.800333755,9.473173028,0.046312329,0.052800535,172.546917,26.621690
6,173,30275,715,42,12,0.285714,24.246102983,56.174791770,48.966659258,0.431618921,0.495155343,-0.713523930,10.802440520,9.473773546,0.066052104,0.075315705,184.920063,26.835025
6,173,30275,715,42,13,0.309524,36.725916440,57.544356581,50.531964763,0.638219256,0.726785840,9.826235334,15.092357222,10.104223497,0.651073599,0.972487924,197.399876,37.374784
6,173,30275,715,42,14,0.333333,27.759356071,58.238751525,51.321327610,0.476647513,0.540893180,7.499543850,15.270649619,10.170973689,0.491108370,0.737347680,206.366437,39.701476
6,173,30275,715,42,15,0.357143,17.629449961,59.113172618,52.311506053,0.298232174,0.337009031,8.126783199,15.283526065,10.190296119,0.531734834,0.797502163,216.496343,40.328715
6,173,30275,715,42,16,0.380952,17.629449961,59.872095775,52.311506053,0.294451860,0.337009031,8.030015598,15.283832404,10.190755564,0.525392806,0.787970583,225.999010,40.425483
