t,Li_array,Li_reference_longdouble,abs_err,rel_err
10,5.119516125,5.120435725,-9.195994e-04,-1.796e-04
14,6.734742029,6.735661815,-9.197861e-04,-1.366e-04
19,8.522542223,8.523462053,-9.198297e-04,-1.079e-04
26,10.775650634,10.776570477,-9.198426e-04,-8.536e-05
30,11.976548629,11.977468474,-9.198449e-04,-7.680e-05
35,13.413460975,13.414380822,-9.198463e-04,-6.857e-05
48,16.908700516,16.909620363,-9.198476e-04,-5.440e-05
65,21.128585637,21.129505485,-9.198479e-04,-4.353e-05
89,26.661298562,26.662218410,-9.198480e-04,-3.450e-05
100,29.080057956,29.080977804,-9.198481e-04,-3.163e-05
122,33.753759869,33.754679717,-9.198481e-04,-2.725e-05
166,42.617029283,42.617949131,-9.198481e-04,-2.158e-05
210,51.024772032,51.025691880,-9.198481e-04,-1.803e-05
227,54.180845460,54.181765308,-9.198481e-04,-1.698e-05
310,69.035706192,69.036626040,-9.198481e-04,-1.332e-05
424,88.357964757,88.358884605,-9.198481e-04,-1.041e-05
579,113.308479646,113.309399494,-9.198481e-04,-8.118e-06
715,134.328810502,134.329730350,-9.198481e-04,-6.848e-06
791,145.803085578,145.804005426,-9.198481e-04,-6.309e-06
1000,176.563574362,176.564494210,-9.198481e-04,-5.210e-06
1081,188.223063269,188.223983118,-9.198481e-04,-4.887e-06
1477,243.617914627,243.618834475,-9.198481e-04,-3.776e-06
2019,316.261310257,316.262230105,-9.198481e-04,-2.908e-06
2310,354.156899564,354.157819412,-9.198481e-04,-2.597e-06
2759,411.455768686,411.456688534,-9.198481e-04,-2.236e-06
3115,456.042839227,456.043759075,-9.198481e-04,-2.017e-06
3769,536.367790338,536.368710186,-9.198481e-04,-1.715e-06
5151,700.932554881,700.933474729,-9.198481e-04,-1.312e-06
7038,917.575363200,917.576283048,-9.198481e-04,-1.002e-06
9617,1203.419602434,1203.420522282,-9.198481e-04,-7.644e-07
10000,1245.091132271,1245.092052119,-9.198481e-04,-7.388e-07
13141,1580.938474488,1580.939394336,-9.198481e-04,-5.818e-07
14937,1769.025554642,1769.026474490,-9.198481e-04,-5.200e-07
17957,2080.166911485,2080.167831333,-9.198481e-04,-4.422e-07
24538,2740.965905075,2740.966824923,-9.198481e-04,-3.356e-07
30030,3278.762993654,3278.763913502,-9.198481e-04,-2.805e-07
33529,3616.309678249,3616.310598097,-9.198481e-04,-2.544e-07
45816,4777.254256717,4777.255176565,-9.198482e-04,-1.925e-07
62605,6318.114469698,6318.115389546,-9.198482e-04,-1.456e-07
80435,7913.688243146,7913.689162994,-9.198481e-04,-1.162e-07
85547,8365.027107244,8365.028027092,-9.198481e-04,-1.100e-07
100000,9628.762917423,9628.763837271,-9.198481e-04,-9.553e-08
116895,11086.128816176,11086.129736024,-9.198481e-04,-8.297e-08
159731,14706.307476612,14706.308396459,-9.198480e-04,-6.255e-08
218264,19525.902094175,19525.903014023,-9.198478e-04,-4.711e-08
298247,25946.614131212,25946.615051060,-9.198480e-04,-3.545e-08
407539,34505.605877695,34505.606797543,-9.198479e-04,-2.666e-08
510510,42405.529145600,42405.530065448,-9.198480e-04,-2.169e-08
556881,45921.888633046,45921.889552894,-9.198485e-04,-2.003e-08
760950,61158.057902204,61158.058822053,-9.198481e-04,-1.504e-08
1000000,78626.503075836,78626.503995682,-9.198459e-04,-1.170e-08
1039798,81503.090922699,81503.091842544,-9.198448e-04,-1.129e-08
1420831,108684.441267426,108684.442187274,-9.198485e-04,-8.463e-09
1941492,145017.049080351,145017.050000198,-9.198464e-04,-6.343e-09
2652948,193605.034370991,193605.035290836,-9.198454e-04,-4.751e-09
3625117,258611.934068048,258611.934987897,-9.198483e-04,-3.557e-09
4953535,345623.830625408,345623.831545249,-9.198402e-04,-2.661e-09
6768750,462138.295149036,462138.296068862,-9.198256e-04,-1.990e-09
9249147,618221.198910757,618221.199830485,-9.197284e-04,-1.488e-09
9699690,646267.949475063,646267.950394806,-9.197430e-04,-1.423e-09
10000000,664917.358965047,664917.359884789,-9.197416e-04,-1.383e-09
12638482,827390.858126297,827390.859046011,-9.197135e-04,-1.112e-09
17269833,1107807.140571735,1107807.141491507,-9.197718e-04,-8.303e-10
23598335,1483872.243123363,1483872.244042902,-9.195392e-04,-6.197e-10
32245905,1988385.189531774,1988385.190451276,-9.195018e-04,-4.624e-10
44062364,2665443.124404213,2665443.125323828,-9.196149e-04,-3.450e-10
60208945,3574347.780092502,3574347.781012239,-9.197379e-04,-2.573e-10
82272413,4794868.002830404,4794868.003750130,-9.197257e-04,-1.918e-10
100000000,5762208.329364639,5762208.330284251,-9.196121e-04,-1.596e-10
112421004,6434329.620965484,6434329.621885093,-9.196093e-04,-1.429e-10
153617495,8637168.371812915,8637168.372732421,-9.195060e-04,-1.065e-10
209910372,11597805.941041434,11597805.941961017,-9.195823e-04,-7.929e-11
223092870,12284647.008383330,12284647.009302977,-9.196475e-04,-7.486e-11
286831681,15578006.089893954,15578006.090813596,-9.196419e-04,-5.903e-11
391940677,20930275.290932842,20930275.291852400,-9.195581e-04,-4.393e-11
535566692,28129417.984662447,28129417.985582046,-9.195991e-04,-3.269e-11
731824222,37815095.235506967,37815095.236426488,-9.195209e-04,-2.432e-11
1000000000,50849233.910918519,50849233.911838017,-9.194985e-04,-1.808e-11
