cap,x,k,y,K,MK,S,absS_over_sqrtx,S_real,resid_cesaro_Tmax,off_pred,abs_li_Tmax,abs_psi_Tmax,overshoot_li_Tmax,overshoot_psi_Tmax,overshoot_li_T2000,overshoot_psi_T2000,mean_absF
1000000,908208,7,3115,291,-7,262.837574041,0.275800334,263.240175909,-147.072349,148.249928,1.786686e+03,1.993080e+04,6.797681,75.829334,5.616464,62.539232,2.401944
1000000,910115,7,3115,292,-7,314.308414595,0.329463928,314.392446661,-163.372859,148.332716,1.788212e+03,1.995171e+04,5.689355,63.478135,4.700729,52.352745,2.401944
1000000,912024,7,3115,292,-7,283.900969344,0.297278665,283.555996483,-155.568949,148.443907,1.789738e+03,1.997263e+04,6.304094,70.350679,5.208645,58.020783,2.401944
1000000,913935,7,3115,293,-8,259.508738593,0.271452804,260.299735241,-166.839411,160.701312,1.792553e+03,2.000421e+04,6.907485,77.084911,5.706392,63.568427,2.404317
1000000,915848,7,3115,293,-8,275.672131517,0.288058811,276.297256754,-166.866591,160.821615,1.794080e+03,2.002513e+04,6.508019,72.641122,5.376386,59.903836,2.404317
1000000,917763,7,3115,294,-8,289.217956206,0.301897822,289.306687045,-170.690433,160.961944,1.795606e+03,2.004606e+04,6.208487,69.311249,5.128937,57.157841,2.404317
1000000,919680,7,3115,295,-7,278.525413606,0.290433332,278.967034497,-154.450592,148.936799,1.799448e+03,2.008542e+04,6.460624,72.113428,5.337518,59.471882,2.406025
1000000,921599,7,3115,295,-7,275.282104363,0.286752348,275.191772287,-147.623845,149.047879,1.800976e+03,2.010637e+04,6.542292,73.039134,5.404988,60.235311,2.406025
1000000,923520,7,3115,296,-7,286.631310589,0.298263752,286.427777736,-146.840943,149.158151,1.802504e+03,2.012731e+04,6.288579,70.220209,5.195379,57.910546,2.406025
1000000,925443,7,3115,296,-7,339.974173848,0.353403698,340.675048290,-151.759088,149.268834,1.804031e+03,2.014825e+04,5.306376,59.264075,4.383921,48.875031,2.406025
1000000,927368,7,3115,297,-7,351.572947311,0.365081139,351.933581405,-156.121759,149.407859,1.805558e+03,2.016920e+04,5.135657,57.368461,4.242879,47.311720,2.406025
1000000,929295,7,3115,298,-6,304.417928643,0.315786403,304.732965941,-141.496681,137.372741,1.810145e+03,2.021513e+04,5.946250,66.405860,4.913820,54.773815,2.407458
1000000,931224,7,3115,298,-6,285.952757881,0.296324261,286.209510747,-146.698966,137.474115,1.811674e+03,2.023610e+04,6.335572,70.767299,5.235545,58.371279,2.407458
1000000,933155,7,3115,299,-5,279.871986917,0.289722709,279.918010975,-127.834442,125.426537,1.816685e+03,2.028388e+04,6.491130,72.475568,5.365653,59.793257,2.408540
1000000,935088,7,3115,300,-5,313.295570374,0.323987319,313.612411140,-136.864156,125.571196,1.818217e+03,2.030488e+04,5.803519,64.810616,4.797264,53.469575,2.408540
1000000,937023,7,3115,300,-5,284.216164296,0.293611897,284.316810078,-131.464026,125.664852,1.819748e+03,2.032588e+04,6.402690,71.515555,5.292545,59.001234,2.408540
1000000,938960,7,3115,301,-4,250.351729618,0.258361056,250.432915106,-113.801895,113.610036,1.824464e+03,2.037202e+04,7.287604,81.373575,6.025555,67.148240,2.409311
1000000,940899,7,3115,301,-4,241.513975113,0.248983612,241.356720456,-109.060017,113.694610,1.825997e+03,2.039304e+04,7.560628,84.438340,6.251297,69.677237,2.409311
1000000,942840,7,3115,302,-3,213.171463573,0.219538184,213.378610009,-91.937662,101.600688,1.830872e+03,2.044035e+04,8.588729,95.886892,7.103403,79.141124,2.410221
1000000,944783,7,3115,303,-2,233.757653433,0.240491540,234.093993318,-100.598954,89.530918,1.835832e+03,2.048813e+04,7.853569,87.646868,6.497290,72.355620,2.411328
1000000,946728,7,3115,303,-2,226.109074311,0.232383550,226.447983765,-98.176463,89.597697,1.837369e+03,2.050920e+04,8.126031,90.704915,6.722698,74.880148,2.411328
1000000,948675,7,3115,304,-2,156.523852108,0.160702192,155.810104357,-83.888310,89.664789,1.838907e+03,2.053028e+04,11.748413,131.163925,9.719507,108.280505,2.411328
1000000,950624,7,3115,305,-1,123.032454758,0.126187199,122.913752225,-80.383277,77.589493,1.842909e+03,2.057023e+04,14.979049,167.193511,12.393398,138.036604,2.412662
1000000,952575,7,3115,305,-1,109.660934014,0.112357573,109.497067619,-81.405149,77.648609,1.844448e+03,2.059133e+04,16.819554,187.772664,13.916197,155.026955,2.412662
1000000,954528,7,3115,306,-1,110.709032166,0.113315343,111.087894866,-91.063944,77.705987,1.845987e+03,2.061242e+04,16.674220,186.185563,13.795947,153.716629,2.412662
1000000,956483,7,3115,306,-1,94.434453893,0.096558797,93.686232103,-86.356996,77.764874,1.847525e+03,2.063352e+04,19.564101,218.495690,16.186979,180.392187,2.412662
1000000,958440,7,3115,307,-2,65.728489248,0.067138431,65.199343183,-89.968280,89.974654,1.850519e+03,2.066626e+04,28.153987,314.418557,23.291776,259.565620,2.415055
1000000,960399,7,3115,308,-2,66.064153260,0.067412436,66.605651271,-91.530964,90.042661,1.852058e+03,2.068737e+04,28.034237,313.140566,23.192703,258.510585,2.415055
1000000,962360,7,3115,308,-2,65.815745356,0.067090499,66.020072073,-95.304542,90.110259,1.853597e+03,2.070848e+04,28.163429,314.643188,23.299578,259.751062,2.415055
1000000,964323,7,3115,309,-1,64.963364760,0.066154174,64.680501434,-84.972454,78.029498,1.855823e+03,2.073469e+04,28.567230,319.175100,23.632891,263.488022,2.416268
1000000,966288,7,3115,310,-2,41.772474383,0.042494909,41.619547862,-87.759806,90.232400,1.858328e+03,2.076269e+04,44.486902,497.042446,36.803544,410.333665,2.416716
1000000,968255,7,3115,310,-2,32.800191936,0.033333546,33.056060440,-86.892285,90.248426,1.859867e+03,2.078381e+04,56.702944,633.649177,46.909737,523.109426,2.416716
1000000,970224,7,3115,311,-3,72.163941685,0.073262923,72.126669080,-105.686912,102.464419,1.863403e+03,2.082136e+04,25.821808,288.528539,21.363392,238.198400,2.418776
1000000,972195,7,3115,312,-3,135.790722600,0.137718856,135.367010026,-118.406601,102.541686,1.864944e+03,2.084250e+04,13.733957,153.489831,11.362638,126.715480,2.418776
1000000,974168,7,3115,312,-3,95.486087813,0.096743806,95.616050713,-100.206149,102.617582,1.866484e+03,2.086363e+04,19.547186,218.499198,16.172146,180.384788,2.418776
1000000,976143,7,3115,313,-4,91.245024976,0.092353311,91.372554536,-110.571141,114.811717,1.869879e+03,2.089980e+04,20.492942,229.051434,16.952888,189.085221,2.420854
1000000,978120,7,3115,313,-4,67.723415232,0.068476693,68.423994554,-116.134532,114.895991,1.871420e+03,2.092096e+04,27.633283,308.917639,22.859767,255.015910,2.420854
1000000,980099,7,3115,314,-3,41.551573937,0.041971308,41.654515304,-93.025468,102.829924,1.874204e+03,2.095096e+04,45.105485,504.215781,37.310094,416.214033,2.422372
1000000,982080,7,3115,315,-3,34.150718252,0.034460884,33.940527736,-103.397152,102.905282,1.875746e+03,2.097212e+04,54.925512,614.104856,45.432959,506.923957,2.422372
1000000,984063,7,3115,315,-3,-3.942811027,0.003974610,-3.764768529,-105.028441,102.957627,1.877287e+03,2.099328e+04,476.129149,5324.446034,393.841609,4395.160250,2.422372
1000000,986048,7,3115,316,-3,-5.498491233,0.005537255,-5.461375521,-106.988836,103.033359,1.878829e+03,2.101445e+04,341.698937,3821.856988,282.644394,3154.820953,2.422372
1000000,988035,7,3115,317,-4,-7.388812061,0.007433416,-6.879008279,-110.827162,115.252298,1.881583e+03,2.104564e+04,254.652954,2848.311293,210.625043,2351.063362,2.424345
1000000,990024,7,3115,317,-4,-35.333712111,0.035511286,-34.778379823,-118.967763,115.336406,1.883125e+03,2.106681e+04,53.295409,596.224067,44.080957,492.137416,2.424345
1000000,992015,7,3115,318,-5,-42.356457426,0.042526585,-42.060793624,-131.651109,127.568631,1.884643e+03,2.108690e+04,44.494829,497.843802,36.799982,410.919856,2.424832
1000000,994008,7,3115,319,-4,-42.412216740,0.042539858,-42.331444582,-122.063239,115.518612,1.887886e+03,2.112146e+04,44.512794,498.004132,36.817515,411.075979,2.425874
1000000,996003,7,3115,319,-4,-63.493782425,0.063621056,-63.200865014,-108.199126,115.602635,1.889429e+03,2.114264e+04,29.757696,332.987632,24.613244,274.863616,2.425874
