j,T,S_T_x999999,resid_x999999,S_T_ces_x999999,resid_ces_x999999,resid_ces_plus_offpred_x999999,S_T_x9998243,resid_x9998243,S_T_ces_x9998243,resid_ces_x9998243,resid_ces_plus_offpred_x9998243,S_T_x99999999,resid_x99999999,S_T_ces_x99999999,resid_ces_x99999999,resid_ces_plus_offpred_x99999999,S_T_x999950883,resid_x999950883,S_T_ces_x999950883,resid_ces_x999950883,resid_ces_plus_offpred_x999950883
25,88.809111207,-1.082614564e+02,-1.023495516e+02,-7.067030900e+01,-6.475840426e+01,50.960403,-5.035436647e+02,-2.966357329e+02,-3.778905937e+02,-1.709826619e+02,212.310742,-1.223398309e+03,-8.602382851e+02,-6.669296496e+02,-3.037696257e+02,517.084243,6.464476154e+02,-7.114671378e+02,5.571393907e+02,-8.007753626e+02,-14.821697
50,143.11184580,-1.396825918e+02,-1.337706871e+02,-8.871486405e+01,-8.280295931e+01,32.915848,-4.943227314e+02,-2.874147996e+02,-4.180839388e+02,-2.111760070e+02,172.117397,-1.160987902e+03,-7.978278781e+02,-8.710224379e+02,-5.078624140e+02,312.991454,-2.413376663e+02,-1.599252420e+03,3.492956721e+02,-1.008619081e+03,-222.665415
75,192.02665636,-1.489457072e+02,-1.430338024e+02,-1.036135103e+02,-9.770160551e+01,18.017202,-4.970466451e+02,-2.901387133e+02,-4.395926844e+02,-2.326847526e+02,150.608651,-1.344281536e+03,-9.811215116e+02,-9.640435783e+02,-6.008835544e+02,219.970314,-1.300433988e+02,-1.487958152e+03,2.535446243e+02,-1.104370129e+03,-318.416463
100,236.52422966,-1.408503113e+02,-1.349384066e+02,-1.117602490e+02,-1.058483442e+02,9.870463,-5.122772442e+02,-3.053693124e+02,-4.514242414e+02,-2.445163096e+02,138.777094,-1.335378936e+03,-9.722189117e+02,-1.036132196e+03,-6.729721722e+02,147.881696,3.014779663e+01,-1.327766957e+03,1.972546099e+02,-1.160660143e+03,-374.706477
125,278.25074352,-1.284083342e+02,-1.224964295e+02,-1.147758880e+02,-1.088639833e+02,6.854824,-5.208291270e+02,-3.139211952e+02,-4.607581066e+02,-2.538501748e+02,129.443229,-1.215573006e+03,-8.524129823e+02,-1.073800002e+03,-7.106399777e+02,110.213891,-2.246436499e+02,-1.582558403e+03,1.422509127e+02,-1.215663841e+03,-429.710175
150,318.85310425,-1.263867410e+02,-1.204748363e+02,-1.161173717e+02,-1.102054669e+02,5.513340,-5.247960259e+02,-3.178880941e+02,-4.676789179e+02,-2.607709861e+02,122.522418,-1.243359348e+03,-8.801993239e+02,-1.095956069e+03,-7.327960452e+02,88.057823,-3.431716389e+02,-1.701086392e+03,9.986009581e+01,-1.258054657e+03,-472.100991
175,357.95268510,-1.248597205e+02,-1.189478157e+02,-1.173695945e+02,-1.114576897e+02,4.261117,-5.407712809e+02,-3.338633491e+02,-4.749699759e+02,-2.680620441e+02,115.231360,-1.309967044e+03,-9.468070199e+02,-1.112887964e+03,-7.497279400e+02,71.125928,-5.428609333e+02,-1.900775687e+03,3.563273742e+01,-1.322282016e+03,-536.328350
200,396.38185422,-1.360534515e+02,-1.301415468e+02,-1.186580660e+02,-1.127461613e+02,2.972646,-5.586818335e+02,-3.517739017e+02,-4.822893735e+02,-2.753814417e+02,107.911962,-1.306345243e+03,-9.431852193e+02,-1.131433590e+03,-7.682735661e+02,52.580302,-2.707308242e+02,-1.628645577e+03,-6.781023842e+00,-1.364695777e+03,-578.742111
225,433.88921848,-1.326264629e+02,-1.267145582e+02,-1.198486725e+02,-1.139367678e+02,1.782039,-5.603953109e+02,-3.534873791e+02,-4.885970147e+02,-2.816890829e+02,101.604321,-1.266603919e+03,-9.034438946e+02,-1.145824961e+03,-7.826649370e+02,38.188931,-2.834219002e+02,-1.641336653e+03,-2.893187663e+01,-1.386846630e+03,-600.892964
250,470.77365547,-1.329763363e+02,-1.270644316e+02,-1.208830146e+02,-1.149711098e+02,0.747697,-5.435669355e+02,-3.366590036e+02,-4.939975227e+02,-2.870895909e+02,96.203813,-1.224054166e+03,-8.608941420e+02,-1.152701142e+03,-7.895411178e+02,31.312751,-1.214600482e+02,-1.479374801e+03,-4.370113289e+01,-1.401615886e+03,-615.662220
