j,gamma,absF_K,argF_K,absG_K,argG_K,contrib,S_T,resid_T,S_T_cesaro,resid_cesaro,cum_abs_li,cum_abs_psi
1,14.13472514173469379045725198,1.256645778576e+01,-0.143771613,1.798755904778e+03,2.206904076,2.137170127e+03,2.137170127e+03,7.792553741e+02,0.000000000e+00,-1.357914753e+03,3.597511810e+03,5.619184472e+04
2,21.02203963877155499262847959,8.787288633637e+00,0.180710123,8.365544846255e+02,0.722123590,-1.255507282e+03,8.816628457e+02,-4.762519075e+02,7.001871871e+02,-6.577275662e+02,5.270620779e+03,8.262059116e+04
3,25.01085758014568876321379099,7.364158582457e+00,-0.310756811,5.887465177974e+02,1.221624377,-4.028437317e+02,4.788191140e+02,-8.790956392e+02,7.291295518e+02,-6.287852014e+02,6.448113814e+03,1.012383377e+05
4,30.42487612585951321031189753,7.808405938972e+00,0.551357790,5.106940233308e+02,1.196488974,-3.734479953e+02,1.053711187e+02,-1.252543635e+03,6.845875347e+02,-6.733272185e+02,7.469501861e+03,1.174674309e+05
5,32.93506158773918969066236896,7.209978131796e+00,-0.588002456,4.308308015539e+02,1.768659838,1.693811101e+02,2.747522288e+02,-1.083162524e+03,6.404418566e+02,-7.174728966e+02,8.331163464e+03,1.313108943e+05
6,37.58617815882567125721776348,5.276200433804e+00,0.298863999,2.785791385840e+02,-1.460379116,-6.139493090e+01,2.133572979e+02,-1.144557455e+03,5.951894481e+02,-7.627253051e+02,8.888321741e+03,1.401880538e+05
7,40.91871901214749518739812691,6.896977349826e+00,0.265181986,3.342918499321e+02,-1.524870798,-3.069426766e+01,1.826630302e+02,-1.175251723e+03,5.640919145e+02,-7.938228387e+02,9.556905441e+03,1.508472310e+05
8,43.32707328091499951949612217,5.847492858118e+00,-0.692581566,2.711105893058e+02,-2.909343734,5.276632070e+02,7.103262372e+02,-6.475885161e+02,5.428900236e+02,-8.150247297e+02,1.009912662e+04,1.593821766e+05
9,48.00515088116715972794247275,6.701076838554e+00,0.849682491,2.766852824189e+02,1.395659975,-9.642061813e+01,6.139056191e+02,-7.440091342e+02,5.592065977e+02,-7.987081556e+02,1.065249718e+04,1.682099776e+05
10,49.77383247767230218191678468,7.536898893302e+00,-0.477215688,3.022130535276e+02,-1.029865347,-3.112397212e+02,3.026658979e+02,-1.055248855e+03,5.611502927e+02,-7.967644605e+02,1.125692329e+04,1.777860854e+05
11,52.97032147771446064414729661,4.220930016800e+00,-0.169323685,1.565756446747e+02,2.742725559,2.885694070e+02,5.912353048e+02,-7.666794484e+02,5.455520766e+02,-8.123626767e+02,1.157007458e+04,1.828254470e+05
12,56.44624769706339480436775948,4.989062934358e+00,0.375122705,1.825327997798e+02,-0.098726219,-3.632879214e+02,2.279473835e+02,-1.129967370e+03,5.483652225e+02,-8.095495308e+02,1.193514018e+04,1.884151174e+05
13,59.34704400260235307965364867,7.502675011993e+00,0.329646533,2.500977563174e+02,-2.897630643,4.853840099e+02,7.133313934e+02,-6.445833599e+02,5.327036693e+02,-8.252110839e+02,1.243533569e+04,1.964101632e+05
14,60.83177852460980984425990182,6.264954487218e+00,-0.903374883,2.030190572525e+02,1.536134482,-1.407121201e+01,6.992601813e+02,-6.586545719e+02,5.371122897e+02,-8.208024636e+02,1.284137381e+04,2.029233280e+05
15,65.11254404808160666087505425,4.298306033412e+00,0.684940352,1.263777560321e+02,-2.433995625,1.920754910e+02,8.913356723e+02,-4.665790809e+02,5.477725567e+02,-8.101421966e+02,1.309412932e+04,2.070981619e+05
16,67.07981052949417371447882890,5.718310959773e+00,-0.035753454,1.655899258354e+02,-0.068420551,-3.304049660e+02,5.609307063e+02,-7.969840470e+02,5.578483186e+02,-8.000664346e+02,1.342530917e+04,2.124893341e+05
17,69.54640171117397925292685753,4.594857516298e+00,-0.259659325,1.270426910918e+02,0.546455458,-2.170833980e+02,3.438473083e+02,-1.014067445e+03,5.579576412e+02,-7.999571121e+02,1.367939455e+04,2.166676906e+05
18,72.06715767448190758252210797,3.255539988895e+00,-0.325751314,8.517323599468e+01,2.456668436,1.319277195e+02,4.757750278e+02,-8.821397254e+02,5.504685169e+02,-8.074462363e+02,1.384974103e+04,2.195245872e+05
19,75.70469069908393316832691676,5.999838494549e+00,0.856229628,1.572951821500e+02,-2.677034503,2.812499560e+02,7.570249838e+02,-6.008897694e+02,5.468795711e+02,-8.110351822e+02,1.416433139e+04,2.245367668e+05
20,77.14484006887480537268266486,7.403643116531e+00,-0.267182114,1.910110676865e+02,0.945218986,-2.236989358e+02,5.333260480e+02,-8.245887053e+02,5.508025915e+02,-8.071121617e+02,1.454635353e+04,2.306062093e+05
21,79.33737502024936792276359288,4.623910773954e+00,-0.672269428,1.207848123179e+02,1.973687801,9.471460273e+01,6.280406507e+02,-7.298741025e+02,5.503196170e+02,-8.075951363e+02,1.478792315e+04,2.342920989e+05
22,82.91038085408603018316483749,3.551724391517e+00,0.742544964,7.898685351692e+01,2.086635107,7.792284688e+01,7.059634976e+02,-6.519512556e+02,5.536689890e+02,-8.042457643e+02,1.494589686e+04,2.370013034e+05
23,84.73549298051705010573531121,5.024506627603e+00,-0.176509979,1.178750191327e+02,1.193734112,-8.680096110e+01,6.191625365e+02,-7.387522167e+02,5.569492502e+02,-8.009655030e+02,1.518164690e+04,2.407513773e+05
24,87.42527461312522940653166785,5.695842833580e+00,0.229576153,1.263604274802e+02,0.827958068,-1.709356245e+02,4.482269120e+02,-9.096878412e+02,5.588633438e+02,-7.990514095e+02,1.543436775e+04,2.448717189e+05
25,88.80911120763446542368234808,4.610158399160e+00,-0.907289638,9.975009625917e+01,-3.028275927,1.982207034e+02,6.464476154e+02,-7.114671378e+02,5.571393907e+02,-8.007753626e+02,1.563386794e+04,2.481547180e+05
26,92.49189927055848429625972524,3.553631290961e+00,0.703525046,7.539813509403e+01,-0.499487719,-1.323731954e+02,5.140744200e+02,-8.438403333e+02,5.606954131e+02,-7.972193402e+02,1.578466421e+04,2.505845803e+05
27,94.65134404051988696659792582,7.214087933186e+00,0.565821664,1.490597798754e+02,0.164941399,-2.940734748e+02,2.200009452e+02,-1.137913808e+03,5.596317677e+02,-7.982829855e+02,1.608278377e+04,2.554048120e+05
28,95.87063422824530975874102922,5.883131564150e+00,-0.956296393,1.158520610367e+02,-1.307790493,-6.023940945e+01,1.597615357e+02,-1.198153218e+03,5.553123165e+02,-8.026024368e+02,1.631448789e+04,2.592857471e+05
29,98.83119421819369223332442014,3.156360773857e+00,-0.063576328,6.338796658521e+01,-1.860604612,3.622856952e+01,1.959901053e+02,-1.161924648e+03,5.434633064e+02,-8.144514468e+02,1.644126383e+04,2.613055378e+05
30,101.3178510057313912287854479,3.295698755461e+00,0.329416329,6.291784334885e+01,-0.154854296,-1.243299386e+02,7.166016662e+01,-1.286254587e+03,5.349352279e+02,-8.229795254e+02,1.656709951e+04,2.633627334e+05
31,103.7255380404783394163984081,4.807848520212e+00,0.458848182,8.914855106531e+01,-0.420455215,-1.627679999e+02,-9.110783330e+01,-1.449022587e+03,5.241816432e+02,-8.337331101e+02,1.674539662e+04,2.662941623e+05
32,105.4466230523260944936708324,5.992716572793e+00,-0.204831549,1.127209793781e+02,-3.119321155,2.253860492e+02,1.342782159e+02,-1.223636537e+03,5.141389745e+02,-8.437757787e+02,1.697083858e+04,2.698883893e+05
33,107.1686111842764075151233520,3.639957324612e+00,-1.018412329,6.688069967387e+01,0.265620524,-1.290703595e+02,5.207856406e+00,-1.352706897e+03,5.080353616e+02,-8.498793916e+02,1.710459997e+04,2.720364339e+05
34,111.0295355431696745246564503,6.555514443669e+00,1.227942642,1.155981191104e+02,0.900126582,-1.436909609e+02,-1.384831045e+02,-1.496397858e+03,4.905501136e+02,-8.673646396e+02,1.733579621e+04,2.757705102e+05
35,111.8746591769926370856120787,7.665123486875e+00,-0.288657169,1.340937127135e+02,-1.913026145,9.000059793e+01,-4.848250655e+01,-1.406397260e+03,4.857982704e+02,-8.721164828e+02,1.760398364e+04,2.801036472e+05
36,114.3202209154527127658909373,3.427959347084e+00,-0.209798479,5.294391674441e+01,-1.509481623,-6.488413816e+00,-5.497092036e+01,-1.412885674e+03,4.743688259e+02,-8.835459274e+02,1.770987147e+04,2.820000377e+05
37,116.2266803208575543821608043,3.397247144709e+00,-0.623627729,5.733809389660e+01,-0.136173380,-1.136145986e+02,-1.685855190e+02,-1.526500272e+03,4.656860971e+02,-8.922286561e+02,1.782454766e+04,2.838486108e+05
38,118.7907828659762173229791397,3.017513072495e+00,0.003087240,5.175630551589e+01,-2.890723240,1.002723515e+02,-6.831316744e+01,-1.426227921e+03,4.519953256e+02,-9.059194276e+02,1.792806027e+04,2.854551151e+05
39,121.3701250024206459189455330,5.330975024570e+00,0.725991692,9.021513800486e+01,1.070096039,-8.661374632e+01,-1.549269138e+02,-1.512841667e+03,4.409377971e+02,-9.169769562e+02,1.810849055e+04,2.882329760e+05
40,122.9468292935525882008174603,6.935248888400e+00,-0.045658435,1.105336866459e+02,1.531651585,-8.651415342e+00,-1.635783291e+02,-1.521493082e+03,4.332962625e+02,-9.246184907e+02,1.832955792e+04,2.918004471e+05
41,124.2568185543457671847320080,4.513425574377e+00,-1.085212964,7.017319536035e+01,2.533538743,1.151908884e+02,-4.838744074e+01,-1.406302194e+03,4.270036557e+02,-9.309110976e+02,1.846990431e+04,2.940976633e+05
42,127.5166838795964951242793238,3.078832367988e+00,0.496374998,4.958625825039e+01,2.545263562,8.205561787e+01,3.366817714e+01,-1.324246576e+03,4.148506503e+02,-9.430641030e+02,1.856907683e+04,2.956246492e+05
43,129.5787041999560509857680339,4.947803547263e+00,0.475343372,7.699329891664e+01,1.277322252,-4.454516661e+01,-1.087698947e+01,-1.368791743e+03,4.087847924e+02,-9.491299609e+02,1.872306343e+04,2.980395256e+05
44,131.0876885309326567235663725,4.917614906774e+00,-0.255987826,7.491328352274e+01,0.405330952,-1.376864118e+02,-1.485634013e+02,-1.506478155e+03,4.039539569e+02,-9.539607963e+02,1.887288999e+04,3.004120396e+05
45,133.4977372029975864501304920,4.358287782662e+00,0.193619796,6.127661798581e+01,0.548762797,-1.045588105e+02,-2.531222118e+02,-1.611036965e+03,3.939793030e+02,-9.639354502e+02,1.899544323e+04,3.024767459e+05
46,134.7565097533738713313260642,3.557148232483e+00,-0.992698894,4.940994821376e+01,0.263903736,-9.539865701e+01,-3.485208688e+02,-1.706435622e+03,3.879346702e+02,-9.699800831e+02,1.909426312e+04,3.041461772e+05
47,138.1160420545334432001915552,3.914754383661e+00,1.009564425,5.807582921200e+01,2.837744262,1.108309995e+02,-2.376898692e+02,-1.595604622e+03,3.700211379e+02,-9.878936153e+02,1.921041478e+04,3.059387503e+05
48,139.7362089521213889504500465,6.106270738804e+00,0.298399581,8.604374066962e+01,-2.057388551,8.047092312e+01,-1.572189461e+02,-1.515133699e+03,3.629750526e+02,-9.949397007e+02,1.938250226e+04,3.087024041e+05
49,141.1237074040211237619403538,5.315526064460e+00,-0.499348523,7.356403295249e+01,0.809955134,-1.014493518e+02,-2.586682979e+02,-1.616583051e+03,3.578606152e+02,-1.000054138e+03,1.952963033e+04,3.110845200e+05
50,143.1118458076206327394051239,2.788728518219e+00,-0.397227516,3.796816174244e+01,-1.801051373,1.733063166e+01,-2.413376663e+02,-1.599252420e+03,3.492956721e+02,-1.008619081e+03,1.960556665e+04,3.123169076e+05
51,146.0009824867655185474025076,3.589110113119e+00,0.507805098,4.978525996214e+01,2.280800347,6.490373106e+01,-1.764339352e+02,-1.534348688e+03,3.376079395e+02,-1.020306814e+03,1.970513717e+04,3.138716119e+05
52,147.4227653425596020495211850,4.173149279541e+00,-0.190792046,5.732429260384e+01,-0.336531013,-1.082174706e+02,-2.846514058e+02,-1.642566159e+03,3.326503882e+02,-1.025264365e+03,1.981978576e+04,3.156618723e+05
53,150.0535204207848803514324672,7.192323453666e+00,0.686502467,9.708432756208e+01,-1.470277192,-1.948481372e+01,-3.041362195e+02,-1.662050973e+03,3.218277842e+02,-1.036086969e+03,2.001395441e+04,3.186932492e+05
54,150.9252576122414667618525247,7.391690532553e+00,-0.728878598,9.933351838695e+01,2.625739998,1.728149807e+02,-1.313212389e+02,-1.489235992e+03,3.182122456e+02,-1.039702508e+03,2.021262145e+04,3.217906599e+05
55,153.0246938111988961982565443,3.102935237579e+00,-0.658531224,4.260208382354e+01,2.198705040,5.005349957e+01,-8.126773931e+01,-1.439182493e+03,3.120448301e+02,-1.045869923e+03,2.029782562e+04,3.230730738e+05
56,156.1129092942378675697501893,3.873946859406e+00,1.051390895,5.056090623638e+01,-1.175194491,-3.896866682e+01,-1.202364061e+02,-1.478151159e+03,3.042643462e+02,-1.053650407e+03,2.039894743e+04,3.246424676e+05
57,157.5975918175940598875305032,6.495897111918e+00,0.391899828,8.171828849136e+01,-2.480778794,1.290320300e+02,8.795623885e+00,-1.349119129e+03,3.002652442e+02,-1.057649509e+03,2.056238401e+04,3.272492616e+05
58,158.8499881714204987241749948,4.460154783612e+00,-0.646776139,5.105883615868e+01,-2.691289051,9.193807260e+01,1.007336965e+02,-1.257181057e+03,2.979672554e+02,-1.059947498e+03,2.066450168e+04,3.290250038e+05
59,161.1889641375960275194373441,2.977900191131e+00,-0.304618930,3.584715229229e+01,2.026733898,3.156731090e+01,1.323010074e+02,-1.225613746e+03,2.951052446e+02,-1.062809509e+03,2.073619598e+04,3.301934052e+05
60,163.0307096871819872433110390,2.975575239784e+00,-0.276865430,3.725738666480e+01,2.595232088,6.366699890e+01,1.959680063e+02,-1.161946747e+03,2.932660575e+02,-1.064648696e+03,2.081071076e+04,3.313477055e+05
61,165.5370691879004188300389194,3.708215936428e+00,0.754776450,4.616365494186e+01,-0.918204598,-5.606553771e+01,1.399024686e+02,-1.218012285e+03,2.917928896e+02,-1.066121864e+03,2.090303807e+04,3.327644355e+05
62,167.1844399781745134409577562,4.305330371380e+00,0.096560670,4.971297489127e+01,1.026554955,-5.147969625e+01,8.842277233e+01,-1.269491981e+03,2.902962202e+02,-1.067618533e+03,2.100246402e+04,3.343930865e+05
63,169.0945154155688214895058712,7.064518595820e+00,0.104362076,8.207463116053e+01,2.973542442,1.618368528e+02,2.502596251e+02,-1.107655128e+03,2.880158771e+02,-1.069898876e+03,2.116661328e+04,3.370353156e+05
64,169.9119764794116989666998436,5.512813605488e+00,-1.284748931,6.419800705403e+01,-0.280154790,-1.233901937e+02,1.268694314e+02,-1.231045322e+03,2.878342285e+02,-1.070080525e+03,2.129500929e+04,3.390872656e+05
65,173.4115365195915529598461186,2.850440838438e+00,0.927397985,3.063302169887e+01,-1.004827837,-3.285290733e+01,9.401652402e+01,-1.263898229e+03,2.845858519e+02,-1.073328901e+03,2.135627534e+04,3.401268304e+05
66,174.7541915233657258133787625,4.532711397863e+00,0.229116118,4.976218587608e+01,1.041343997,-5.026585200e+01,4.375067203e+01,-1.314164081e+03,2.831216876e+02,-1.074793066e+03,2.145579971e+04,3.417672238e+05
67,176.4414342977104188888926411,4.285751561053e+00,-0.224470423,4.802655274350e+01,-2.208927335,5.721838243e+01,1.009690545e+02,-1.256945699e+03,2.808326730e+02,-1.077082080e+03,2.155185281e+04,3.433034105e+05
68,178.3774077760999772858309354,4.050578676363e+00,-0.037797890,4.506883272329e+01,0.455853745,-8.093330390e+01,2.003575056e+01,-1.337879003e+03,2.788805693e+02,-1.079034184e+03,2.164199048e+04,3.447395441e+05
69,179.9164840202569961393400366,3.471145859637e+00,-0.550805989,3.901627420124e+01,0.402394809,-7.179975877e+01,-5.176400821e+01,-1.409678761e+03,2.766663091e+02,-1.081248444e+03,2.172002303e+04,3.459597119e+05
70,182.2070784843664619154070372,2.147507097126e+00,-0.034332111,2.277158020167e+01,-1.920878488,1.562016480e+01,-3.614384341e+01,-1.394058597e+03,2.725374867e+02,-1.085377267e+03,2.176556619e+04,3.467051079e+05
71,184.8744678483875088009606466,6.591676618362e+00,1.295908467,6.651892771308e+01,-1.808781076,3.136296335e+01,-4.780880058e+00,-1.362695633e+03,2.680837982e+02,-1.089830955e+03,2.189860404e+04,3.489600568e+05
72,185.5987836777074714665277043,8.016697580217e+00,-0.337219322,8.051145353592e+01,-0.984919146,-8.903447423e+01,-9.381535429e+01,-1.451730108e+03,2.670189194e+02,-1.090895834e+03,2.205962695e+04,3.516917890e+05
73,187.2289225835018519916415406,4.816568927523e+00,-0.839201591,5.393802238808e+01,0.829709403,-7.282605768e+01,-1.666414120e+02,-1.524556165e+03,2.638772574e+02,-1.094037496e+03,2.216750300e+04,3.533187706e+05
