Y,E2,D,E2_over_D,meanblock,varblock,dc_share,secs
32,2.941559e+05,1.093810e+06,0.268928,2.844957e+05,9.660161e+03,0.967160,0.0
48,9.960901e+05,5.056585e+06,0.196989,9.725166e+05,2.357346e+04,0.976334,0.0
64,3.331906e+06,1.505458e+07,0.221322,3.276197e+06,5.570872e+04,0.983280,0.0
96,1.233611e+07,6.835594e+07,0.180469,1.215822e+07,1.778930e+05,0.985579,0.0
128,5.577981e+07,2.004002e+08,0.278342,5.534332e+07,4.364901e+05,0.992175,0.0
192,2.025229e+08,9.118571e+08,0.222099,2.011861e+08,1.336783e+06,0.993399,0.1
256,5.885857e+08,2.660908e+09,0.221197,5.853530e+08,3.232682e+06,0.994508,0.3
384,2.140033e+09,1.205001e+10,0.177596,2.128605e+09,1.142817e+07,0.994660,1.1
512,5.966771e+09,3.530124e+10,0.169024,5.939674e+09,2.709700e+07,0.995459,4.8
768,3.296830e+10,1.616515e+11,0.203947,3.288140e+10,8.689578e+07,0.997364,19.6
1024,8.433209e+10,4.776054e+11,0.176573,8.412710e+10,2.049905e+08,0.997569,44.9
1536,5.639317e+11,2.188759e+12,0.257649,5.632602e+11,6.715699e+08,0.998809,193.7
2048,1.188351e+12,6.446399e+12,0.184343,1.186723e+12,1.627944e+09,0.998630,399.4
# exponent fits (full, last-5): E2=3.700,3.889; D=3.743,3.757; meanblock=3.707,3.892; varblock=2.937,2.952
