q,X,V0,A_q,abs_V0_minus_Aq,sum_abs_cq,gap_over_q,csum_over_q
16,255,2.153890,2.640437,0.486547,8.114974,0.030409,0.507186
19,360,4.017584,2.713901,1.303683,10.033093,0.068615,0.528058
22,483,7.942770,8.589031,0.646261,14.334404,0.029375,0.651564
26,675,12.493592,13.113821,0.620229,14.896972,0.023855,0.572960
31,960,5.154627,6.189142,1.034515,17.011248,0.033371,0.548750
36,1295,3.838204,3.881238,0.043034,21.410198,0.001195,0.594728
43,1848,8.333082,9.669255,1.336173,24.563239,0.031074,0.571238
50,2499,11.588538,17.778658,6.190120,29.317160,0.123802,0.586343
59,3480,-1.826360,-5.263009,3.436649,30.860462,0.058248,0.523059
70,4899,-7.075541,-5.344323,1.731218,41.263744,0.024732,0.589482
83,6888,31.322634,28.170299,3.152335,42.996166,0.037980,0.518026
98,9603,18.275850,23.395314,5.119464,54.514157,0.052239,0.556267
115,13224,37.358370,35.090347,2.268023,61.677496,0.019722,0.536326
136,18495,36.454933,34.512013,1.942920,73.315002,0.014286,0.539081
160,25599,24.251149,20.258404,3.992745,87.792196,0.024955,0.548701
189,35720,38.013125,44.297169,6.284044,105.672329,0.033249,0.559113
223,49728,-35.313440,-33.306937,2.006503,117.705898,0.008998,0.527829
263,69168,-16.417992,-10.532117,5.885875,136.081399,0.022380,0.517420
311,96720,123.057804,125.262897,2.205093,163.201037,0.007090,0.524762
367,134688,31.725586,34.132456,2.406870,195.850841,0.006558,0.533654
432,186623,19.607932,31.315435,11.707503,235.624577,0.027101,0.545427
510,260099,82.451148,83.229875,0.778727,275.096968,0.001527,0.539406
602,362403,157.339126,152.096456,5.242669,313.534737,0.008709,0.520822
710,504099,103.710693,87.201011,16.509682,378.780191,0.023253,0.533493
838,702243,-72.834890,-64.567727,8.267163,437.322974,0.009865,0.521865
988,976143,49.756799,44.704723,5.052076,523.249217,0.005113,0.529604
1166,1359555,109.332898,119.202564,9.869666,597.328804,0.008465,0.512289
1376,1893375,36.202074,14.396358,21.805716,706.169360,0.015847,0.513204
1623,2634128,59.719092,63.708536,3.989444,822.170143,0.002458,0.506574
1914,3663395,14.160089,-0.771908,14.931996,979.485566,0.007801,0.511748
2259,5103080,452.607267,479.936274,27.329007,1153.577377,0.012098,0.510658
2665,7102224,744.267191,749.437638,5.170448,1350.923964,0.001940,0.506913
3144,9884735,-487.476473,-476.835388,10.641085,1579.282529,0.003385,0.502316
3709,13756680,351.119370,349.733768,1.385601,1881.111444,0.000374,0.507175
4375,19140624,770.780186,792.899134,22.118948,2196.694841,0.005056,0.502102
5162,26646243,124.761108,75.581752,49.179355,2593.225424,0.009527,0.502368
6090,37088099,-1045.794759,-986.338111,59.456648,3045.974306,0.009763,0.500160
7185,51624224,1259.419865,1254.257873,5.161992,3565.039401,0.000718,0.496178
8476,71842575,1586.954467,1599.697538,12.743071,4229.933627,0.001503,0.499048
10000,99999999,-425.652760,-419.037428,6.615332,4967.441661,0.000662,0.496744

# fit_exponent_gap_all,0.5053
# fit_exponent_gap_tail_half,0.3186
# fit_exponent_csum_all,0.9777
# fit_exponent_csum_tail_half,0.9739
# XMAX,100000000
