run_xmax,x,D,M_x,E_rec,sum_abs_Ed,C_pnt,absE_over_sqrtD,absE_rec_over_sqrtx,ratio_E_to_sqrtD_pred,saving_factor
1e7,10000,98,-23,26.088798,129.797155,29.177596,13.111493,0.260888,1.989766,4.975206
1e7,10293,99,-30,33.520225,117.039194,37.040451,11.762882,0.330397,2.849661,3.491599
1e7,10595,101,-16,22.607250,118.758985,29.214501,11.816961,0.219633,1.913119,5.253137
1e7,10906,102,-8,17.503582,97.589197,27.007163,9.662770,0.167608,1.811445,5.575384
1e7,11226,104,2,9.124194,139.161990,20.248388,13.645956,0.086116,0.668637,15.251976
1e7,11555,106,8,3.585210,126.043218,15.170421,12.242400,0.033353,0.292852,35.156436
1e7,11894,107,27,-11.777348,138.661223,3.445303,13.404886,0.107990,0.878586,11.773552
1e7,12242,109,20,-1.903756,127.086340,16.192489,12.172664,0.017206,0.156396,66.755591
1e7,12601,110,-2,20.878152,125.530597,39.756305,11.968873,0.185990,1.744371,6.012534
1e7,12971,112,-6,24.398472,143.729580,42.796945,13.581169,0.214228,1.796493,5.890925
1e7,13351,114,-13,26.295873,149.926353,39.591745,14.041889,0.227578,1.872673,5.701517
1e7,13743,115,-2,18.938891,147.915236,35.877782,13.793167,0.161553,1.373063,7.810132
1e7,14146,117,18,1.123509,142.732326,20.247018,13.195608,0.009446,0.085143,127.041574
1e7,14561,119,1,11.708013,178.775072,24.416026,16.388284,0.097026,0.714414,15.269463
1e7,14988,120,-12,19.943000,152.342026,27.886000,13.906861,0.162899,1.434040,7.638872
1e7,15427,122,-7,16.934404,162.458392,26.868808,14.708292,0.136342,1.151351,9.593393
1e7,15879,124,-23,29.497177,186.440685,35.994355,16.742868,0.234082,1.761776,6.320628
1e7,16345,126,-31,33.391406,164.889064,35.782811,14.689485,0.261181,2.273150,4.938069
1e7,16824,128,-20,27.285190,177.306898,34.570380,15.671864,0.210360,1.741030,6.498283
1e7,17318,130,-18,25.791729,180.216111,33.583457,15.805999,0.195989,1.631768,6.987361
1e7,17826,132,-3,15.962180,172.220725,28.924360,14.989890,0.119554,1.064863,10.789298
1e7,18348,133,-22,32.329832,184.613565,42.659663,16.008026,0.238676,2.019601,5.710316
1e7,18886,135,25,-7.104977,164.776542,10.790046,14.181707,0.051700,0.500996,23.191707
1e7,19440,137,41,-9.383608,181.240856,22.232784,15.484451,0.067301,0.606002,19.314623
1e7,20010,139,23,-1.406040,188.257563,20.187921,15.967798,0.009940,0.088055,133.892076
1e7,20597,142,35,-8.918692,175.094376,17.162616,14.693594,0.062144,0.606978,19.632293
1e7,21201,144,28,-9.664016,206.552033,8.671969,17.212669,0.066371,0.561448,21.373313
1e7,21823,146,1,14.003370,194.726246,29.006739,16.115659,0.094793,0.868929,13.905671
1e7,22463,148,-26,29.755455,209.621694,33.510909,17.230797,0.198533,1.726876,7.044816
1e7,23122,150,-30,38.956602,196.202072,47.913204,16.019832,0.256194,2.431773,5.036427
1e7,23800,152,-35,38.286825,227.397114,41.573650,18.444341,0.248177,2.075803,5.939305
1e7,24497,155,-59,61.182976,198.112308,63.365952,15.912764,0.390908,3.844899,3.238030
1e7,25216,157,-7,16.110449,219.793944,25.220899,17.541466,0.101454,0.918421,13.642943
1e7,25955,159,-7,23.432292,215.908577,39.864584,17.122664,0.145447,1.368496,9.214147
1e7,26716,161,-1,18.787989,238.301402,36.575978,18.780781,0.114946,1.000384,12.683710
1e7,27500,164,11,8.861569,240.085060,28.723138,18.747493,0.053437,0.472680,27.092838
1e7,28306,166,5,7.191420,224.302864,19.382839,17.409279,0.042744,0.413080,31.190346
1e7,29136,169,-2,20.109300,240.531845,38.218600,18.502450,0.117810,1.086845,11.961224
1e7,29991,171,19,-0.300073,221.063692,18.399853,16.905163,0.001733,0.017750,736.698628
1e7,30870,174,43,-19.622344,233.831231,3.755311,17.726700,0.111682,1.106937,11.916580
1e7,31775,176,47,-16.804847,270.712204,13.390306,20.405700,0.094274,0.823537,16.109174
1e7,32707,179,22,6.358153,231.745570,34.716306,17.321477,0.035157,0.367068,36.448568
1e7,33666,181,-18,29.263197,245.399418,40.526394,18.240395,0.159487,1.604307,8.385940
1e7,34654,184,-29,36.769879,266.024862,44.539757,19.611613,0.197522,1.874903,7.234858
1e7,35670,187,-22,27.981025,267.894341,33.962049,19.590374,0.148154,1.428305,9.574143
1e7,36716,190,-10,19.280316,255.578786,28.560632,18.541634,0.100620,1.039839,13.255944
1e7,37793,192,-35,46.042331,268.428037,57.084661,19.372125,0.236838,2.376731,5.830027
1e7,38901,195,-17,34.700151,275.570563,52.400301,19.734018,0.175934,1.758393,7.941480
1e7,40042,198,-10,33.098227,261.189034,56.196454,18.561896,0.165404,1.783127,7.891330
1e7,41216,201,4,18.583235,307.136304,41.166470,21.663725,0.091535,0.857804,16.527602
1e7,42424,204,-59,63.273895,308.780748,67.547790,21.618977,0.307198,2.926776,4.880065
1e7,43668,207,-28,38.444420,303.113843,48.888839,21.067868,0.183972,1.824789,7.884469
1e7,44949,210,0,27.063461,317.099017,54.126923,21.881911,0.127651,1.236796,11.716868
1e7,46267,213,36,-12.889497,313.101661,10.221006,21.453372,0.059924,0.600814,24.291224
1e7,47624,216,56,-17.323728,345.224046,21.352544,23.489521,0.079383,0.737509,19.927815
1e7,49020,219,77,-32.094009,362.879989,12.811983,24.521157,0.144956,1.308829,11.306783
1e7,50458,223,7,18.599299,354.444206,44.198597,23.735340,0.082800,0.783612,19.056859
1e7,51938,226,6,20.096852,376.413732,46.193705,25.038669,0.088183,0.802633,18.729985
1e7,53461,229,11,5.488953,370.495375,21.977906,24.483024,0.023739,0.224194,67.498370
1e7,55028,233,10,7.121499,347.082520,24.242998,22.738132,0.030358,0.313196,48.737285
1e7,56642,236,-30,47.094067,337.385551,64.188135,21.961929,0.197878,2.144350,7.164078
1e7,58303,239,-67,73.510797,347.253299,80.021595,22.461949,0.304443,3.272681,4.723841
1e7,60013,243,-82,87.316785,368.774654,92.633570,23.656905,0.356431,3.690964,4.223411
1e7,61772,247,-67,75.726169,368.582284,84.452339,23.452329,0.304684,3.228940,4.867304
1e7,63584,250,-49,52.960149,370.910540,56.920297,23.458442,0.210027,2.257616,7.003578
1e7,65448,254,5,15.070586,379.531584,35.141171,23.813930,0.058909,0.632847,25.183599
1e7,67368,258,37,-1.007733,385.799086,34.984535,24.018802,0.003883,0.041956,382.838764
1e7,69343,261,66,-24.047010,424.826832,17.905980,26.296121,0.091319,0.914470,17.666514
1e7,71377,265,30,4.724243,411.571707,39.448486,25.282649,0.017683,0.186857,87.119084
1e7,73470,269,35,4.128181,425.255726,43.256362,25.928299,0.015230,0.159215,103.012856
1e7,75624,274,14,14.420047,414.857315,42.840095,25.062447,0.052437,0.575365,28.769483
1e7,77842,277,-6,20.755241,384.349230,35.510483,23.093307,0.074391,0.898756,18.518177
1e7,80125,281,4,24.587602,408.242130,53.175204,24.353684,0.086862,1.009605,16.603576
1e7,82474,285,-52,62.297950,463.209718,72.595900,27.438176,0.216928,2.270484,7.435393
1e7,84893,289,20,15.237721,460.828777,50.475441,27.107575,0.052298,0.562120,30.242632
1e7,87382,294,28,8.123118,443.391916,44.246236,25.859142,0.027480,0.314129,54.583957
1e7,89945,298,16,7.622152,515.995462,31.244305,29.890815,0.025415,0.255000,67.696819
1e7,92582,302,-25,40.153895,506.895399,55.307790,29.168553,0.131967,1.376616,12.623816
1e7,95297,307,-112,110.463508,537.746285,108.927017,30.690802,0.357832,3.599238,4.868090
1e7,98092,311,-63,77.975556,535.391687,92.951112,30.359277,0.248967,2.568426,6.866148
1e7,100968,316,-5,36.497127,528.894401,67.994254,29.752635,0.114859,1.226686,14.491398
1e7,103929,320,13,17.885164,580.296045,48.770327,32.439535,0.055478,0.551338,32.445666
1e7,106977,325,-25,53.525279,542.504056,82.050557,30.092711,0.163649,1.778679,10.135474
1e7,110114,330,-6,38.705827,542.324469,71.411653,29.853979,0.116642,1.296505,14.011443
1e7,113343,335,49,-7.133265,584.382344,34.733470,31.928218,0.021188,0.223416,81.923544
1e7,116666,340,94,-40.661395,612.318329,12.677210,33.207624,0.119045,1.224460,15.058960
1e7,120088,345,99,-41.997847,630.501388,15.004305,33.945054,0.121193,1.237230,15.012707
1e7,123609,350,22,12.423461,629.804810,46.846922,33.664483,0.035336,0.369038,50.694794
1e7,127234,355,53,-11.211907,633.350221,30.576186,33.614739,0.031432,0.333541,56.489073
1e7,130965,360,-10,31.939469,596.452331,53.878938,31.435798,0.088257,1.016022,18.674460
1e7,134805,365,-2,24.574065,605.989596,47.148130,31.718945,0.066930,0.774744,24.659721
1e7,138758,371,-106,108.078007,618.598776,110.156015,32.116048,0.290140,3.365234,5.723632
1e7,142827,376,-78,78.569241,658.536806,79.138481,33.961443,0.207897,2.313484,8.381611
1e7,147016,381,-48,62.048770,674.893574,76.097539,34.575845,0.161827,1.794570,10.876824
1e7,151327,387,-21,50.170316,638.472318,79.340632,32.455372,0.128970,1.545825,12.726097
1e7,155765,393,-63,96.537383,663.812295,130.074766,33.484901,0.244602,2.883012,6.876220
1e7,160332,398,-53,71.262708,676.173683,89.525416,33.893524,0.177972,2.102546,9.488465
1e7,165034,404,46,4.610189,694.692656,55.220378,34.562251,0.011348,0.133388,150.686380
1e7,169873,410,99,-46.742909,702.121409,5.514182,34.675305,0.113411,1.348017,15.020918
1e7,174855,416,82,-22.383957,665.201588,37.232085,32.614191,0.053530,0.686326,29.717783
1e7,179982,422,36,2.223758,645.927738,40.447516,31.443270,0.005242,0.070723,290.466728
1e7,185260,428,49,0.156104,767.147158,49.312208,37.081458,0.000363,0.004210,4914.329016
1e7,190693,435,61,-2.545727,719.640007,55.908546,34.504097,0.005830,0.073780,282.685478
1e7,196285,441,-3,41.107168,688.539927,79.214337,32.787616,0.092784,1.253741,16.749875
1e7,202041,447,-4,47.346933,770.915346,90.693865,36.463045,0.105335,1.298491,16.282266
1e7,207966,454,-54,80.265296,770.888076,106.530592,36.179570,0.176008,2.218525,9.604251
1e7,214064,461,-14,48.919136,778.589082,83.838272,36.262509,0.105732,1.349028,15.915839
1e7,220341,467,-37,60.769835,839.499238,84.539669,38.847392,0.129461,1.564322,13.814407
1e7,226803,474,-57,66.976349,826.720425,76.952698,37.972527,0.140636,1.763811,12.343468
1e7,233454,481,-72,107.514465,811.349001,143.028930,36.994330,0.222519,2.906242,7.546417
1e7,240300,488,-30,61.999894,939.160694,93.999788,42.513807,0.126478,1.458347,15.147779
1e7,247346,495,24,27.489520,928.479754,78.979039,41.732062,0.055273,0.658715,33.775772
1e7,254600,503,-32,60.649908,912.915967,89.299816,40.704911,0.120199,1.489990,15.052223
1e7,262066,510,21,27.564554,911.904719,76.129107,40.379820,0.053845,0.682632,33.082514
1e7,269751,517,-58,91.876341,908.785405,125.752682,39.968336,0.176898,2.298728,9.891397
1e7,277661,525,-9,57.280582,1013.191073,105.561165,44.219284,0.108705,1.295376,17.688212
1e7,285803,533,86,-13.585693,997.826467,58.828614,43.220662,0.025413,0.314333,73.446858
1e7,294184,540,122,-51.254206,1064.241400,19.491587,45.797658,0.094497,1.119145,20.763982
1e7,302811,548,162,-74.717655,1063.039217,12.564690,45.410785,0.135781,1.645372,14.227417
1e7,311691,556,143,-60.297296,1049.155776,22.405407,44.494116,0.108003,1.355175,17.399715
1e7,320831,564,30,25.022611,1005.164385,80.045222,42.325056,0.044177,0.591201,40.170244
1e7,330239,573,-92,115.315564,1049.184173,138.631128,43.830298,0.200666,2.630956,9.098374
1e7,339923,581,-158,160.069685,1086.509865,162.139370,45.076025,0.274548,3.551105,6.787730
1e7,349891,590,-222,215.632432,1149.369951,209.264865,47.318812,0.364542,4.557013,5.330228
1e7,360152,598,-153,149.892695,1159.386305,146.785390,47.410832,0.249768,3.161571,7.734775
1e7,370713,607,-71,105.179960,1193.695332,139.359920,48.450599,0.172748,2.170870,11.349076
1e7,381584,616,17,35.392038,1224.772110,87.784077,49.347475,0.057294,0.717201,34.605865
1e7,392774,625,9,47.803587,1211.933591,104.607175,48.477344,0.076276,0.986102,25.352357
1e7,404291,634,49,6.326351,1313.683359,61.652701,52.173031,0.009950,0.121257,207.652636
1e7,416147,643,158,-71.179826,1368.916131,15.640347,53.984782,0.110340,1.318517,19.231799
1e7,428350,652,108,-23.103614,1228.812945,61.792771,48.124029,0.035300,0.480085,53.187043
1e7,440912,662,-13,84.608992,1325.734457,156.217983,51.526133,0.127421,1.642060,15.668955
1e7,453841,672,42,30.651955,1339.582402,103.303911,51.675513,0.045499,0.593162,43.703000
